musicianplaysinstrument_inv_1,musicianplaysinstrument_inv_2
2227,2228
151,2972
3849,3850
151,6270
151,7463
151,7863
8230,8231
151,8851
9438,9439
1345,1344
9691,9692
2227,9876
10410,1344
11473,11474
11703,9336
2227,11715
151,11727
151,11960
11969,1344
2227,12102
10363,12993
9691,1344
151,13508
10363,13550
151,13576
151,13958
4624,14035
2227,14038
9251,14418
2227,14535
14595,14596
151,14887
151,6153
151,15481
151,15743
15820,15821
16316,16317
151,16387
151,16396
2227,16897
151,17250
17861,3330
11969,3330
2227,9336
151,19507
10363,19963
15820,20594
2227,4430
151,20799
10363,21036
151,21234
2227,18787
9337,14035
21625,1344
151,21677
22388,4071
9438,22467
22738,18305
151,23255
24119,16522
16316,18305
151,10400
10363,24861
151,25581
151,25601
151,25827
15820,26311
9438,15302
9251,3330
27120,13155
9337,2561
151,27442
2227,15252
9438,1344
15820,11717
151,15252
151,28070
4624,4623
28285,28286
2227,29226
151,29507
15381,1344
151,26229
151,30385
27120,3330
151,30870
4624,14535
151,31547
151,31569
9438,13155
32089,32090
32422,20651
24119,16317
31508,32638
151,23214
151,33213
2227,33240
151,33249
151,32885
4624,33984
10363,29160
2227,34417
10363,34579
2227,34659
151,34758
151,4071
10363,35041
10363,35415
151,36159
151,36790
151,36869
15820,1344
151,37137
151,37501
2227,37525
2227,1344
37808,37809
10363,37914
151,37981
151,38035
10410,3330
32422,24376
10363,39101
151,39305
151,40015
151,40095
10363,40107
151,40441
151,40519
9438,40628
151,40857
24806,4071
10363,24245
10363,4071
2227,41311
41352,15252
151,2833
151,41450
151,39115
10410,12993
151,41840
151,41919
9438,42067
151,42253
151,6412
2227,14035
42567,3330
42698,15252
4624,42768
151,42948
31508,2561
43123,15252
151,43273
151,43582
151,13167
15820,44023
151,150
9251,4071
22388,1344
32422,42768
14595,2561
151,3191
24806,42768
151,7949
10363,45269
151,45413
151,41510
151,31346
151,45872
9251,1344
10363,16897
151,46056
9691,46088
151,14035
2227,35517
46503,3330
22388,3330
37808,15252
27120,4071
151,26020
151,46837
15820,38299
37808,3330
16562,42768
42779,1344
151,22383
2227,14596
10363,19800
151,42344
151,8682
11473,2561
2227,48220
151,30577
151,48401
151,46230
2562,24376
151,32960
9337,9336
151,49330
151,3330
23230,49916
2227,50390
151,50406
32422,3191
9438,14535
151,50521
4624,3191
151,50584
151,7700
10363,15252
10363,50873
151,37586
27120,1344
151,51158
151,51196
2227,50873
4389,3330
9337,4071
2227,48967
151,52008
15820,49092
17318,18305
151,37734
151,52439
2227,52463
9691,27398
151,11536
151,15403
10410,15252
151,5304
10363,1344
8230,1344
16562,53201
4624,53215
2453,4071
37808,43277
151,25758
53622,53623
2227,2561
10363,3330
151,53726
151,13155
10363,15821
15381,4071
151,54058
151,54072
151,44672
151,21985
9438,54221
1345,3330
151,54623
22388,2561
151,42030
151,37709
10363,20594
24246,24245
151,55351
9438,55517
2227,55525
151,55558
151,25643
9438,55887
151,33929
151,56015
151,56266
11560,3330
9438,24376
151,51618
151,56673
10363,35517
151,56731
4624,4071
2227,56934
2227,56963
10363,51666
151,14524
16562,45538
151,38223
2227,57298
33902,1344
10363,4656
151,57068
151,57814
151,40035
2227,57879
9691,57931
151,51091
151,55528
58195,58196
4624,13155
151,58323
15820,19963
151,33182
4624,2561
151,58723
151,58785
9438,25601
151,28677
58912,3330
9438,42768
2227,48401
151,59443
2227,31046
151,59553
151,18049
23230,3330
15820,15252
60179,3330
151,52756
15820,18713
16562,2561
9337,1344
10363,60648
151,60691
2227,60780
151,37224
2227,60924
151,60994
151,39037
8230,3330
10363,61251
151,12862
9691,61434
151,15725
2227,61454
151,55388
151,61604
151,32979
151,22981
151,19348
61758,3330
151,43501
32422,3031
23738,15252
151,20073
32422,19310
2562,4071
32422,59636
21625,3330
151,29600
24119,25973
10363,62414
151,19310
151,1344
151,63373
2227,63480
11703,4071
2227,37279
15820,29160
151,63893
15381,24376
16562,3330
9251,13155
24119,15821
9691,13167
151,64215
151,9675
2453,3330
4624,3330
151,64383
58561,58560
151,34560
2227,41971
24806,1344
151,40237
151,11442
37808,65078
151,41747
2227,55798
151,65275
151,3474
11703,14535
151,4717
11969,9336
151,62186
24119,24245
2227,65078
151,65863
31508,3330
15820,65913
151,53321
151,48384
151,39271
10363,50390
10363,18713
8230,9336
151,34555
2227,13155
151,49390
151,20401
151,66478
151,39703
151,62611
2227,4656
151,61318
16562,18305
2227,26311
2227,35916
32422,39411
41352,66877
151,64141
66907,18305
4624,3031
2227,57781
151,67066
151,58224
11703,1344
151,67111
151,58928
8230,15821
151,11093
151,57074
2227,25973
9438,14596
151,67464
151,67625
2227,67667
4624,1344
24806,3330
151,61616
151,48477
151,66748
151,68321
32422,13155
151,61330
151,27212
68537,3330
151,68542
151,53422
151,46320
151,67080
15381,2561
151,19127
151,33146
10363,61500
37808,15821
14595,3330
16562,4071
10363,18305
10410,4071
15820,69108
37808,1344
2227,69129
2227,51308
14595,9336
151,9336
151,45947
151,14535
9438,14035
151,39171
151,59283
151,68851
151,60024
4624,11093
2227,24245
23230,65052
24119,43501
8230,64898
2227,38524
2227,53201
24119,50873
151,35305
2227,32817
14595,1344
2227,69751
10363,70277
151,8515
151,56448
151,64617
9438,69568
151,52141
32422,14035
4624,9336
16316,43912
151,2099
2227,18305
11969,14035
2227,59341
11969,4071
151,71017
16316,15252
151,71141
10363,71231
151,26759
151,55408
151,65623
151,38471
151,12359
2453,1344
9251,37884
151,48946
15820,16317
151,39973
151,46241
10363,37279
151,30322
2227,71526
151,2561
151,46498
60029,4071
151,40419
151,3031
15820,16522
32422,4071
151,26898
2562,1344
32422,25601
151,71924
42779,3330
151,39411
2227,42768
151,72097
151,72306
49691,15252
151,33185
151,53409
14595,4071
17318,16522
2227,72500
10363,16317
17318,26929
151,20304
16316,16522
9438,72640
9438,3031
151,5151
151,8249
151,72781
151,66977
41347,15252
60179,4071
151,73052
151,73053
69099,3330
151,18126
151,50334
151,52065
15820,69751
151,14596
151,46422
23230,2561
37808,18305
10363,48401
151,32538
151,41066
10363,53201
2227,24376
2227,19963
10363,73394
4624,24376
9691,4071
151,47095
2227,55256
9438,3330
151,44528
9438,4071
151,55289
24119,18305
32422,1344
16562,15252
151,28014
151,53014
2227,16317
151,70156
2227,50115
151,65579
10363,12102
151,24919
151,52793
24119,74084
151,67588
17318,1344
151,66958
151,44558
151,58957
151,32501
10363,55525
151,72378
8230,32090
74309,74310
2453,2561
4624,73260
15820,74390
151,46003
151,60246
151,61748
151,71775
10410,74038
32422,2561
9691,3330
151,43202
2227,3374
151,22964
151,67360
151,39047
151,20651
24806,2561
2227,71152
15820,50873
10363,74431
151,41588
151,34943
151,74751
151,53056
151,71769
151,66867
2227,74502
58119,15252
151,73260
23230,51618
15820,33733
151,25491
15820,3330
31508,60824
151,47743
11703,20401
23230,23229
151,71668
2227,58596
72368,3330
10363,59896
32422,47743
151,75057
151,69872
151,22231
2562,3330
9251,74168
17318,3330
151,71743
151,60738
151,75158
151,24152
151,63079
15820,50390
32422,14535
151,72694
2227,26929
9438,63079
2227,16522
32089,18305
4624,43202
151,65298
10363,62910
151,37769
151,24376
2227,35041
32422,44749
9438,60873
2227,4920
2227,15315
2227,20594
151,73562
151,27338
151,71779
4624,67992
151,54942
151,29915
71890,3330
9438,2561
151,37539
8230,34050
151,58678
15820,53201
151,62202
151,69515
10363,2228
61444,3330
10363,16522
8230,38524
2227,71231
10363,72299
9251,2561
15381,3330
151,41730
2227,38299
151,65604
151,3030
151,3280
151,41820
151,70796
151,4721
151,49997
32422,3330
23230,1344
151,47234
2227,58731
151,65091
10363,71055
31508,4071
2227,4071
8230,38226
151,42768
9438,9336
2227,54865
151,73224
9337,3330
11703,3330
2562,2561
151,64976
151,30896
2227,3031
151,54260
2227,57940
