mutualproxyfor_inv_1,mutualproxyfor_inv_2
30,31
682,609
883,884
903,904
980,981
163,990
1091,1092
135,1383
1247,617
1696,1697
163,1774
1588,321
883,1949
883,1989
1697,2013
2261,321
135,2324
2416,321
2749,2750
2870,2871
2175,3197
135,3481
3708,3709
3423,3726
859,3737
3835,135
3978,321
135,4051
135,4270
4775,321
4944,321
2304,4183
1363,5095
135,5133
5191,321
621,4485
5759,4089
779,5804
163,5866
5951,617
1697,6028
135,6050
6118,609
6170,6171
6200,112
2063,321
6331,6
904,6386
6388,6389
6525,2105
2205,4786
859,6854
3728,135
7049,250
7084,321
112,1727
6565,4836
135,7358
7359,135
6104,7585
7615,7616
135,2508
3588,7817
135,8021
8071,8072
3588,8217
8364,192
8664,321
3005,8687
8745,321
8845,8846
883,9170
9367,9368
2304,2175
5990,135
5133,135
1697,9681
3006,9737
9819,9820
10081,321
10153,2175
163,10244
10247,10300
135,10312
10326,10297
10340,1347
866,7150
10510,10511
10641,609
10736,10737
10806,10807
6605,135
8114,609
6895,135
163,136
11250,250
11283,11284
1915,250
112,11515
11633,11634
112,11700
11771,11772
11786,192
11848,11849
275,135
11966,11967
11983,859
135,7359
12127,12128
163,6340
36,12192
17,12658
3876,617
12749,250
13016,13017
6340,609
135,8750
1966,13110
4786,621
13249,12104
135,13438
12018,13532
13575,8226
13588,13589
8005,8004
3588,13783
1134,1575
13132,135
114,352
14262,2079
883,14298
4767,14299
7403,192
14414,14415
135,10031
14442,6
2632,1543
14564,112
14605,135
883,14932
2019,13891
3588,15130
135,10045
15246,859
15287,4089
11475,609
135,15361
8957,135
9468,321
15677,15678
859,9486
15715,5808
15716,15717
866,250
6413,112
114,3726
135,15837
114,192
135,5444
15933,609
112,2174
135,15998
7644,7645
1697,16306
16320,1016
883,16347
16451,609
859,6064
875,2126
163,11373
3880,636
1844,16862
9896,11956
17062,2304
14414,17099
17100,321
17107,17108
6618,17114
135,621
17178,609
859,17191
17302,2760
135,17366
17378,112
17657,17658
866,17750
17866,17867
859,17890
17953,112
135,17991
883,18225
18145,609
1697,7528
18629,13295
77,3138
1697,628
8750,135
4802,1627
18792,859
30,18809
135,12442
1109,24
7557,609
18933,321
18938,18939
7160,321
2990,19031
3006,9654
19172,321
3006,19263
5476,5475
760,1697
13844,135
4219,866
1218,1219
19688,135
17652,1627
6625,135
14728,1016
36,3868
13481,135
7312,250
321,8258
20016,20017
2205,20018
2019,13585
5577,2079
5762,7982
20402,621
1496,20419
8276,1627
883,20477
3588,20533
20539,859
36,20554
20576,609
9330,9329
4836,6565
3633,3632
9721,20634
859,609
20415,3726
883,20883
883,20916
9896,135
15636,9663
5734,2175
12697,2205
21268,859
21274,1092
6104,21322
21392,1844
6698,36
21414,2205
21438,5277
19783,321
5708,321
163,21648
135,7324
15718,321
21894,13952
21962,321
21996,21997
135,19468
321,8154
883,22108
3782,4047
8082,2542
1697,22272
22360,22361
22368,321
3195,321
112,22599
2304,17579
163,8179
19265,1966
883,5408
22712,135
22768,135
135,3027
135,22811
163,10641
22972,3841
883,22991
1628,609
2113,321
135,23069
321,15527
5277,609
15788,2366
7528,1697
3588,23421
883,7508
2205,15763
883,23596
859,20510
23841,23842
13994,883
883,23960
7957,4089
24100,24101
6092,1724
24315,321
135,7184
112,20767
15570,135
1545,135
939,938
1363,24856
18911,8272
351,617
24963,135
25000,3841
25021,112
866,25026
6254,609
8509,8508
24146,135
25225,25226
15785,1868
2489,250
25377,609
25385,4047
78,135
6251,12104
19873,9896
163,10294
25593,859
2706,17970
25650,321
883,11641
163,13952
4652,3168
7904,3005
25235,25236
25883,2760
25902,25903
22272,1697
8888,321
25957,321
883,25962
6186,135
7650,866
26070,565
1863,112
16746,2241
20267,1162
2205,12697
112,24355
23842,23841
883,26520
26156,26531
883,26538
6618,26601
26618,135
7808,26645
135,26762
26845,1183
6104,627
26934,270
27159,609
10543,10542
905,25328
135,25785
21631,1868
135,7616
24085,609
3938,135
883,8490
27731,135
15452,8082
14289,904
28190,28191
13666,19794
8082,609
3006,28288
883,17646
15365,2625
11355,321
7960,28471
1568,17343
2870,27251
28480,1868
163,5356
28575,2063
28578,28579
28691,321
21627,1016
904,28794
23290,28931
5852,192
6761,29197
1568,29216
18123,844
135,13476
29307,135
29312,1627
29320,321
273,135
2302,1697
29538,135
135,29567
1799,29571
163,29596
883,29627
14289,2079
19359,13952
163,3959
528,772
29683,1109
10641,1568
135,22499
3262,29773
23058,321
11636,321
1727,112
135,3046
29970,321
18071,135
163,11061
10473,609
11688,11689
321,9809
135,30124
24043,30140
30161,19100
9241,321
20476,3841
20020,1697
1229,27687
10784,1868
1568,30439
30481,30482
347,135
2626,192
4825,4824
135,30788
20494,859
10903,321
30862,321
135,1697
30913,135
13666,13665
6103,588
3136,2304
135,7367
30529,135
3841,17500
31070,250
31085,9524
3006,31125
135,986
15071,1697
5605,2175
4642,31359
3563,250
31413,321
5094,192
14395,26121
883,31611
1954,3702
19075,5277
7557,31634
2175,5345
31723,321
1854,112
29680,1627
135,31823
883,31835
26601,135
883,14920
7151,31955
31998,250
4491,321
243,32117
11688,19424
9272,9273
135,1433
5623,36
12888,12889
32266,1347
135,5527
9075,609
32498,9956
21446,21445
32556,321
135,1204
112,26502
621,32636
9722,11784
135,11582
32808,321
12903,32864
135,26310
17279,321
12472,135
135,9680
14493,135
621,4786
914,844
33215,33216
12189,1162
1374,16724
33287,609
135,17354
12687,21754
8459,609
3484,859
6709,3702
1109,29683
9231,16468
15843,36
13694,13693
4593,2416
25133,112
1568,33698
20117,135
321,33831
1109,2105
5498,1697
883,4367
321,33980
4836,33987
135,34136
485,245
163,74
24043,2302
