newspaperincity_1,newspaperincity_2
3061,1049
3428,479
3647,133
5461,133
12626,914
13268,80
14095,11636
9264,250
10964,5896
5359,133
17626,1421
20678,20679
9529,299
22691,133
12610,133
26153,11225
18110,235
427,235
3403,133
10475,250
29364,565
30767,250
10519,250
1845,299
27318,2899
26675,250
3082,25425
340,2605
34405,914
34798,1124
36979,9500
19177,133
35422,133
11757,250
40906,1079
12474,7487
10876,133
25794,8310
15023,133
18514,4150
48044,1421
14252,37
13108,133
49963,250
39595,250
50180,4528
40757,17455
51983,5963
52152,250
52399,250
52438,8698
49077,250
53009,22718
41440,2662
53527,7495
18534,114
54370,11664
43542,299
15631,250
55199,6796
55212,250
42829,7690
45650,50629
56704,235
13000,250
53334,35891
46097,10768
22302,17750
22794,3534
20986,3767
57307,250
53528,917
60827,1894
61279,80
62076,5984
7158,528
46714,751
63929,2514
64610,7957
7522,250
66057,1882
30568,133
67178,250
10588,133
53237,751
11549,1668
45789,114
13644,133
68395,37971
4792,250
68831,8647
62944,5017
69206,1936
64951,1825
47733,13148
43591,250
19249,299
6890,299
46292,46291
43540,410
49887,5963
3670,250
4830,250
4712,8647
7095,250
775,133
45927,2862
52901,2307
13457,751
15695,299
68121,2113
32481,133
2498,250
68796,5963
11428,751
51256,16986
5769,250
74688,55040
64708,39224
30404,30403
43259,133
1424,114
33257,1825
29270,250
17337,133
60047,37674
12785,5963
74934,55040
7352,250
3175,114
66925,7220
4030,250
67368,1816
3152,133
50179,114
75278,3518
26285,299
60327,1593
27779,250
35920,35919
17182,133
24162,5790
37378,9468
73416,485
