newspaperincity_inv_1,newspaperincity_inv_2
299,1845
133,3403
250,10475
1668,11549
528,7158
133,3152
133,10588
4150,18514
3767,20986
17750,22302
3534,22794
1421,17626
114,3175
914,12626
250,27779
11636,14095
30403,30404
235,427
1825,33257
1049,3061
133,35422
250,7522
35919,35920
133,5461
9468,37378
133,12610
11225,26153
133,5359
17455,40757
1079,40906
250,4030
2662,41440
7690,42829
133,43259
114,1424
8310,25794
10768,46097
46291,46292
751,46714
250,10519
250,4792
133,22691
13148,47733
250,49077
5963,49887
9500,36979
114,50179
16986,51256
114,45789
2307,52901
479,3428
751,53237
35891,53334
917,53528
133,30568
20679,20678
250,55212
299,19249
133,19177
1421,48044
133,13108
250,7352
80,13268
37674,60047
1593,60327
299,6890
114,18534
1124,34798
133,15023
250,11757
6796,55199
7495,53527
5017,62944
299,15695
235,56704
50629,45650
2899,27318
7487,12474
8698,52438
39224,64708
250,4830
1825,64951
5896,10964
250,52152
133,775
250,5769
250,39595
5984,62076
751,11428
1816,67368
250,52399
22718,53009
2113,68121
5963,68796
133,10876
250,15631
5963,12785
5963,51983
2862,45927
11664,54370
4528,50180
299,26285
7957,64610
5790,24162
250,43591
751,13457
235,18110
250,57307
250,13000
250,49963
250,2498
133,32481
7220,66925
133,17337
485,73416
250,3670
80,61279
37,14252
299,9529
250,67178
250,29270
37971,68395
25425,3082
2514,63929
1936,69206
55040,74688
250,9264
914,34405
55040,74934
410,43540
250,30767
133,17182
8647,68831
250,7095
133,13644
1882,66057
1894,60827
299,43542
3518,75278
2605,340
133,3647
565,29364
250,26675
8647,4712
