objectfoundinscene_1,objectfoundinscene_2
899,900
10057,900
12554,3122
13741,3122
13904,13905
6202,3122
15864,900
18327,900
5748,900
21084,900
21039,24395
27749,3122
27795,3122
29877,3122
29967,3122
32386,3122
33639,13905
33702,33703
15598,900
29765,3122
38652,3122
38889,13905
29765,900
39154,3122
32959,39622
41269,900
43502,3122
27660,900
4973,3122
45383,13905
45975,900
47432,13905
5678,30016
395,900
47050,900
51058,900
27153,3122
24706,13905
32981,26847
31187,900
10057,3122
3903,900
47050,13905
54348,3122
24197,900
15431,900
15181,900
42105,900
31689,3122
47358,900
41893,900
18056,3122
12472,900
15698,5896
5006,3122
11982,3122
59992,3122
60217,60218
47009,900
60916,3122
61073,3122
46233,900
2473,3122
41236,900
61524,900
14409,900
41933,3122
48069,3122
56492,3122
64574,48626
64770,900
7561,3122
63612,900
4464,13905
66763,3122
36157,900
31471,3122
3123,3122
18327,13905
13046,3122
55409,900
62124,900
6625,48626
16324,13905
47009,3122
48420,900
42724,3122
22992,3122
36420,3122
70339,3122
18982,3122
899,3122
4518,13905
22211,3122
65016,3122
46233,3122
12472,13905
73304,3122
4464,900
3698,3122
199,900
70642,3122
48643,3122
14852,3122
42724,13905
16519,13905
6186,900
69012,3122
42127,3122
33639,900
73489,73488
22557,900
37921,37920
24706,3122
44261,3122
21817,3122
73088,73087
68734,3122
35636,900
14409,3122
47432,900
37726,900
64812,3122
6625,900
15598,13905
28556,3122
62233,3122
12836,900
24692,3122
38889,900
1697,3122
43363,3122
71360,3122
46934,3122
50820,3122
5484,3122
899,13905
11900,3122
6202,13905
67906,900
21184,3122
35676,3122
3600,3122
