objectfoundinscene_inv_1,objectfoundinscene_inv_2
3122,3123
3122,3698
900,12836
3122,13046
3122,14852
3122,5006
3122,18982
900,10057
900,15431
3122,21184
3122,21817
3122,22211
900,18327
13905,4518
3122,27153
900,27660
3122,28556
30016,5678
900,31187
13905,18327
26847,32981
900,33639
3122,24692
3122,13741
3122,36420
37920,37921
13905,33639
33703,33702
900,4464
900,42105
3122,42127
900,21084
13905,15598
3122,44261
3122,3600
5896,15698
3122,7561
3122,46934
3122,43502
3122,47009
13905,47050
900,48420
48626,6625
3122,4973
900,47432
13905,4464
13905,6202
900,899
900,55409
3122,42724
3122,56492
13905,47432
3122,29765
3122,29877
900,12472
3122,2473
900,51058
900,22557
3122,5484
900,24197
3122,46233
900,62124
3122,31471
3122,899
900,63612
13905,13904
900,5748
3122,18056
3122,27795
3122,64812
900,47050
900,61524
900,36157
900,14409
900,41236
900,41269
3122,29967
13905,16519
3122,54348
3122,38652
900,15598
13905,24706
3122,32386
3122,68734
900,45975
3122,43363
900,29765
900,15181
900,38889
3122,61073
24395,21039
900,35636
3122,48069
3122,70642
900,37726
3122,22992
3122,71360
3122,14409
13905,899
3122,11900
3122,69012
13905,42724
13905,16324
3122,50820
900,67906
900,47358
3122,35676
900,47009
60218,60217
73087,73088
3122,70339
48626,64574
39622,32959
3122,59992
73488,73489
3122,60916
900,3903
13905,45383
3122,65016
900,6625
900,41893
3122,27749
3122,66763
3122,11982
900,6186
13905,38889
3122,31689
3122,1697
13905,12472
3122,39154
3122,24706
3122,41933
900,64770
3122,12554
900,15864
3122,62233
3122,6202
900,395
3122,73304
3122,10057
900,46233
900,199
3122,48643
