objectpartofobject_1,objectpartofobject_2
5484,4501
5678,5679
7378,7379
7561,7379
10439,10440
14198,10440
16053,4501
19350,4501
20101,4501
22010,4501
22254,4501
22707,4501
24549,4501
11982,24692
24730,10440
25214,4501
26854,10440
26905,7379
7910,4501
29471,4501
31170,10440
1139,10440
27758,4501
11982,4501
35676,10440
17962,4501
40256,40257
22707,11444
41236,10440
22010,33805
42911,16562
42724,10440
44305,11445
6318,10440
4502,4501
45546,11444
5976,4501
46233,10440
46617,10440
46693,2683
46812,4501
46924,10440
24549,47051
47009,10440
6625,4501
47658,4501
30716,4501
11982,47800
48415,48416
44305,4501
48565,48564
51038,4501
51232,10440
16519,20254
7378,10440
5678,11445
41800,11444
49473,49472
54588,4501
14409,4501
24059,4501
51058,10440
16324,7379
48808,48807
23368,11444
48463,4501
32959,4501
16562,42911
23368,4501
44261,4501
60271,4501
6625,38069
11982,10440
16554,4501
48463,11445
30946,4501
6625,3117
40138,4501
62697,62698
16519,4501
63598,10440
47073,11444
50001,10440
52155,4501
65720,4501
2684,2683
67867,7379
3117,10440
43135,4501
37726,10440
54280,4501
36110,4501
26124,4501
23850,23849
36567,4501
56480,20254
16376,4501
899,10440
46693,48564
62124,4501
4624,4501
37893,4501
56480,4501
22557,4501
55914,11444
17966,4501
46954,10440
24549,20254
41893,4501
37750,4501
14903,4501
7359,10440
71592,4501
10057,10440
68891,10440
14852,10440
72550,4501
66402,4501
49693,4501
50820,4501
20917,4501
70828,49472
899,4501
51546,4501
2684,34653
4501,11444
24706,10440
51214,4501
52139,4501
64815,11444
57901,11444
33992,4501
35636,10440
20255,20254
41800,4501
48069,10440
36567,11444
6625,10440
5678,28751
73421,4501
74910,4501
25569,7379
24059,11444
75038,4501
4447,4501
11445,11444
5003,4501
75351,4501
68464,4501
26124,11444
71974,10440
74899,4501
2684,48564
75393,4501
42416,4501
