organizationacronymhasname_inv_1,organizationacronymhasname_inv_2
399,400
1731,1732
4857,4858
5439,798
5833,5834
7251,798
9910,9911
9938,1805
9964,9598
10316,10317
10395,1958
12986,12987
3354,1523
15706,15707
16189,16190
16709,14979
4749,14716
18584,18585
20849,20850
22555,95
22700,22701
22912,798
23134,23135
627,10317
23777,23778
14187,23918
24066,24067
627,1705
5986,1001
26813,26814
27188,27189
5651,627
22328,5834
627,2269
27691,604
27759,27760
28096,28097
28406,28407
28825,28826
627,28954
30745,30746
32363,32364
10777,2269
22935,1958
34172,34173
34459,2986
34545,34546
5651,672
35140,35141
35267,35268
36260,798
36506,36507
36516,33482
22138,22137
10366,37024
37078,12301
37362,37363
37387,37388
37870,37871
38494,38495
627,29012
39092,39093
39135,1958
39298,39299
39582,39583
39743,39744
24,1958
25525,25524
40983,40984
41030,41031
41175,41176
798,7540
42263,42264
42929,42476
43051,43052
28793,1958
44051,17938
29339,44205
45078,23918
45676,1805
45891,45892
45948,45949
46430,46431
47100,47101
40711,27056
7541,1958
48349,48350
48932,48933
45564,36260
627,36260
50530,50531
51322,9667
5651,37838
30826,37067
45669,798
52446,10317
52745,52746
52798,52799
52809,52810
52829,1381
52975,23918
52981,52982
53147,14647
7653,7652
32584,32583
26619,54753
54777,54778
11809,54976
55056,798
10409,10408
55214,55215
39440,55275
13805,798
28897,28896
55444,257
55679,10317
55756,55757
47405,47404
26903,53272
56634,56635
56661,56662
42789,42788
6461,6460
57776,57777
54963,12141
58514,58515
1705,7540
10777,798
27380,59418
20315,20314
58611,58610
59673,59674
10777,627
8438,25038
60099,60100
14187,672
60383,60384
803,1958
56715,5179
61012,61013
61163,31414
26438,26437
22935,627
31415,31414
61796,61797
61832,61833
61902,25170
61962,61963
50799,50798
627,798
62412,62413
62574,62575
62784,62785
46265,46264
53232,36260
12824,62968
5651,1705
15114,15113
32161,61572
63507,63508
63532,63533
61193,1782
19302,19301
14187,1958
627,23918
64721,15197
27258,65511
60467,1958
627,1958
65995,65996
36571,14394
52346,31894
66467,66468
66526,66527
55466,55465
31927,66646
56096,56095
11791,2620
67155,67156
6244,6243
65907,65906
10777,29012
3503,6689
55516,55515
57833,12106
12552,11817
68158,68159
22182,68354
68359,68360
68381,68382
45845,51378
8964,26814
4947,1856
10408,798
19602,19601
68608,68609
10777,1958
68730,68731
40007,14979
69004,14126
13724,61931
35212,35211
69283,69284
14187,10317
53671,342
21635,21634
36559,69572
69747,69748
66765,5439
65055,65054
6166,6165
19909,798
70362,7268
56630,56629
50735,70394
70397,70398
627,10408
70486,70487
16434,16433
16520,1523
67200,67199
22079,798
14187,1705
28793,627
34196,70842
70902,70903
71177,71178
68133,71249
15330,15329
59365,71582
37091,5172
70106,70105
2620,5986
7541,7540
16952,16951
672,798
63257,63256
69878,69877
5113,21040
4605,14126
72166,6294
44150,44149
46835,24067
66819,66818
69804,7540
71462,71461
44741,44740
16688,16687
50762,50761
14187,798
71099,48350
23829,43034
29747,20732
37349,14275
56224,12860
64721,66655
22328,798
3552,3551
71841,71840
71229,23918
23794,23793
17288,257
627,2205
45377,45376
42739,42738
17307,17306
65809,65808
48987,39818
48885,36260
39819,39818
741,798
55500,55499
73928,16433
27838,27837
73957,15197
39361,39360
627,672
71953,71952
34599,23250
49576,49575
16594,16593
36230,36229
3354,7540
64223,64222
43215,43726
18581,672
30986,33439
29685,29684
73337,73336
20454,21633
43357,43395
38445,26830
57844,30746
12860,56224
11402,11401
50372,63805
54951,1958
12601,37067
37128,1958
14187,627
60860,60859
31149,31148
2757,72467
10777,672
8964,73469
18241,8226
73324,73323
55858,55857
44881,44880
1705,1958
47012,13188
59365,59364
59779,59778
61507,54976
798,1958
70757,70756
12961,12960
14716,4749
66914,66913
5651,1958
41736,41735
58887,17885
75352,75353
61339,61338
46643,46642
20315,25170
725,798
55359,55358
6048,1958
12217,70990
725,1958
54137,54136
68976,68975
74301,74300
37362,43499
35604,1958
10777,3034
74148,74147
74916,39093
35604,798
11247,11246
