organizationalsoknownas_1,organizationalsoknownas_2
5047,5048
2269,5651
9098,188
9524,188
2269,725
10203,10204
293,698
16097,16098
1047,16339
798,3034
16139,18238
19301,19302
188,19338
2269,803
14183,25628
14538,14537
4445,8766
17854,188
28292,28291
25216,188
614,29422
1047,30663
3689,188
188,29032
4703,11470
29032,188
1523,24
28963,18238
114,188
20324,32021
19160,31638
2269,9387
2521,5724
354,188
1856,41831
4947,17508
1958,6048
5888,188
188,1162
11590,11591
14133,33001
2755,1047
3623,33001
7200,7199
17385,17384
39151,1047
617,1047
14537,14538
47438,188
1943,188
2052,18581
188,1943
2052,5651
21682,21681
2052,10777
11954,188
188,354
51192,188
3052,31638
188,47531
41831,1856
1523,4090
1523,9544
19652,188
20068,1047
1543,188
614,81
14134,188
21107,1047
2859,6402
188,2146
1597,446
19301,26113
188,2713
188,13057
11943,188
1047,19612
614,28384
5943,5944
2269,14187
247,246
58449,188
34550,58972
2269,1705
11469,11470
4779,3360
5627,47859
11667,11470
1523,27135
15179,47427
20084,20083
188,456
14183,62556
2269,627
46513,5452
29651,63026
4193,57994
3567,326
1705,5651
1016,188
1047,21107
26903,53272
8438,188
14312,1047
672,18581
7567,55702
614,43448
1047,26997
1523,55259
2146,188
11478,188
4232,5724
1523,39135
1523,1705
2269,18581
2052,725
29651,35426
58193,188
1275,3310
20066,20065
48036,627
12,188
3344,22555
4193,4192
698,293
188,1016
456,188
188,11478
2269,10777
17432,188
188,17854
798,29339
19338,188
1978,8794
2713,188
1856,19530
7540,69804
48763,188
188,11954
62240,62239
16097,54925
188,19652
43616,43615
73650,188
188,8438
2052,627
30663,1047
5005,188
7115,1047
47531,188
2269,798
188,11943
13218,188
172,446
19586,188
1523,803
15470,35759
10249,3228
1523,25146
1523,9387
3354,14187
188,3689
188,71777
26997,1047
3354,5651
9964,9598
55550,26471
3558,12
2694,63715
13057,188
14183,51538
35759,15470
188,19586
2205,798
1275,23067
2052,14187
5944,5943
188,5005
69602,188
4192,4193
949,47105
26876,3623
1347,12
48036,10777
