organizationalsoknownas_inv_1,organizationalsoknownas_inv_2
246,247
4192,4193
6048,1958
7199,7200
188,5888
3689,188
11478,188
456,188
14537,14538
17384,17385
9387,2269
5724,4232
19652,188
20065,20066
9387,1523
1705,2269
11591,11590
21681,21682
17508,4947
28291,28292
31638,3052
188,114
5651,3354
5651,1705
188,11954
10777,2052
5651,2052
11470,11667
11470,11469
9544,1523
27135,1523
3360,4779
803,1523
1047,21107
8794,1978
43615,43616
24,1523
13057,188
1016,188
33001,3623
5944,5943
725,2052
39135,1523
5943,5944
188,17854
8766,4445
3623,26876
14187,2052
188,11943
26113,19301
3034,798
188,1543
698,293
51538,14183
29032,188
31638,19160
8438,188
1943,188
12,1347
25628,14183
188,25216
4090,1523
47427,15179
54925,16097
1047,39151
11954,188
15470,35759
55702,7567
798,2269
5452,46513
188,47438
18581,672
9598,9964
53272,26903
188,3689
188,9524
188,58193
188,58449
26471,55550
1705,1523
16098,16097
188,1016
10777,2269
725,2269
62239,62240
188,5005
293,698
188,11478
798,2205
188,9098
63715,2694
14187,3354
10204,10203
188,19586
4193,4192
188,14134
446,172
2146,188
62556,14183
22555,3344
21107,1047
446,1597
188,13218
47531,188
188,2146
5005,188
5048,5047
30663,1047
3310,1275
14187,2269
5651,2269
81,614
188,19338
11943,188
47105,949
188,19652
63026,29651
47859,5627
11470,4703
188,8438
69804,7540
18238,28963
188,48763
28384,614
26997,1047
35759,15470
14538,14537
3228,10249
43448,614
18581,2052
18238,16139
55259,1523
1162,188
71777,188
19338,188
1047,30663
803,2269
188,29032
188,69602
188,456
188,1943
1047,20068
1047,2755
627,2269
29422,614
1047,14312
188,13057
10777,48036
1856,41831
326,3567
29339,798
1047,617
41831,1856
188,354
188,17432
57994,4193
354,188
1047,26997
25146,1523
188,73650
5724,2521
23067,1275
12,3558
627,2052
19530,1856
1047,7115
19586,188
188,2713
19612,1047
188,12
19302,19301
6402,2859
18581,2269
17854,188
35426,29651
627,48036
2713,188
33001,14133
188,51192
20083,20084
16339,1047
58972,34550
188,47531
32021,20324
