organizationdissolvedatdate_in_1,organizationdissolvedatdate_in_2
524,525
2980,2777
4488,2390
3226,7596
4488,9683
259,9816
3226,3225
3778,10948
3778,9816
259,9295
9521,14211
6804,15015
9521,3225
3226,1601
5135,19262
2778,525
16008,20081
3226,22629
524,23452
23646,2403
259,23739
6783,15015
259,3225
6783,525
524,25953
1896,20301
31092,2777
9521,7018
524,2390
4488,20301
35914,7018
37282,7018
3778,525
259,15015
2778,7018
2778,1601
26687,377
41170,2777
2778,3225
9521,2777
1896,2777
3226,2390
3778,2390
16008,2777
3778,3225
3778,15015
36909,2777
259,39866
3226,2269
4785,44521
16008,525
22549,7018
524,20081
4488,3225
259,23452
9521,16332
9817,9816
27948,2777
6783,9816
254,6487
11329,50167
40292,7018
9817,2777
2778,2777
259,20301
51736,7018
2778,20301
16008,2390
3226,9683
16008,2269
259,2777
3226,9816
3778,818
5135,633
277,6487
6804,7018
6804,3225
10286,22182
27349,2777
31092,7018
280,6487
43764,7018
1896,15015
3226,3777
3778,20301
1896,37370
16008,57083
1896,7018
1896,818
259,57083
58113,7018
4488,9816
26687,2777
9521,2390
58698,7018
524,3225
259,9683
6783,9683
16008,7018
9521,20301
5135,818
272,6487
259,10778
5135,2269
524,62391
60999,7018
3226,633
5135,2205
6783,3225
3778,2777
3778,7018
2778,10948
3778,60202
5135,2777
372,23192
3226,20301
62172,2777
182,6487
46532,2777
6783,2390
5135,2390
9817,22629
6804,2390
11184,7018
6783,818
1896,2390
182,2403
3226,12406
6804,2777
5135,7018
524,9683
68752,7018
1294,59780
27948,377
36909,377
6783,2777
5135,22629
6783,7018
61723,7018
4488,7018
1896,9816
27349,7018
1204,6487
5135,57083
259,10948
3778,22629
2778,2269
5135,16332
174,62934
259,12406
9521,525
259,2269
259,818
3226,2777
47981,7018
6804,7596
524,16332
6783,20301
6804,9816
16008,10948
1896,10948
3226,10948
259,22629
5135,15015
3778,57083
50343,12406
6783,2269
727,6487
254,6536
9521,2269
2564,7018
16008,9816
17283,7018
5135,3225
5135,20301
1896,2269
259,2390
22709,2777
3778,9683
524,20301
16008,15015
16008,1601
259,62391
3226,15015
658,6487
3778,3777
2778,2390
3778,7596
5104,16072
5135,7596
2778,9816
3226,7018
5135,9816
1896,3225
16008,3225
259,525
6804,10948
259,7018
524,3777
524,7018
16008,20301
15297,7018
50343,7018
9521,9816
2778,633
