organizationheadquarteredinsta_1,organizationheadquarteredinsta_2
1011,6
6708,1627
1633,6
9915,6
10159,6
10864,6
12743,12744
10775,6
3893,6
19681,1966
11172,6288
22801,5802
4774,6
3124,1270
25355,25356
26700,6
26868,321
14513,3726
57,6
3393,6
4854,6
29146,6
7319,6
30961,8443
9262,6
3293,6
350,6
172,6
486,6
1988,6
5767,6
3188,6
9769,6
15224,1627
17070,6
24652,1868
5044,6
21773,6
446,6
23651,819
8532,6288
50325,50326
4602,6
1271,1270
2703,6
27258,321
26481,6
22080,1627
14444,1092
422,6
53576,819
8307,28159
6744,6
42219,8443
476,6
11368,3262
13029,6
43102,43101
450,6
56844,904
3900,6
4165,6
932,6
51100,6
5627,3726
8025,6
2427,6
392,6
614,9217
51578,1016
40664,4047
43075,61819
6348,6
26090,8443
7060,17
1992,6
1004,6
15672,6
8810,1092
11015,6
56,17
326,6
9598,6
9148,9147
1248,8443
41895,844
40089,1627
421,6
36,978
1597,6
1284,6
22908,6
67192,6
22731,6
19014,6
7039,6
882,6
2152,28159
10060,6
4193,5802
26713,9217
2694,6
11626,1270
4442,6
2209,6
12115,6
71245,1016
19321,344
3821,6
54950,6
26479,1016
3006,1270
812,811
584,9355
3314,6
15368,8443
5181,6
4631,6
15919,1270
52110,1270
8971,6
16250,6
13089,6
7555,6
700,39746
466,1270
17921,1016
2476,6
8486,6
17288,6
2626,25189
3567,6
11712,1627
562,6
19145,1627
1439,6
34,6
4048,6
7056,1016
20258,6
806,6
71329,904
916,6
27691,6
45766,45765
73229,6288
11770,5802
12128,6
