organizationterminatedperson_1,organizationterminatedperson_2
938,939
1326,1327
1768,1769
2877,2876
3134,3135
3228,3229
4824,4825
1002,1003
6760,6761
8077,8078
8979,8980
4451,4450
9329,9330
7224,3648
844,10158
11618,11619
859,5762
11817,11818
6402,11978
12141,12142
12346,12347
12376,12377
12686,12687
3572,13315
14212,14213
4192,14761
133,1769
15226,15227
1275,3648
15775,15776
1098,1769
1369,17059
17486,17487
11689,11688
18567,15091
16480,16479
19015,19016
19321,19322
6263,19513
617,20178
3746,14680
20887,12018
1334,1769
22259,11548
22355,22356
7422,22966
23041,15180
14183,23076
620,3294
23250,23251
23453,23454
18715,18143
5253,11323
620,25095
25149,25150
25296,1769
26254,26255
21420,21419
2708,3648
5253,26811
11626,11625
27127,3648
27517,27518
10394,10393
27744,27745
15449,15448
3168,4652
28203,4115
28456,28457
18759,18760
13427,13428
4838,7031
2079,29491
29869,23153
179,7707
4876,4875
27738,15217
1369,19206
27738,2210
9090,9089
19295,19296
19962,19961
31572,31573
5808,5807
31785,3648
2934,15091
16097,32337
32371,9272
8572,8573
2364,33228
9756,32746
26269,26268
21285,33666
29714,29715
33890,1428
20094,20093
34128,1769
10520,1769
25476,25475
17088,17087
5627,5626
1632,13428
859,28854
5944,10628
26992,13250
7060,7061
15530,1769
8971,36523
4232,3704
18218,36674
5494,5495
36845,36846
5095,12484
9148,17835
8928,8927
37465,37466
14874,14873
14336,14335
37852,37853
13295,25483
1275,17175
13597,1327
8226,38095
4026,22416
38202,12484
2803,2804
38262,25902
7567,11087
424,26468
30982,30981
238,6132
10935,2210
15810,33666
29722,29723
9273,9272
39542,4115
14641,14642
154,39937
13364,814
30125,22444
20335,20336
20961,30892
4232,40354
40664,40665
1978,40914
19794,13666
1369,3995
3915,4934
8810,14445
1016,41114
6494,6495
32178,2927
4957,4958
34606,34605
17199,32746
3739,42374
42612,42613
19160,33303
617,42855
910,3630
31974,31975
8044,13241
10297,10326
1883,15499
1860,43594
5943,2610
28973,14646
7012,7011
614,1769
32039,32038
28926,28927
2170,1769
6374,25483
2170,18906
44465,44466
813,6513
12128,12127
1148,1147
10578,44980
859,5428
1894,45651
1546,1769
36511,36510
17341,13666
39803,34104
16139,16140
5693,12237
7410,7409
47210,15384
23475,47291
13636,13635
2222,3648
13135,39917
48336,1769
37788,1292
29884,32495
11926,31129
48703,48704
14965,28558
4838,16140
25336,25335
20737,41506
17658,17657
43687,43686
29776,29777
49169,49170
30216,1769
13295,18629
614,3648
25236,25235
27744,49765
50039,12237
21489,21490
3649,3648
11429,47857
41496,41497
3702,50451
14135,50612
36699,663
3006,16619
29426,29425
813,814
36946,36945
7098,3630
14200,52118
19424,11688
27607,27608
6023,6022
30274,25488
15809,5608
2896,2897
17706,17707
2521,3704
52549,3648
4280,31055
3124,52717
14537,26740
14570,14569
26471,26472
9452,9451
4961,4960
14244,49534
11755,11754
38538,12237
4187,10950
4680,11633
44172,53563
29884,41656
8821,8820
54026,1769
34867,34866
20306,8267
11393,11392
10635,1519
2521,4231
4308,4307
15500,15499
18759,16382
7627,20345
20066,10510
14513,19970
27336,27335
12768,12767
756,4934
14135,11775
293,10180
2170,27743
9820,9819
50987,4781
3819,3818
56000,1769
2787,44980
19332,4326
12,1769
3034,3648
32993,32992
18515,18516
25226,25225
3702,49027
20885,4740
23651,23650
56906,56907
56924,56925
52708,52707
293,35281
23475,23474
752,12484
21033,1327
35807,35808
15664,15665
700,1769
14538,18711
7830,939
15717,34880
2222,1769
37061,28558
1098,3648
58283,23852
14456,6814
1391,1390
35648,5424
34147,34146
1369,2641
34800,11425
17199,2927
42907,42908
32628,32627
321,42199
15383,15384
1219,1218
19962,59644
10807,11996
31785,1769
844,7340
18063,18062
5423,5424
1369,19047
33624,44566
60161,60162
883,1769
5109,20178
49994,22941
1761,1760
7059,35285
13561,13560
15927,15926
37352,6495
16656,1769
1016,34518
14205,49823
1900,1769
36699,61104
3430,3429
10542,10543
56086,21002
12552,11818
664,1769
32674,32673
21326,21327
10733,28245
1966,38410
2075,4186
17,3881
48826,13869
18372,18371
16520,52288
26680,51905
4397,4396
14133,7016
17587,21970
28308,28307
57043,39134
7200,37479
27399,14771
2859,11978
40444,47907
1781,1769
4577,8267
16377,32850
26464,26463
2202,29265
4114,4115
45554,45553
17184,17183
321,1769
12061,39807
1016,45516
7878,22356
11160,11159
4429,6790
1016,39963
45199,44980
8226,13575
688,689
21187,18516
19192,64808
29739,29738
250,36456
35755,48458
55362,13646
13364,6513
28963,6087
904,5079
9539,29265
16139,22161
26482,9139
8179,1769
34390,34389
16787,30749
7900,3995
15644,34293
3381,10180
9435,1769
1162,1769
55014,55013
1275,1769
4603,6370
5029,35808
698,697
17266,25327
4187,4186
4739,4740
11926,43086
11836,11835
40740,40741
19744,28581
9441,9442
19192,10200
13364,28710
67025,67026
9989,35986
4193,67071
6612,6613
50798,52332
8182,8183
54750,54749
1835,1769
55672,67408
6769,6768
3354,1769
5825,5824
28082,1769
11368,57147
7750,7749
21849,1769
13971,13972
2737,1769
17266,17265
12889,12888
8511,15043
14330,31055
698,34375
210,26993
10798,67884
6789,6790
24653,20392
14456,8267
30482,30481
1583,45670
37868,37867
3051,47807
22224,311
67207,1769
1699,23816
23192,8493
3034,1769
498,13241
1016,1769
10571,15132
41038,19544
813,28710
23032,9272
18845,36781
65013,6228
7807,7808
7756,23474
44073,17055
8115,3648
15224,15225
19875,31322
25613,25612
49869,49870
1201,1202
13495,13496
20892,24238
14270,24310
2079,18887
26839,26838
14624,14625
8193,1769
11118,1769
27258,27259
2348,51905
24561,42019
1192,51181
10798,10799
8494,8493
985,35986
17051,29671
70582,1330
30794,30795
4703,4704
19192,4934
15649,15650
26810,16479
11667,4704
66623,20016
18218,18217
8150,3648
37002,23290
371,8326
26057,29599
24370,32712
43687,35550
61668,2597
56000,3648
22697,22696
5047,12903
7176,28274
133,18767
584,30477
37061,9575
7756,47291
16071,34522
19875,60967
3344,4326
38281,38282
14965,9575
8572,40885
24586,15180
5475,10337
7896,25281
154,42292
2960,21218
12918,12917
19815,19814
15299,15298
424,423
36150,36149
36,35936
2368,11752
5480,5479
6263,29408
617,616
16097,19719
13545,13544
21326,25876
7883,7884
10106,10105
45964,45965
18080,39699
1627,37042
16655,72641
11469,4704
7037,34730
12686,18136
2626,14601
8150,1769
20884,4740
3777,1769
12461,15556
19413,51472
949,835
6433,6434
398,397
4193,10663
41361,8820
44484,60729
6221,7016
15530,3648
4838,6030
8985,8984
21368,24813
71747,3648
20135,20136
14118,14117
37298,28581
1826,1827
2616,12484
20393,20392
32338,32339
4355,38845
32178,32746
3052,33303
4168,21355
4884,52717
13557,1769
2348,51976
21060,3064
3381,35281
6834,6833
12761,13101
14212,35021
65253,54624
30174,20725
26903,27387
15179,48059
7200,47385
2708,1769
617,1769
31639,36165
44941,50834
844,72207
1275,1789
20324,20323
20084,33248
34105,34104
2176,11999
1016,69219
28109,19970
49610,18709
7645,7644
12014,12013
45219,12142
1729,24633
7720,7719
12328,12327
8004,1055
53797,29159
5253,13385
24309,24310
7302,7301
257,1769
4838,22161
842,10337
1016,5373
12307,7409
7224,1769
38291,21774
20670,28581
5952,6710
19155,20725
593,1313
44864,54746
40469,52721
9756,2927
21125,4345
31781,63610
11045,47864
72800,3648
1657,35986
29651,47036
7263,7262
20827,46981
32565,32566
38954,2597
3702,39680
10282,44980
3065,3064
13506,64286
22224,33932
50337,10200
3051,10736
133,20178
4654,4655
9474,38606
23643,23642
62845,62844
5370,29358
18451,28457
2348,2347
14205,37435
10203,46981
59952,59951
55550,26472
2075,10950
42994,60766
4445,26215
14444,14445
4445,19259
25873,25874
27267,6170
51202,32566
7059,7058
1627,24323
1364,12484
63661,54949
47083,73125
38020,55716
19214,6761
17108,17107
44091,1769
17403,17402
4445,18695
57505,57506
50154,8369
1230,1229
3293,10096
19511,4450
11284,11283
48382,63563
15029,15028
18734,18733
25689,25688
14456,8218
757,39917
20737,20736
12040,22067
35163,35162
23402,23403
1275,69535
62759,36667
13665,13666
2079,67534
4936,12484
39454,1769
27127,1769
18342,28581
8728,8729
6751,18825
29346,25709
55672,65358
48382,25876
25616,25617
