organizationterminatedperson_i_1,organizationterminatedperson_i_2
397,398
697,698
1229,1230
1313,593
1769,2170
2347,2348
2876,2877
1218,1219
3630,910
3648,3649
4396,4397
3429,3430
5479,5480
5807,5808
6768,6769
7644,7645
8493,8494
8820,8821
9089,9090
10950,2075
11159,11160
11999,2176
12237,5693
12484,2616
12767,12768
12917,12918
13544,13545
13560,13561
14335,14336
12484,4936
15028,15029
15043,8511
11625,11626
3135,3134
16479,16480
17183,17184
835,949
9330,9329
18371,18372
18906,2170
19047,1369
4326,19332
3648,8150
19719,16097
13666,19794
19961,19962
4450,19511
20323,20324
12013,12014
20736,20737
16140,4838
8267,14456
22161,16139
23474,23475
1769,7224
1769,1781
18516,18515
25327,17266
25335,25336
10337,842
25688,25689
3881,17
26268,26269
3704,4232
22067,12040
26740,14537
20178,5109
6710,5952
26255,26254
1769,2737
28245,10733
28274,7176
28307,28308
14642,14641
4115,4114
28854,859
29265,2202
29408,6263
29425,29426
22444,30125
5824,5825
1769,30216
30749,16787
10628,5944
21419,21420
30981,30982
31055,14330
31129,11926
18767,133
1769,1275
11548,22259
24813,21368
32627,32628
32746,9756
32339,32338
8493,23192
16140,16139
1769,1768
34518,1016
3995,1369
11425,34800
35162,35163
35281,293
21218,2960
1769,3034
35936,36
20178,617
3064,3065
27608,27607
36510,36511
12888,12889
30892,20961
4934,3915
36945,36946
15227,15226
28558,37061
37435,14205
23474,7756
6613,6612
27335,27336
2927,32178
4960,4961
14625,14624
9575,37061
38606,9474
4934,19192
32337,16097
39807,12061
5428,859
23153,29869
11754,11755
7061,7060
6761,6760
1769,13557
14680,3746
814,813
33666,21285
6434,6433
12347,12346
15665,15664
36781,18845
42292,154
43086,11926
27745,27744
13241,498
37479,7200
35808,5029
1769,44091
1769,2708
2210,27738
1769,31785
20725,19155
23403,23402
1769,39454
44980,10578
25709,29346
25235,25236
25874,25873
1769,133
19513,6263
1760,1761
45516,1016
12903,5047
29715,29714
5424,5423
47857,11429
32992,32993
47907,40444
19322,19321
25876,48382
8267,4577
22356,7878
33228,2364
10510,20066
49027,3702
423,424
11688,11689
26811,5253
13666,17341
28710,13364
47807,3051
12377,12376
20178,133
5495,5494
2804,2803
11283,11284
1055,8004
1292,37788
1003,1002
1769,1098
18733,18734
51181,1192
18062,18063
939,938
15091,2934
14771,27399
6170,27267
51905,26680
51976,2348
25225,25226
41656,29884
29265,9539
25612,25613
20336,20335
52288,16520
11818,12552
4740,20885
35986,985
52707,52708
52717,3124
1769,2222
22356,22355
4450,4451
6022,6023
7301,7302
7058,7059
3648,7224
8183,8182
12327,12328
21327,21326
29159,53797
3648,1098
53563,44172
11978,6402
12237,38538
22416,4026
1769,1835
33248,20084
1769,34128
3648,614
32746,17199
32712,24370
36149,36150
55013,55014
15180,24586
34146,34147
12237,50039
34866,34867
50612,14135
13241,8044
27743,2170
1769,56000
19296,19295
1789,1275
17835,9148
30795,30794
25488,30274
14646,28973
4704,11667
11978,2859
1147,1148
26472,55550
28581,18342
14445,14444
4186,2075
18143,18715
6513,13364
32566,51202
18217,18218
14601,2626
7409,12307
22161,4838
17265,17266
8984,8985
15499,15500
35808,35807
9451,9452
10158,844
18709,49610
6087,28963
12142,12141
18825,6751
4307,4308
54749,54750
10326,10297
1769,3777
4781,50987
44980,2787
42908,42907
1769,8193
15926,15927
48704,48703
34389,34390
11818,11817
8573,8572
7016,6221
59951,59952
1769,8150
10950,4187
11752,2368
60162,60161
10663,4193
1769,3354
1769,1162
9819,9820
4652,3168
7262,7263
37867,37868
18887,2079
60766,42994
39937,154
37853,37852
29777,29776
1428,33890
2641,1369
25095,620
17707,17706
22966,7422
7884,7883
31975,31974
42374,3739
13869,48826
47864,11045
39699,18080
21490,21489
12484,1364
11775,14135
7749,7750
6030,4838
15298,15299
