parkincity_inv_1,parkincity_inv_2
299,1397
299,3565
299,4141
299,4368
2802,5722
6379,6380
114,6887
751,7117
299,8705
299,8723
299,9707
6386,10353
299,11226
299,11256
299,13988
235,14111
1916,14284
299,15504
299,16823
8614,18675
299,18738
2607,19109
235,19319
2802,19684
1916,20527
751,20839
20860,20861
2607,21353
1916,20034
299,22369
299,22572
299,23242
299,20757
299,24450
299,24820
299,25992
2802,27585
299,28027
299,28360
299,28994
299,29118
299,30318
299,31270
299,32194
114,33017
299,34302
133,6284
751,34754
299,35164
2802,26803
299,35844
3222,35882
299,4806
299,18871
299,37226
299,36265
114,37576
28592,38632
1916,15684
299,39946
299,18383
299,40334
299,37472
299,40720
299,40726
299,40963
299,20707
235,33244
8614,41731
1916,41782
299,42017
133,42225
299,10030
2802,42809
1916,2970
20860,43631
299,44119
299,28788
299,44824
114,39996
565,14333
299,26313
8614,46814
299,47003
299,47037
299,47084
299,47193
1916,19855
133,47926
299,48297
299,48742
235,49948
250,50647
299,51362
299,52029
5896,19546
6379,52343
8848,24710
299,18894
8614,54342
299,55651
299,52373
299,54019
8614,55929
299,56810
299,21699
1916,50683
1916,41487
2760,57421
299,57738
2802,57789
114,58187
299,27834
2307,58322
1916,58436
299,3097
299,59177
299,36921
299,59288
46213,46212
299,17118
299,60028
1916,37175
4708,30408
8614,60788
299,60801
299,59666
1916,61142
299,7471
299,36817
1893,52813
8614,55958
9422,42024
299,63047
299,65200
299,32043
299,47058
8614,46811
299,48388
235,66219
6422,65486
299,66517
8614,37356
299,18464
299,67308
235,67311
225,43374
21729,67376
299,9210
299,2734
299,56865
8614,67724
133,67780
2607,34489
299,27291
2802,47776
299,5914
299,68259
299,68333
299,68380
299,63633
299,67527
299,68495
1916,38547
50619,68757
9422,51804
299,68924
31615,69046
299,69091
299,61673
2760,29031
235,69271
299,66516
1916,25914
299,69731
299,29700
815,29093
299,70268
50619,54394
299,53871
299,70613
1916,67869
1916,71094
299,42542
8614,24356
751,40500
8614,21096
565,60854
114,57084
8614,71583
8614,71629
299,54242
8614,38669
2802,54143
299,20741
299,70662
299,59824
299,57793
299,52696
299,29584
299,72678
5228,72699
299,19893
3306,8580
2802,63946
299,31997
1916,73097
114,69055
2607,69462
6936,73494
299,73660
2802,73662
299,61790
299,69964
299,41048
2760,48137
1916,70975
8614,66070
17501,74054
2802,49068
1916,62038
299,71722
133,74289
3534,61985
8647,70593
299,52197
1593,27935
225,38826
5228,68696
235,57701
299,52052
1916,70036
8614,63679
299,9466
299,54869
1916,69902
235,74955
299,21759
2802,26308
2802,2496
299,50636
8614,74877
2802,60178
225,30268
8614,64612
299,32599
8647,15450
1916,75100
299,38565
8614,33395
133,62851
2607,40247
1916,41260
8614,70193
299,28074
299,43023
299,73320
235,48896
299,74000
