personalsoknownas_1,personalsoknownas_2
1749,1750
4409,4410
5757,5758
5839,5840
5849,5850
7298,7299
8507,5839
10914,10915
12174,12175
14804,7299
15475,15476
5092,5840
15888,15889
17193,17194
13651,2944
3964,8420
8507,8467
8813,20610
20644,7299
16696,21651
2945,15320
13651,25076
25293,25294
19028,19027
5850,5849
2945,13651
28971,28972
29028,29029
8832,3964
9904,9903
13651,2945
31519,1750
32314,32315
2945,25294
28972,28971
35567,35568
3963,8832
17749,19028
5850,3964
36160,36161
3964,3963
36489,36490
19027,19028
25076,2944
31766,37752
7299,20644
39940,12174
32633,13816
11644,40174
40222,40223
5840,5857
7298,5857
13651,25294
40911,40912
30454,7298
42361,42362
5857,8507
5092,8507
19028,17748
5840,5092
38404,38403
7299,8467
7299,5857
20644,14804
1720,33029
5857,14804
8384,8385
7299,5840
12175,17345
15320,2945
2944,2945
7299,7298
33029,1720
10915,43181
3963,3964
2945,24876
20610,8813
5840,5839
7299,5092
35026,49524
48751,50384
41611,50439
13651,24876
13651,15320
5092,5839
8507,30454
52967,15340
53439,53440
31767,31766
5092,7299
38403,38404
5840,7299
31767,37752
30607,33029
27546,19027
8420,5850
17748,19027
5840,7298
49524,35026
39940,52211
5857,5092
50425,50424
20644,5857
5839,8467
12174,39940
13816,32633
60339,60340
2944,2552
6260,59126
30454,5092
2944,24876
12175,39940
5839,8507
31766,31767
33046,33045
17749,19027
5857,7298
20644,7298
43181,10915
5839,5092
36161,36160
2944,13651
14804,5857
30454,8467
41611,41610
18978,59753
5092,5857
7299,14804
32859,32858
30454,8507
5849,8420
8467,7298
37752,31767
7298,5092
2945,2944
39940,12175
59126,6260
5857,5840
17749,20610
27193,32633
5857,8467
41568,6667
2552,13651
17748,19028
7298,5840
54344,5599
25076,24876
53601,23020
8832,8420
13816,27193
7298,8467
25076,2945
24876,2552
8385,8384
33573,68556
8420,8832
17748,17749
5857,20644
17749,17748
10914,43181
18253,36514
25076,69832
52211,39940
64176,64175
30454,5840
29029,29028
27546,17748
40174,11644
8832,3963
2945,25076
27194,27193
8467,5092
8420,3964
71160,71161
24876,2945
8467,5857
2552,24876
24876,13651
8507,5857
24876,25076
29022,29021
5850,8420
25076,2552
71470,71469
17748,27546
5092,7298
5840,8507
8420,5849
3964,5850
8507,7299
12174,52211
42844,25294
8507,7298
19027,27546
32645,73878
7299,8507
10915,10914
33029,30607
50750,74079
8507,5092
20049,20050
24876,2944
20610,17749
8467,5839
25076,13651
5840,30454
21651,16696
7298,20644
32856,32855
3964,8832
14804,20644
7298,30454
15320,25294
71331,71330
8832,5850
5092,30454
8467,7299
8467,5840
7298,8507
6667,41568
5092,8467
8467,30454
8507,5840
5840,8467
2552,2944
50715,50714
70766,70765
43181,10914
5857,7299
5850,8832
2944,25076
36489,68893
2552,25076
37752,31766
19027,17749
32646,48874
17345,12174
32856,47979
17345,12175
12175,12174
19028,17749
1103,6907
19027,17748
27193,13816
8467,8507
