personborninlocation_inv_1,personborninlocation_inv_2
270,1174
74,1565
1857,1858
74,1990
74,2373
74,2801
74,3169
74,3700
74,4239
74,4711
1516,6120
74,418
74,3257
74,6857
74,7042
74,6485
74,7468
74,7492
1516,6670
74,8556
2760,8669
74,8831
1516,8855
9492,9493
74,9765
1516,10655
74,2641
74,3932
74,11397
1516,11471
74,11632
74,12432
74,12480
13338,2552
13424,13425
74,13754
712,13811
74,14146
1516,3628
74,13930
1516,15014
15064,15065
74,15831
74,11093
1516,7456
74,124
74,16863
74,17153
321,9760
1516,17189
2163,17281
74,17555
74,17573
74,14087
74,12345
74,16647
74,19291
19596,19597
74,19627
74,19966
74,20133
1901,20405
1516,20478
6375,20717
1516,21103
74,9023
74,21309
1516,21609
74,8594
74,21904
74,3359
74,6903
13338,13251
74,23953
1516,18340
74,22536
74,24242
1516,24360
1857,24502
74,21424
74,25025
74,25512
74,4243
74,26579
74,26721
74,26841
74,27247
1516,27282
74,12826
74,32
74,16281
74,9934
1516,14621
1516,25100
1516,2499
74,19367
74,28934
74,19670
74,25621
74,29573
74,25442
74,30099
74,30197
74,5803
351,16714
74,10260
1516,30725
74,30777
74,27363
1516,19659
1516,31118
74,7050
74,32756
74,1995
74,33265
74,33266
74,8466
1516,5793
74,33753
16169,16168
74,33942
74,34103
1516,34140
74,34583
74,34714
1516,34718
1516,34096
2307,1514
74,35867
10711,23543
74,12978
74,11844
1516,15977
1516,37459
74,32677
74,175
74,5826
74,8437
1516,38003
74,16925
74,7
1516,10990
74,26329
74,25030
74,9019
1516,16005
74,3113
74,27593
1516,26297
74,31378
74,41265
74,41626
74,26321
74,27181
1516,13807
74,43288
74,43314
74,38373
1516,11360
74,28945
1516,43897
74,34106
1516,20207
74,44924
74,1659
351,45253
74,11058
2285,36751
1516,25670
1516,45883
74,19632
74,31367
74,13355
1516,17342
74,9120
1516,10749
74,43768
74,43793
8307,5733
74,43680
74,46955
74,47530
74,709
74,9927
74,18367
74,10835
1516,23723
74,35992
74,27125
74,46667
74,1076
1516,3627
74,19535
1516,49618
74,10100
74,13122
1516,45315
74,50134
74,50203
74,187
36,48512
74,29285
74,33538
1516,51371
4575,36348
4575,10659
1516,3674
1516,11282
74,11387
1516,21984
74,22777
74,30035
74,52282
1516,5682
74,8843
74,30992
74,48347
1516,52753
1516,49390
74,18800
74,1198
1901,1671
74,15524
1516,15531
74,378
1516,5302
1516,48149
74,24622
1516,12880
74,50398
1516,49266
74,42232
4575,8433
8307,45667
13338,32449
74,38080
74,23525
74,43573
74,17425
4575,4011
74,22402
4575,16181
1516,12056
74,38851
74,45136
74,2600
74,36540
74,21044
74,1625
74,14469
74,55773
74,57328
74,6566
74,33775
74,241
1516,2730
74,25233
321,49454
1516,11367
1516,17770
74,33636
74,58249
74,9921
74,20803
74,49445
1516,20077
1516,15734
74,6228
1516,44368
4575,437
1516,1515
74,8498
74,51427
74,3807
1516,19685
74,48113
74,49854
74,56256
1516,3230
1516,835
1516,13830
74,21377
74,50064
1516,1234
1516,42896
74,7587
74,56505
74,9771
74,31536
1516,25895
74,18153
74,29655
74,1376
74,5798
74,30960
74,60866
74,13792
1516,47330
74,18874
74,15472
74,43472
74,102
74,61836
1516,13866
74,5630
74,33234
74,1149
74,35400
74,56673
74,21135
1516,7867
74,10562
74,12999
1516,5325
250,43407
1516,20699
74,43347
3870,11909
74,38802
74,8236
74,37074
4310,3212
74,17883
74,36098
74,42167
74,40414
74,9586
74,63640
74,43161
74,63772
133,63922
1901,63974
1516,17287
74,9296
74,30159
1516,24609
74,54611
1516,4628
1516,12874
1516,53484
74,13852
74,4879
1857,36687
3804,14224
74,20087
74,7274
74,53517
1516,3912
1516,5795
1516,9747
74,12567
1516,14002
74,4044
74,12207
1516,455
1516,60088
74,65922
74,61637
74,15156
74,14050
4575,91
1516,41725
1516,16042
74,66656
74,3995
74,4163
74,66813
1516,59477
74,65356
133,65300
1901,56115
74,51774
74,8561
74,23616
1516,53763
1516,22262
74,22069
74,55151
74,14359
1516,31223
1516,7875
74,26954
1516,6274
74,48005
74,11230
1516,29591
74,8359
74,3571
74,42741
74,25854
13338,9777
1516,7109
74,40874
1516,35319
9492,60795
13338,51891
74,12021
74,26842
1516,25699
1516,66719
1516,4311
74,19376
1516,43525
74,48096
74,13155
6375,69009
1516,1025
74,69120
815,21823
1516,8683
13338,19047
74,45581
74,24928
74,2333
6375,61266
250,44486
4575,61060
1516,41112
74,43921
74,9112
74,16315
1516,29351
74,52757
74,26770
1516,5660
1516,26469
4884,69843
74,49005
74,60425
74,20635
74,62251
13338,43449
74,16908
1516,12564
74,32776
74,66667
74,11259
74,18663
74,55437
1516,18442
13338,59716
1516,13308
1516,1866
1857,27710
1516,5216
74,20388
74,65468
74,3707
1516,13994
1516,9926
1516,1784
74,56083
74,38747
74,23220
74,39365
74,7841
74,41925
74,67907
74,71486
74,14741
74,18200
74,26418
74,51320
4310,796
1516,8512
74,2875
13338,60529
74,71748
74,36410
1516,68952
74,3266
1516,35777
1516,71978
1516,16454
74,13178
2662,2663
74,5847
250,20425
1516,874
74,9536
74,34155
74,6608
74,26901
1516,18231
74,3645
74,11987
13338,6752
74,7459
74,24664
74,27418
13338,44014
4575,7015
74,46666
74,18387
74,12216
74,1442
74,15542
4575,1469
74,52347
1844,34535
74,2589
74,6003
74,3787
74,7193
1516,27329
1516,70195
1516,47774
74,2967
74,2393
74,54806
1516,65685
1516,61937
74,30160
74,42590
74,15009
74,12865
1857,73777
1516,935
74,38223
74,43971
74,61605
74,16848
1516,11155
1516,4965
2079,72553
1516,5835
1516,32717
1516,74090
74,16744
1516,59626
1516,11052
74,33183
74,2039
74,26499
74,51056
74,26262
1516,74284
13513,3229
74,18378
9492,3077
74,37489
74,14631
1857,74392
1516,24998
74,7437
74,3191
1516,15807
1516,65748
74,50781
74,25779
74,12116
4575,30570
1516,34081
74,58757
74,44050
74,17159
74,35385
74,30050
1901,13288
74,24482
74,6358
4575,16859
74,10352
74,23869
1516,8704
74,567
74,253
74,8525
74,40110
74,9046
4099,4850
74,25495
1516,52188
74,25504
74,49769
4575,1799
1516,75045
74,45536
74,66637
8307,4922
1516,44360
1516,61148
74,23700
74,56671
1516,19772
74,29980
74,46760
74,16717
5813,26356
1516,496
