persondiedatage_1,persondiedatage_2
1310,1311
2314,2315
2641,1311
2135,2979
3084,2979
3525,3526
4180,4181
3012,2979
1344,4465
5062,5063
5793,1311
4567,1311
6892,2315
7070,7071
8325,1311
8510,2979
11129,1311
13039,4465
16256,2979
17170,1311
18378,2979
4311,2979
5733,2979
15971,7071
19995,1311
15014,20396
2730,2979
21790,2979
3361,6040
22550,20031
22591,7071
4922,23046
23244,23245
8594,1311
11052,2979
2507,13025
24973,1311
24982,7071
25079,13025
25733,25734
25789,7071
14085,20396
11944,17260
1121,20031
22932,7071
20693,20451
28463,4465
29121,4889
14540,2979
1990,2979
29622,23796
4879,1311
30277,1311
30401,1311
30883,30884
30992,30993
31110,5063
6274,1311
31822,7071
10990,1311
9584,2979
33268,33269
24502,13025
34845,1311
3031,34981
12940,2979
10930,2979
20032,20031
7109,11596
37139,2979
37196,1311
5630,5063
39158,2979
36168,20361
1991,1311
39411,17260
27710,4465
2240,30884
3330,2979
17287,1311
40276,5063
9777,4465
34982,34981
7841,2979
2308,23245
41016,4181
41026,35489
41321,2979
41676,37935
41926,3526
30870,33269
35180,7285
40852,2979
34081,7071
24267,2979
44014,13025
7127,18037
8117,7071
34854,19068
45141,7071
22452,2979
9336,20396
30967,30966
45525,2979
6213,2979
159,1311
1234,20396
46006,4465
11299,2979
46278,20396
3905,1311
20452,20451
47007,20396
28905,2979
47102,13025
7396,2979
47798,23796
29579,20396
31086,28454
30204,2979
35269,48488
20164,35489
45136,13025
7075,2979
6607,1311
50462,7071
50467,26267
6163,1311
12207,1311
34738,51030
15068,18037
6590,23245
11193,1311
46300,2979
19692,1311
27803,37935
52021,20361
52586,1311
52850,2979
49266,1311
53064,2979
37825,30884
47795,1311
14621,7071
6370,3526
7437,1311
31221,20361
55147,2979
18200,2979
53132,2979
3627,4465
18979,17260
45999,11596
1122,20882
18615,11596
14713,4465
56892,2979
19441,20396
3787,7071
3238,1311
57531,20361
3113,13025
49854,11596
57818,1311
3230,5063
21642,1311
35710,1311
124,55547
3659,55547
20518,55547
58998,13025
43064,2315
59264,20361
59297,30966
10164,1311
7193,2979
53437,4181
60041,2979
47011,2979
39822,1311
20362,20361
60779,7071
9296,7071
60921,33269
55157,2979
5137,1311
2590,7071
56541,7071
12157,2979
43580,1311
2717,4465
18231,20396
48113,17260
62267,2979
62584,4889
14612,1311
4890,4889
4604,3526
62840,20396
9120,1311
28581,2979
52162,37935
7456,1311
41725,2979
36687,2979
64322,1311
11987,7071
64563,1311
935,1311
15662,37617
59790,20396
56275,2979
48056,2979
12564,7071
253,1311
65634,2979
13026,13025
65955,4465
63376,31852
66088,1311
66096,1311
66190,1311
53183,2979
25295,11596
13308,2979
14002,7071
22920,13025
61445,48488
30143,1311
9934,2979
18706,7071
50138,2979
31853,31852
44449,37935
8683,17260
67249,1311
24376,1311
44372,23796
9530,2979
67615,28454
23797,23796
67692,1311
23426,2979
23929,3526
18036,2979
57618,2979
52770,2979
8734,26267
1789,1311
66032,7071
11534,19068
44953,2979
68614,4181
17028,1311
38580,2979
7751,1311
56140,48488
5876,1311
11853,2979
9771,4465
61168,2979
40851,19068
45315,7071
55664,1311
7459,20396
17883,7071
70195,20396
24190,2979
70366,36990
17342,2979
12345,7071
70518,2979
29096,1311
10904,2979
60563,2979
5783,17260
22816,20882
20087,2979
71051,1311
11230,13025
15531,1311
70810,33269
45443,7071
6228,2979
18305,18304
71504,2979
8623,37935
69432,1311
3995,13025
65289,23796
71789,35489
54206,30966
41515,7071
41112,34981
10352,1311
55028,2979
60223,7071
72244,20361
72261,2979
5226,2979
18389,13025
14535,1311
1858,2979
13155,2979
66310,4889
9073,2979
44677,25734
13994,2979
1866,5063
46371,19068
9472,69810
27389,2979
68850,2979
1973,2979
33098,7071
15009,1311
4850,2979
12204,2979
43680,1311
41852,1311
18038,18037
9048,1311
73628,2315
187,1311
4071,1311
69753,4465
3912,29034
7876,1311
49762,20361
36991,36990
9971,2979
26954,37617
9019,7071
42726,7071
3212,2979
5325,4465
51371,4465
26384,2979
11597,11596
19917,7071
68112,36990
73194,13025
60317,20031
47293,1311
23927,2315
3247,2979
33393,4465
20303,1311
72981,1311
11930,26267
73981,25734
15603,13025
55148,7071
1995,1311
8525,1311
6268,2979
10102,7071
65127,2979
16005,23245
25030,7071
43582,4181
2360,7071
43347,25734
8301,2979
30283,5063
20651,33269
31456,4465
10562,2979
45773,2979
58077,1311
18553,11596
10086,4465
29870,2979
455,20396
56570,7071
49350,6040
9046,2979
75251,20396
16551,31852
1784,2979
70900,26267
60635,2979
19774,4465
14631,11596
16857,18304
75311,23796
55314,7071
6041,6040
75220,23796
54322,20396
12999,1311
8466,25734
35490,35489
56339,1311
58757,2979
57278,2979
67420,1311
68726,7071
34352,2315
13852,2979
2561,2979
11360,1311
63787,34981
29980,2979
5794,4465
45706,1311
65300,2979
32129,4465
28455,28454
26924,2979
778,1311
3504,1311
25770,20451
73047,7071
15894,1311
7286,7285
