persondiedatage_inv_1,persondiedatage_inv_2
1311,1991
2979,3012
4889,4890
1311,5137
2979,5226
1311,5876
6040,6041
1311,6163
2979,6213
4465,5794
7285,7286
2979,7841
2979,8301
1311,8594
2979,9971
7071,10102
2979,10904
11596,11597
2979,11853
1311,12207
13025,13026
2979,13994
1311,5793
7071,14621
4465,14713
1311,15894
1311,17028
2979,7075
17260,5783
2979,17342
7071,2360
2979,18036
18037,18038
18304,18305
13025,18389
11596,18615
7071,18706
17260,18979
19068,11534
2979,11052
2979,9530
4465,19774
20031,20032
20361,20362
20451,20452
20882,1122
13025,22920
2979,13852
7071,22932
23796,23797
2979,24190
18037,15068
20451,25770
1311,6274
26267,8734
2979,26384
2979,27389
23245,23244
4181,4180
28454,28455
2979,3084
20451,20693
2979,28905
29034,3912
20396,29579
2979,29870
4465,2717
4465,13039
2979,30204
5063,30283
2979,3247
30966,30967
28454,31086
1311,11129
20361,31221
25734,25733
4465,31456
31852,31853
7071,33098
1311,24973
7071,34081
1311,159
2315,34352
23245,6590
4465,9777
19068,34854
34981,34982
7285,35180
5063,5062
35489,35490
1311,19995
17260,11944
20361,36168
20396,1234
3526,23929
36990,36991
37617,26954
37935,8623
1311,15009
7071,31822
20396,18231
34981,3031
2979,13155
1311,39822
1311,30277
19068,40851
2979,11299
34981,41112
7071,25789
7071,41515
1311,41852
1311,11360
2979,5733
2979,1973
2315,43064
7071,14002
1311,43580
2979,8510
2979,18378
23796,44372
37935,44449
1311,17170
25734,44677
1311,29096
2979,44953
2979,12204
7071,45315
4465,28463
7071,45443
2315,2314
2979,45773
1311,14612
11596,45999
2979,46300
19068,46371
30993,30992
1311,8325
2979,3212
2979,47011
4465,5325
1311,4879
1311,47795
4889,29121
20031,22550
18304,16857
6040,49350
20396,15014
20361,49762
1311,20303
1311,10164
31852,16551
2979,50138
5063,3230
2979,12940
2979,3330
4465,46006
2979,41725
1311,4567
23245,16005
23796,29622
13025,2507
2979,40852
2979,52770
2979,7396
23796,47798
30884,30883
2979,53132
2979,53183
4181,53437
1311,253
1311,9048
20396,46278
30966,54206
51030,34738
1311,17287
7071,12564
7071,55148
2979,55157
7071,55314
55547,20518
7071,22591
1311,3504
37935,52162
1311,19692
1311,935
48488,56140
1311,56339
2315,23927
7071,56541
7071,56570
1311,21642
30884,37825
5063,5630
2979,57278
2979,57618
26267,50467
1311,58077
7071,45141
1311,11193
4465,27710
3526,3525
2979,58757
7071,19917
20396,59790
20396,455
4465,3627
35489,41026
7071,60223
20031,60317
7071,15971
2979,60563
13025,15603
11596,25295
2979,61168
48488,61445
2979,21790
1311,15531
2979,1784
4465,32129
7071,50462
1311,10352
11596,18553
7071,9296
4465,10086
31852,63376
1311,8525
34981,63787
2979,2730
2979,10562
2979,18200
1311,43680
2979,60041
7071,9019
3526,41926
2979,65127
23796,65289
2979,65300
2979,14540
1311,24376
2979,45525
5063,31110
20361,57531
13025,45136
7071,66032
7071,60779
4889,66310
7071,12345
23046,4922
2979,2135
1311,30143
2979,6268
7071,8117
1311,66190
1311,67420
55547,124
2979,53064
4465,9771
7071,17883
36990,68112
30884,2240
4465,1344
5063,1866
4889,62584
13025,24502
1311,55664
33269,20651
7071,68726
2979,68850
11596,14631
1311,9120
25734,8466
2979,28581
2979,2561
7071,25030
1311,69432
4465,69753
2979,23426
25734,43347
69810,9472
1311,1995
1311,37196
20031,1121
1311,12999
37617,15662
1311,187
1311,6607
7071,11987
11596,7109
2979,37139
33269,70810
26267,70900
37935,41676
20396,70195
4181,43582
2979,41321
1311,35710
4181,68614
20396,14085
7071,42726
28454,67615
1311,34845
2979,70518
1311,10990
35489,71789
1311,7456
3526,6370
2979,9934
2315,6892
1311,3905
20396,7459
2979,36687
2979,4850
1311,66096
13025,25079
2979,12157
2979,9584
1311,64563
2979,20087
33269,33268
23245,2308
20396,62840
1311,4071
1311,67692
4465,51371
30966,59297
1311,47293
3526,4604
2979,71504
1311,2641
2979,9046
11596,49854
2979,48056
1311,45706
1311,72981
20396,47007
7071,73047
13025,58998
20361,59264
13025,73194
13025,3113
1311,66088
5063,40276
55547,3659
2979,60635
37935,27803
17260,48113
17260,8683
1311,14535
7071,3787
1311,7751
1311,30401
25734,73981
36990,70366
26267,11930
13025,47102
7071,7070
1311,71051
2979,7193
4465,65955
2979,24267
17260,39411
2979,22452
2979,56275
33269,60921
13025,11230
2979,9073
2979,38580
1311,3238
20396,19441
33269,30870
2979,39158
2315,73628
1311,7876
35489,20164
2979,16256
20361,72244
1311,7437
18037,7127
7071,24982
2979,10930
13025,3995
4465,33393
1311,778
2979,13308
2979,1990
2979,1858
2979,72261
6040,3361
13025,44014
7071,2590
23796,75220
2979,62267
1311,49266
20396,75251
20396,9336
48488,35269
2979,52850
2979,55028
23796,75311
2979,6228
4181,41016
2979,56892
2979,4311
2979,65634
1311,1310
20396,54322
1311,1789
2979,55147
20361,52021
2979,26924
1311,67249
2979,29980
1311,52586
1311,57818
1311,64322
20882,22816
