personhasjobposition_1,personhasjobposition_2
129,130
935,130
2001,2002
2220,2221
4726,4727
5541,5542
5557,5542
5599,360
5716,5717
5630,130
8891,8892
9136,9137
9476,7327
9835,9836
10025,10026
10046,10047
10920,10921
9296,130
10046,12005
12374,12375
12386,12387
12708,130
12782,12783
12980,12981
2308,13199
14527,14528
15066,130
13088,15258
15387,15388
11230,130
16599,8758
16848,130
16872,16873
17394,17395
1234,130
18604,18605
18663,130
20024,20025
20164,20165
20243,20244
20312,20313
20438,20439
20442,130
20455,20456
19269,20818
16200,16199
22001,130
22517,130
17342,130
20219,360
22824,20818
1858,130
23497,5717
23517,20244
23539,360
23671,23672
23927,23928
24432,24433
24953,24954
25121,25122
25253,25254
25472,20313
25925,20313
8734,130
27015,5542
27116,27117
27138,130
27793,27794
27830,27831
437,12589
22433,8758
28698,28699
29016,7590
12926,13064
2983,29113
29273,29274
15,130
29590,360
29768,20456
5969,29815
29891,29892
30237,20456
13209,13208
31026,31027
31177,31178
31650,5686
31803,27770
32375,32376
32395,32396
28323,130
1866,130
33271,33272
33354,33355
33548,33549
3627,130
34624,23826
34639,34640
34694,27794
12421,12420
35389,35390
35571,35572
6590,130
19364,19363
35931,35932
36074,5686
36131,36132
1122,36326
9296,36365
27701,15750
20435,36994
13209,37085
17440,15388
23048,23047
37032,37705
28806,37741
13093,5542
18210,130
30726,38311
38375,38376
30338,5542
4850,130
38723,14528
38796,38797
39393,130
39486,20313
39643,130
32395,32376
40096,36132
437,40463
11816,5717
41589,37085
42040,33355
42129,14629
42138,20313
42300,42301
42312,20818
42357,42358
27332,20313
28856,43379
43497,43498
40371,130
43536,43537
43574,43575
39073,43626
8491,43693
43703,37060
43717,37422
17234,130
1122,34303
30726,14362
35777,130
24953,40218
44337,20244
44391,37705
32649,13208
40286,40285
7237,5717
45348,45349
31807,39331
25269,45421
11795,360
45599,20025
37015,130
5405,27676
45685,35435
45893,45894
46014,46015
46378,9137
5969,46469
27981,25254
6590,5542
6358,130
1122,8870
14,130
17935,6390
47407,47408
31376,20165
1382,47564
47581,47582
46630,25254
48022,44099
26594,26593
9771,130
43573,48683
48708,20313
187,130
47366,35435
10169,10168
50072,50073
50201,50202
50204,2221
50218,50219
13126,13125
9136,50279
50285,50286
50292,50293
42126,35572
50826,50827
50967,50968
1671,5542
51163,13064
11534,20439
51626,9836
51718,5686
49165,35932
1122,13199
43497,130
52166,52167
52177,52178
6591,5542
16848,5542
52812,32376
27282,52991
53366,53367
53414,9836
38917,6390
1122,27676
17691,53800
53835,50219
12782,20818
54456,26593
31291,360
51163,12005
44518,35435
16281,27492
55567,55568
47811,130
55751,55752
55962,29892
56005,56006
56008,32376
50519,43379
5405,26245
34620,12387
56394,56395
51385,51384
20087,130
56604,56605
56364,32957
56722,12005
13739,20436
12025,56889
5969,57017
6945,40463
5716,57279
23827,23826
2968,26593
17452,48818
29273,57637
21496,45421
30554,360
36289,57964
58035,44099
16693,40463
13088,58159
42488,58179
9154,130
58622,58623
35148,20818
5355,56829
2983,36872
19776,5542
39761,39760
59490,59491
59514,59515
47407,59529
59532,50202
29166,130
45235,59677
59771,59772
5969,13064
40896,6390
1684,5542
59904,59905
31049,46638
56624,56623
11534,5686
33502,12375
1122,37902
7866,360
51230,27770
796,58188
60565,60566
20894,20893
51889,20313
46378,61101
51230,61578
61639,61640
23768,25254
5405,62009
26328,130
8759,8758
51404,20025
62623,62624
55448,19270
4916,130
62834,7327
55061,55060
53160,2221
63268,12375
63522,63523
43897,12387
9777,19011
63124,7327
49946,12387
7421,25254
41744,59677
64194,64195
35558,61466
48805,34640
13209,64546
64629,64630
65045,29892
44324,44323
5384,5383
15751,15750
2534,130
1995,12387
41024,10116
29096,130
11570,130
43356,16838
44310,130
1122,26245
59419,19270
9433,357
57941,7898
60547,20818
65977,20025
66016,360
19776,130
45972,45971
66309,12387
1122,8758
4578,47582
48794,56605
10787,9585
5969,30108
58247,130
49818,66881
3449,3448
33573,24947
67051,25254
6857,130
29273,32318
1122,32376
55969,55968
59784,8758
1122,67279
46108,45421
42300,67614
13829,13828
67445,20456
4683,16364
19271,19270
62472,21364
47062,20818
28512,68001
196,360
56079,56078
13994,12387
13209,57601
48185,68341
63053,49817
16839,16838
49753,16567
68492,51779
48786,68523
21047,21046
68610,32957
68075,6339
68720,68721
41254,37085
28560,58754
5641,130
35571,51779
10046,69142
24537,11356
69185,15388
8576,130
69277,35435
7193,130
69336,37164
16365,16364
38486,63074
28364,28363
36848,36847
65372,65371
4311,130
7591,32541
25504,130
9835,7590
39643,26245
9777,130
70159,40804
18340,130
69561,17052
27249,20818
3708,14611
12025,68146
58442,130
28824,130
1122,17479
45309,45308
63848,63847
1122,62009
70813,32376
41427,68253
70961,70962
9073,8758
71197,55980
71201,71202
31049,32376
7591,7590
55981,55980
58328,32376
11795,58188
5687,5686
50436,16567
8423,5385
32899,130
123,5542
71673,71674
1122,9836
38375,71699
35436,35435
52876,15537
3658,5542
5687,71746
20435,20434
71959,71960
5384,66180
1122,70389
14087,130
7109,130
40805,40804
463,32957
72032,20244
72032,37705
72472,72471
22742,22741
70004,12375
33804,14611
65267,65266
60233,360
50461,130
37603,37602
11785,130
71514,45421
28190,13208
72917,24947
43424,35756
44623,32376
72973,72974
2968,130
23445,8758
37032,7327
57137,50202
2308,130
15977,130
9073,43498
17416,33549
50292,51779
50336,360
2308,5542
20838,130
796,360
2968,27676
58328,29892
23836,35756
67854,73398
38375,44262
5405,26593
43021,20025
24853,16838
10929,130
7841,130
1122,26593
19772,130
59229,15388
61088,59772
48047,40463
73192,15388
59083,71995
62501,56605
61989,61988
1335,73758
55552,55551
39073,7590
60810,60809
40049,40048
11343,11356
40151,44099
24115,37422
9073,130
33234,130
58709,58708
29300,360
56357,8758
21044,12387
42381,42380
18631,37060
19047,130
74269,74270
50336,50335
39287,37602
74326,130
65489,360
49818,49817
62684,5686
24003,24002
44814,44813
55037,4056
15009,130
45779,28179
72186,56605
10835,58781
1198,36365
74558,5717
5325,130
5405,130
74681,74682
1514,48318
74695,50202
57705,55568
71088,360
16829,16828
74044,8758
59849,20025
13233,130
12025,68372
19711,130
38603,16567
51121,8758
28124,5542
35225,35756
16454,23469
27493,27492
15751,20025
41024,41023
53513,36365
68759,130
15531,130
14440,5542
40578,5542
32942,25122
60493,60492
17053,17052
23020,360
5405,5542
24953,38797
70380,70379
16663,16662
31261,130
1858,26245
19558,360
1122,130
46399,130
58748,58747
6549,14611
34035,5542
24013,12387
74684,20456
16290,360
11966,25254
2001,24947
25782,32957
67347,67346
71286,12387
5641,5542
45378,35435
14440,130
33282,69690
46155,360
74555,74554
74258,14190
21365,21364
16281,35756
24953,74371
32195,9158
473,25254
74898,74897
29243,130
25030,130
18442,130
13209,75232
74767,32376
74967,74966
49528,3448
19770,72716
2968,5542
4057,4056
123,130
5312,60675
1122,5542
