personhasresidenceingeopolitic_1,personhasresidenceingeopolitic_2
1025,1082
1174,1953
4921,712
7295,6069
7743,3689
9899,9900
11491,11492
1025,977
1174,2079
7295,116
14650,14651
1174,6441
1174,4089
17416,17417
17561,3805
17822,1901
17905,17906
5803,844
1174,321
14650,4764
1174,1627
7295,3034
1174,1016
22210,1901
1174,819
8414,16508
10835,23913
22210,24050
24537,3307
24621,6
1174,2158
2397,17
26951,6071
15977,27092
1174,459
4921,17417
27701,27702
1174,26221
27875,2366
27968,7650
1174,1844
29420,29421
30251,3307
30405,3870
30527,10090
31049,859
1174,1966
1174,8272
16899,6375
32195,1062
18874,1627
9433,3870
34425,23423
34738,23402
3932,103
8423,1157
1174,3105
1174,1568
5803,819
1174,9990
10835,29352
437,90
1174,905
34005,6
22824,24206
1174,2417
1174,3005
33548,3805
38556,114
27875,40081
1174,3930
41069,41070
41486,41487
41744,41745
27968,42020
30554,29078
5803,5802
1590,1591
1174,351
14434,914
1174,2953
45235,42020
14434,45808
46412,1868
17905,29352
46844,12182
8414,8413
47569,299
20164,17906
14421,319
437,1098
48836,802
49913,1421
43317,1256
33611,3518
46108,46107
2860,51413
5803,1966
36289,17
52760,6386
18874,270
8423,53045
14421,39607
27701,1901
53395,243
1174,20891
3246,128
28856,2605
55058,1374
1174,859
1025,5863
5803,2417
13785,1098
55780,859
20280,565
1174,3370
1174,30672
21496,3
44518,15446
45706,27092
47493,52187
1174,18283
17822,24050
1174,1374
6041,49994
1174,1092
19376,9404
18874,819
1025,58717
17691,11563
14650,23423
34425,4764
49210,299
17691,46746
1174,3726
1784,6441
13785,3034
1174,8495
60703,1627
42488,859
1174,36
5803,1627
1174,6375
60167,1131
18492,751
31651,3726
29768,8310
12480,23423
1174,11872
64048,8272
1174,1724
49400,11187
62472,905
1174,3897
36348,5802
5803,7905
1174,904
1174,4299
46267,46266
1174,6
17905,13433
34005,844
1174,13294
8048,8047
1174,2424
10667,4047
34425,14651
1174,2366
66636,21785
17151,1061
5803,3805
1514,2307
5803,859
18874,859
359,321
15977,819
67326,67327
40151,1901
31291,31290
49007,751
32313,3055
1174,243
18874,4089
67984,1868
7847,80
33656,16490
55780,4089
19269,19268
68453,270
10835,13433
41744,68650
1025,46882
59083,59082
1174,8952
45706,819
8022,3034
61174,61173
48185,8272
69295,14548
20164,29352
26070,565
28364,1868
12480,20095
41069,69764
2730,270
56381,657
61174,62940
23277,2303
36336,60915
25269,270
1174,2349
1174,2625
9433,1098
71071,6375
28856,901
1174,3870
53982,2158
32560,2494
19402,23068
49400,700
40271,977
1174,8672
18874,904
36090,319
43317,901
49125,299
1174,8680
13785,17
64256,751
48409,1627
22307,23423
14636,3105
23517,4147
8951,1568
34720,1868
5803,1050
5803,1868
437,1627
4057,26807
5803,36
55121,36
42488,74150
34005,321
43317,2514
1174,844
1174,2303
1174,1868
27701,24050
1174,8162
1174,16270
1025,1188
53239,717
45235,74798
71514,71513
8496,8495
1174,4499
3588,1884
29420,17417
43317,9147
8022,977
20509,9422
62472,29773
1174,3538
36336,8687
16561,36
68816,321
7847,34228
1025,3034
29088,2625
22307,20095
5803,866
1174,7557
1174,717
18874,1953
1174,866
1174,10367
1174,5764
1174,270
897,6441
1174,36125
34005,6375
40894,17
55542,859
14569,14570
29548,29547
29548,1593
73307,1966
34409,4202
