plantgrowinginplant_inv_1,plantgrowinginplant_inv_2
363,9031
363,12231
17902,12231
3546,20802
363,21099
3546,14942
3546,382
22378,22379
9958,25432
3546,29309
3546,3545
363,31860
3546,33347
363,37699
3546,20300
3546,41552
3546,45862
26847,363
3546,8887
12584,31471
1009,47486
3546,49463
363,49993
8963,363
8963,50036
9958,22442
3996,56451
9958,840
3546,31471
3546,58592
9958,1009
3546,45300
363,840
15871,58178
3996,60046
3546,36477
363,61141
26847,26846
3546,21551
3546,21099
47383,36477
26847,9958
3546,12159
3546,64628
3546,64163
9958,3997
24908,12231
67150,1009
9958,3546
3546,8963
3546,29623
363,36477
363,31471
363,19839
14942,1009
3546,69908
3546,3996
363,10338
4331,1009
9958,363
8963,12231
3546,1009
9958,11066
363,1009
47383,1009
382,12231
9958,8963
3546,73583
363,55411
363,59591
3546,1430
8963,840
15871,36477
56577,19839
363,22942
3996,69225
3546,22379
3546,1315
3546,23193
3546,71662
3546,9115
9958,382
3546,20691
363,9958
363,20691
3546,701
1009,12231
1009,50036
3546,18995
15871,1009
