plantincludeplant_1,plantincludeplant_2
363,364
701,702
1314,1315
363,1540
2346,363
2384,2385
2753,2754
3996,3997
363,2769
4435,363
363,4744
5282,5283
5650,363
6506,363
363,6579
6935,363
363,6940
7091,363
3546,1429
7996,382
3546,8090
363,8246
363,702
8722,363
8780,363
3546,8907
9054,9055
363,9115
9382,363
363,10084
3546,10613
363,10662
363,10884
10989,363
11038,363
11314,4197
363,11759
11765,363
11800,363
11873,7576
11990,363
363,12245
12583,12584
12833,2384
1009,4197
1009,3997
363,1314
1430,5283
6991,5283
14158,363
3996,4197
8963,14358
1429,363
6991,14563
15051,15052
363,14563
12583,12159
15871,363
16013,16014
363,16528
6707,363
17375,363
17379,363
17671,8907
1314,17947
18027,18028
363,18336
363,18616
18853,363
12583,18934
1009,18950
363,19328
19998,363
20008,1430
20098,1767
20689,363
1314,20691
8963,21180
8963,21264
21180,21376
19240,8963
1009,2754
2384,2769
21374,363
21893,363
18739,363
363,22129
363,22298
3546,19240
22580,22581
363,11038
363,22749
1429,3546
363,20008
23098,363
23133,363
363,23301
363,5283
363,21124
382,7996
363,23815
363,583
363,24737
24950,363
25153,363
25340,363
25360,363
363,25387
1767,702
25754,363
363,26022
17754,1430
26071,363
363,26167
22442,19839
363,8907
12584,17754
18313,382
2384,14563
7577,7576
363,27248
17995,363
21551,12583
27956,7576
28185,363
2769,363
9115,363
363,28296
363,28322
363,28389
28439,363
28508,1430
3546,6707
363,28903
29014,363
29238,4197
29327,363
363,29340
20889,20888
702,363
12245,3546
30062,363
363,30380
363,18313
22298,17947
1430,2225
363,30498
363,30515
5283,6991
30643,363
14622,363
5074,363
363,30915
3996,30941
5283,12159
10595,7576
3546,7576
363,31840
363,31846
25044,363
1314,6991
11416,363
363,32306
363,32553
32616,363
29716,363
363,33164
363,33227
19240,3546
28280,363
27956,363
363,20889
28389,363
3996,34525
14358,3996
34995,363
8963,7996
12159,1314
17754,17671
363,35431
35481,363
363,35835
35852,17671
32593,1314
3546,35984
8887,5283
363,28032
36809,363
1117,1118
35852,6991
2385,2384
37315,363
382,12159
363,30864
363,7779
36562,363
37913,3546
38072,363
38124,363
1009,36060
38505,363
1009,38506
38514,363
363,11990
38577,363
3996,15136
16887,7576
363,6935
30915,363
363,21933
10613,7576
10870,363
40026,363
363,40160
363,40243
23406,840
4552,363
1430,29340
363,40471
20098,34607
363,41295
30515,363
2384,12583
41531,41532
363,28603
20098,35852
3996,41706
363,25340
5283,363
17754,21551
363,5142
2225,363
363,32616
42705,363
12583,2384
42972,363
363,39844
363,39916
43257,9055
363,43276
363,43296
1314,20179
17754,12584
363,44137
363,16400
11759,363
363,15393
363,8090
18336,363
3996,45013
45122,363
16887,363
3996,6506
23309,363
45713,363
45803,363
1009,25094
46176,363
46216,363
46262,363
363,10870
1314,381
363,45713
433,432
22580,3997
46764,363
24737,363
35593,363
20691,1314
363,38505
1009,34525
40477,1314
47501,363
3546,20098
363,43820
22580,4197
35852,363
41706,363
47861,363
4331,363
42935,363
3546,28508
3546,2385
1118,1117
363,6707
22129,363
48930,363
363,9787
17754,3546
14358,363
363,42754
363,24908
363,46068
1430,35791
34940,363
38743,363
8963,19240
363,49799
363,49864
363,49902
363,50043
363,50060
363,17947
50132,363
50242,363
363,50339
363,50453
17671,1314
17947,3996
10662,363
702,12159
17213,363
51047,363
48598,363
4371,3546
363,42349
32130,363
51203,363
17947,8963
363,14158
33297,363
363,23098
2720,363
43001,363
50339,363
21551,17754
46068,3546
17746,363
363,46262
52042,363
21124,363
363,36704
363,38743
28603,363
2384,8907
9055,52838
6707,2384
702,701
363,873
2384,12833
53812,363
53845,363
53987,363
48890,363
1314,1767
18313,363
363,7996
1009,25432
2769,2384
363,54449
1767,381
16014,16013
12245,17671
50043,363
7577,363
363,55137
28322,363
363,16887
433,25094
8963,21433
9787,363
363,55419
1314,5282
363,25754
363,12220
50609,363
1009,44910
46068,363
363,56011
2384,5283
28508,363
19240,12159
363,17213
1009,19839
8963,4371
840,23406
40160,363
1430,1429
33164,363
1314,3546
363,1702
702,1430
1314,701
28032,363
3546,2769
17128,363
433,57605
57708,363
9055,43257
56385,363
382,11800
43820,363
54038,363
363,4331
363,35559
20098,17947
49864,363
59318,363
49799,363
433,59456
59467,7576
2384,17754
363,38514
11800,3546
1314,11800
60083,363
363,2225
583,363
363,60083
1314,1430
363,55298
47814,363
363,1767
363,24966
5710,363
363,48930
6940,363
47625,363
1009,46307
363,61200
36704,363
1429,1430
363,59219
3513,363
363,26071
8090,363
61443,363
12220,363
363,18739
363,12548
23301,363
363,33297
8963,46068
1430,4371
5283,2384
3546,52443
363,1117
363,51227
62290,363
363,62350
42830,363
22898,363
61200,363
43276,363
51700,363
363,30643
42349,363
1430,20098
8907,363
363,15851
58968,363
3546,5283
363,20888
50899,363
15851,363
2384,16887
4371,1767
363,35481
4744,363
1430,8907
24966,363
59318,7576
363,18853
59265,363
2385,363
37913,363
363,40431
12159,12583
18275,363
363,12583
363,30062
40471,363
1430,20008
64354,363
54504,363
3996,20889
382,64530
3996,702
32553,363
3765,363
363,58968
363,25187
17671,5283
363,821
1314,363
1314,12159
12583,363
1314,24491
363,57358
57208,363
363,21264
22442,363
5282,1314
363,59318
363,20450
19240,363
54449,363
821,363
363,15871
363,32027
363,66318
22749,363
363,34940
66444,363
42754,363
24491,1314
363,48598
363,50242
21180,51357
3546,1314
21180,66687
363,46764
363,5650
1009,18616
8090,3546
1009,66798
61199,363
1430,12583
4371,49463
50060,363
21180,61099
363,29014
363,48423
363,28508
363,50299
363,36562
9115,5283
17947,1314
54142,363
5283,382
363,27956
363,38691
22580,67382
363,11416
2384,57208
14563,2384
8246,363
382,20889
363,17379
363,22898
5283,3546
12833,363
64459,363
3996,14358
14563,6991
702,1767
4371,22379
29340,1430
29238,21189
32027,363
363,11800
3996,56854
1117,17238
8963,6506
363,28185
363,4552
363,3513
45645,363
363,28280
22580,34402
28508,17671
363,47861
363,2913
363,32582
12583,21551
363,51203
3996,17947
363,57208
363,26846
363,35791
363,68716
2720,1117
14563,3546
5142,363
363,21893
381,363
363,34995
363,11873
19695,363
2384,1314
363,54142
363,4371
28626,28625
363,14358
3996,25432
363,46216
363,30523
16528,363
363,25360
22580,18950
41295,363
20098,1430
8907,2384
363,63572
8907,3546
363,20689
1430,17754
41532,41531
6991,20098
363,59774
363,10989
12159,17754
2913,363
69040,363
363,13538
363,19695
46068,20300
702,3546
59498,363
