plantincludeplant_inv_1,plantincludeplant_inv_2
381,382
432,433
363,821
873,363
1117,1118
1429,1430
363,1702
1767,363
2225,363
363,2720
2384,2769
363,3513
3684,363
3765,363
3546,4371
3546,4401
363,4552
363,5074
5142,363
363,5710
2346,363
3546,6707
1314,6991
7576,7577
7779,363
363,7801
4331,363
8887,5283
363,9787
10338,702
7576,10595
1117,363
7576,10870
363,11416
12159,5283
3546,1314
363,12220
363,12548
363,6940
10870,363
13538,363
7801,363
1540,363
6935,363
363,14622
15136,3996
363,15393
363,15851
363,6579
363,16400
363,7996
1314,381
363,16887
363,17128
17213,363
17238,1117
363,17213
363,17746
363,17754
10662,363
382,433
363,17995
363,18053
7576,16400
18275,363
363,18313
17754,2384
18739,363
3546,19240
5710,363
363,19695
1314,20179
363,20450
20888,20889
363,21124
363,21189
363,21374
363,21433
21551,1314
7576,11873
19695,363
363,21933
382,5283
22898,363
363,23102
363,23309
840,23406
363,1429
1314,24491
363,2385
24880,8963
363,24966
363,25044
25094,1009
363,8907
381,1767
363,4331
11038,363
17947,1314
363,23133
363,28032
21189,8963
363,28280
1314,3546
28603,363
28625,28626
381,363
18950,22580
363,23301
363,28625
4197,29238
9115,363
23098,363
363,29716
17754,1430
363,29327
363,30643
10989,363
30864,363
2720,1117
363,11800
16887,363
32027,363
363,32130
32582,363
32593,1314
16400,363
363,33297
28508,2384
1767,8963
363,16528
5283,701
16887,2384
363,7091
34402,22580
1430,20008
34591,363
29014,363
34740,363
34940,363
1702,363
20888,363
17379,363
363,27248
3546,35541
3997,1009
35559,363
35593,363
21189,3996
363,29014
1430,35791
31846,363
36060,1009
17671,35852
36562,363
3997,11314
363,36704
363,36891
27248,363
30062,363
363,37494
21189,29238
363,10084
363,17379
12159,12583
22379,1314
5283,1430
363,30941
15052,15051
38691,363
22298,363
363,38743
8963,17947
37913,363
363,9382
363,32616
32616,363
363,21264
363,18739
7576,363
2384,17754
3546,1429
17754,17671
2384,6707
39844,363
12548,363
12159,17754
18027,18028
40431,363
40477,1314
6579,363
40026,363
363,10989
3546,41105
12583,3546
3513,363
12584,12583
41571,1009
42042,22580
38072,363
2384,29340
363,42349
5283,5282
363,30062
363,30523
363,42754
363,42830
363,20098
42935,363
43001,363
30523,363
17947,702
24908,8963
363,6707
43820,363
20098,3546
363,34591
363,35481
3546,14563
363,35431
363,38505
44910,1009
21551,12583
7996,363
45645,363
3546,11800
364,363
38514,363
45966,363
1315,1314
18028,18027
46068,8963
5283,12159
28296,363
363,38124
6991,14563
40243,363
19240,3546
2769,2384
28322,363
26167,363
363,10884
23815,363
22580,3996
821,363
47625,363
47814,363
363,31846
30380,363
6506,3996
41532,41531
363,25754
25387,363
38505,363
363,48423
363,36809
363,5650
48598,363
48890,363
381,1314
363,13538
17947,8963
5282,1314
6991,8907
35852,363
20889,8963
363,381
363,45122
363,26167
363,26022
50299,363
2385,363
24880,363
382,7996
363,50609
14358,8963
50899,363
21264,363
8090,363
40160,363
5483,9055
51227,363
702,10338
363,51409
363,19998
16014,16013
12583,12159
363,8722
1117,2720
29327,363
51203,363
52210,363
363,8780
5283,363
20008,1430
52443,363
1117,17238
363,45966
2384,12583
363,38072
32553,363
21264,3996
363,2225
3996,17947
363,8963
3997,15051
46068,363
7996,382
21893,363
3546,12583
12159,1314
363,54038
363,54142
1430,29340
363,21893
2384,363
363,54504
363,10870
363,43820
24491,1314
363,50060
363,42935
46262,363
363,35984
363,45645
17671,1314
1314,17671
55298,363
8907,17671
363,51227
50060,363
5283,3546
363,36562
3546,12245
363,55419
47861,363
38743,363
363,56385
1314,12159
363,33164
4371,1430
363,28296
41531,41532
4197,363
56645,363
363,28389
8090,3546
56854,3996
18950,1009
23301,363
18053,363
363,57105
52838,9055
10084,363
2384,57208
17754,21551
363,28903
57358,363
363,38691
38577,363
41706,363
363,43276
363,46176
363,52443
56385,363
363,57743
363,25387
19998,363
41295,363
49463,4371
363,46262
24966,363
15851,22580
22942,363
6991,20098
363,702
58476,1009
2384,8907
12583,18934
50043,363
18313,363
12159,19240
363,20008
58968,363
4371,363
363,59219
44137,363
59265,363
54449,363
1430,20098
702,363
21433,363
59498,363
363,3765
7779,3996
3997,22580
35984,3546
23406,840
59774,363
34525,1009
49902,363
20300,46068
20889,382
12584,17754
1118,1117
60193,363
363,46216
8246,363
363,60386
7577,363
8090,17671
1429,3546
53812,363
29716,363
363,35593
363,24880
26071,363
8780,363
363,28439
363,40243
363,5283
61099,21180
363,12583
363,61199
363,11038
11759,363
1430,12583
7779,1009
17746,363
17947,22298
363,24908
12583,2384
61443,363
2754,1009
363,47814
7576,59318
61879,22580
20098,1430
363,2346
363,58968
37315,363
1430,702
1314,40477
363,46068
17754,12584
62680,1009
35984,363
363,4435
33297,363
363,30515
363,62833
62915,433
363,34740
702,3546
363,1314
17128,363
3546,702
63443,3996
382,10870
63572,363
363,30498
363,11765
363,4744
31860,3996
18934,12583
36809,363
363,26071
363,56011
45713,363
25187,3546
363,32553
363,52210
17947,3996
363,64459
32130,363
25094,433
382,363
28508,363
363,64649
57605,433
1314,32593
701,702
7576,16887
363,51047
363,14158
3546,2385
363,35852
22442,363
363,30380
363,22298
6506,363
363,25340
363,20689
3546,20098
19240,363
363,49799
25340,363
65737,363
363,59265
28280,363
57208,363
363,873
363,40160
363,59318
4552,363
363,41295
363,22129
24737,363
17754,363
1430,4371
363,11990
35852,20098
50339,363
1430,28508
15393,363
363,64354
363,17375
35984,8963
17754,12159
6506,1009
67179,3996
21124,363
41706,3996
14358,363
9055,9054
363,52042
2384,2385
363,18853
11800,363
52443,3546
35852,17671
50242,363
363,53845
66687,21180
54038,363
46176,363
363,47625
363,7577
363,28185
17671,8907
8907,3546
11416,363
363,29340
6940,363
53987,363
30498,363
11873,363
68336,433
32306,363
363,54449
26846,363
43296,363
363,53812
363,12245
363,61200
11800,1314
7576,4371
25360,363
1767,1314
42349,363
17754,8963
363,69040
382,381
363,44137
2913,363
16528,363
25187,363
25432,1009
363,18275
363,1767
363,40471
67382,22580
20889,363
17671,5283
3997,3996
3546,8907
35481,363
9382,363
363,19240
363,17947
363,23098
1430,5283
66798,1009
2384,5283
363,62290
363,50242
3546,5283
50132,363
25432,3996
20689,363
14563,2384
46216,363
70048,1009
11990,363
363,48598
20179,1314
12583,12584
55137,12584
363,37913
17375,363
4744,21180
363,1118
66444,363
40471,363
59219,363
12583,21551
2225,1430
363,22942
4331,3546
363,63572
363,24737
30941,3996
363,50132
21264,8963
20098,363
34995,363
35431,363
23102,363
2720,363
6991,35852
12220,363
48930,363
54504,363
701,1314
5283,17671
43276,363
7576,10613
1767,20098
66318,363
363,10662
363,34995
14358,3996
71266,21180
363,68716
57208,2384
363,60193
363,57208
363,11873
36704,363
363,22898
71611,1009
16013,16014
17947,363
363,51700
702,701
363,9115
21189,363
583,3996
7576,3546
19839,22442
15136,22580
2754,8963
4371,3546
28185,363
382,11800
46764,363
36562,3996
29340,1430
363,5142
363,45713
7091,363
363,8246
5282,5283
363,39916
49799,363
61200,363
22379,4371
363,31840
45803,363
35791,1430
363,62350
583,363
53845,363
35835,363
51409,363
363,30915
8907,1430
363,25360
7576,72685
20889,3996
15851,363
5283,382
3546,52443
17671,17754
363,1540
37494,363
9055,5483
30643,363
21180,8963
363,6935
363,23815
1314,1767
49864,363
363,24950
7576,27956
20098,6991
18616,363
363,50453
59456,433
62833,363
363,50339
4197,22580
19240,8963
363,56645
363,15871
14563,6991
22749,363
21374,363
7576,5283
363,22749
1314,17947
19328,363
4197,3996
59318,363
363,35791
5074,363
46307,1009
