plantrepresentemotion_inv_1,plantrepresentemotion_inv_2
1008,1009
1278,1009
2912,2913
4863,2754
1008,6454
9619,1009
17411,2754
1267,17858
19838,19839
1267,4197
16165,25500
27057,1009
27963,27964
28279,1009
2912,28663
27844,3546
1267,6454
32456,21551
33430,6454
33493,2754
27963,2754
33827,17858
33827,2754
33827,18950
23533,22581
23533,1009
19838,1009
1267,36060
44839,1009
9619,2754
22308,6454
45969,1009
1008,2754
2912,2754
48602,1009
32851,1009
49796,1009
30735,1009
16165,1009
1267,19839
44035,1009
22308,2754
55575,1009
17564,1009
2912,1009
52890,17858
56857,1009
30735,2754
57868,1009
46250,6454
33430,19839
55575,27964
32456,1009
44035,2754
1008,20300
33430,2754
17411,27964
52890,2754
44839,2754
64393,1009
32456,64571
64174,1009
44035,65208
32456,30523
45936,1009
23533,3997
16165,2754
33827,1009
28279,2754
17411,6454
44839,27964
68338,1009
56689,2754
1267,27589
33493,1009
1267,2754
55575,2754
69542,1009
33827,36477
70408,18950
4863,1009
2912,363
32824,1009
17411,1009
46308,46307
72933,2754
70408,2754
18623,6454
16165,27964
3890,1009
1267,840
23533,2754
18623,2754
74533,363
1267,1009
2912,12231
72316,2754
46250,2754
56857,2754
1267,37730
26608,1009
1008,4435
22308,1009
23533,23532
33430,1009
27844,2754
32824,2754
1008,3996
27844,25500
1008,22442
1008,18950
