politicianholdsoffice_1,politicianholdsoffice_2
359,360
1123,360
3257,360
3673,357
3919,360
5586,5587
6338,6339
7882,357
8506,357
8777,357
8850,5587
4410,597
3656,490
10029,360
3364,3701
1671,10707
10951,357
796,3701
11434,5587
11600,360
1671,12329
13103,357
1469,14157
16052,357
16338,357
17019,360
17161,360
17241,360
17736,357
18757,3701
19256,14611
19880,357
19933,360
17578,357
6224,13064
2397,21190
21235,3701
23038,360
1671,23329
542,3701
24173,360
24663,3701
24937,360
25132,14157
2379,14157
7866,360
19183,3701
26642,357
5586,360
7565,357
1469,13064
20219,5587
27508,357
1671,28375
28433,360
28444,4124
28563,360
301,15425
29139,3701
14555,360
29329,3701
29893,357
29987,357
1985,357
1920,14611
7665,357
1921,357
14968,11686
1476,357
32906,360
32953,360
32999,6339
5969,360
12137,14611
29945,360
6358,360
34096,3701
437,34152
34328,360
34503,357
34515,360
91,357
8506,360
7383,5587
9584,35248
20129,357
10336,3701
35682,357
4460,357
6225,3701
33322,357
28706,357
796,357
9584,38380
14796,14795
13356,3701
38704,357
11795,3701
7665,14795
39328,360
39409,360
31651,6339
7565,360
21710,357
12999,6339
20130,360
39409,357
22516,357
3146,360
12446,3701
1671,41074
5988,14157
5969,3701
36163,360
42934,14611
43079,360
40606,3701
43366,360
43756,357
5783,357
43795,360
2794,3701
23751,360
2893,44359
44703,357
1671,360
358,357
12137,3701
12137,360
16855,357
45325,357
45522,3701
45901,360
46008,357
11687,360
12446,12589
44493,357
46578,360
8496,14611
35542,3701
25882,357
1671,14157
47665,360
47760,360
44326,3701
47812,6339
17400,357
48122,357
43170,360
28444,5587
32072,360
44535,360
48919,6339
49140,360
49210,14611
43170,3701
25259,360
49988,360
50059,357
15178,6339
11550,3701
50964,357
28964,357
51733,357
3008,360
27876,3701
35223,360
1671,11686
30472,360
52986,360
6355,14157
21132,6339
796,21190
53127,360
48140,360
8156,14157
1671,12589
8850,490
2465,357
32008,360
53641,3701
9584,17567
45706,360
54154,357
1469,54332
33322,32957
54932,3701
2418,357
2893,3701
48653,360
1921,12589
55722,357
9588,360
49426,360
7383,3736
8433,3701
27375,360
3364,357
8156,357
57129,357
57296,6339
1671,4384
1123,5587
32,6223
33069,357
7489,357
25805,360
58194,3701
28997,3701
7383,360
58374,357
24205,360
58775,357
31335,360
39954,357
57538,6339
59019,357
59310,357
8850,6339
5314,360
43675,5587
6355,357
60101,357
55378,3701
48323,3701
60485,357
7665,3701
35542,360
54964,357
437,14157
3295,357
47031,357
29098,5587
14170,357
61143,14611
61220,5587
8850,1460
31077,360
18025,360
47810,357
61867,6339
1469,357
54964,360
1671,17479
2893,357
437,40936
6355,13064
62434,5587
35715,357
28979,5587
49886,360
12848,357
28022,360
62682,5587
7665,6223
30858,360
2397,11686
33175,357
3008,3701
4248,360
13785,3701
46044,357
63617,357
53466,360
44326,6339
32,63866
32008,5587
50869,360
48650,360
64069,360
8850,4124
64206,357
64292,360
10273,357
4579,3701
1671,33
24217,357
31335,3701
39354,357
17960,357
13785,360
5975,360
30554,360
65375,360
43170,5587
17217,360
8850,360
1985,3701
1671,62173
8433,14795
66049,360
16693,360
12453,360
11193,13064
14958,3701
19558,3736
437,14795
6224,33112
2333,360
43795,6339
28964,360
66928,5587
7665,12589
67055,360
26276,357
28463,360
33175,33
31086,3701
1671,55960
46051,357
14968,3736
23272,360
64428,360
1798,360
40134,357
32441,360
41611,360
12137,5587
25513,6339
29098,3701
68181,357
68499,357
12453,3701
4410,3701
21235,357
1671,40936
1985,21190
1986,3701
563,360
16693,357
69607,3701
66240,360
34328,6339
3402,360
9971,3701
46625,360
31452,357
42228,46638
14968,360
30476,360
70086,5587
29098,360
1789,360
5625,14157
38948,3701
70320,360
36014,5587
25513,12589
49914,360
23038,5587
70497,360
1671,3701
29232,12589
1469,14795
70709,357
36090,360
437,3701
62263,357
21235,14157
15558,360
20129,6339
39523,360
70891,3701
70927,357
38003,357
46645,6339
68953,357
38205,357
28833,360
34702,6339
71310,357
71313,357
14676,3701
30592,3701
56785,360
52672,360
25513,360
58803,357
5213,70724
41225,14611
32,11686
24205,357
10336,357
7383,3701
66597,32957
11687,11686
28979,360
1671,3736
14636,3701
72526,357
72620,360
26225,360
11193,357
38031,360
44534,360
72690,357
54964,3701
19558,3701
10097,3701
5625,357
32,15425
72913,360
1671,357
38658,357
66597,357
72011,360
25513,13064
1469,3701
32958,32957
73117,357
4831,360
65004,357
63441,360
8433,357
1671,6223
64256,14611
5648,3701
71983,3701
6003,3701
65162,357
1211,357
28784,360
91,3701
66462,3701
69224,357
73671,357
1671,34152
73716,360
11313,3701
14085,360
438,3701
2893,33112
1123,3701
71811,357
57918,3701
73850,357
54244,357
16219,357
22569,360
36268,14795
74028,357
1921,3701
2418,32957
43675,360
24663,5587
1671,74246
73864,5587
8850,3701
74323,5587
41715,5587
64161,360
7250,3701
50898,6339
2397,6339
5988,3701
12043,360
44321,360
5430,357
16859,62865
437,357
19583,360
301,3701
7973,357
7015,360
37252,37251
40143,40142
21332,357
65794,357
3008,5587
542,14157
5625,3701
74932,360
37942,360
17416,357
23565,3701
1671,34154
57469,357
32071,5587
10896,357
23038,357
41337,360
6586,3701
75175,357
65333,357
6485,360
455,360
69929,360
1986,357
438,357
36808,357
4579,360
67737,357
1671,72208
1671,7418
39500,3701
25920,357
72887,357
72582,357
3656,3701
7211,357
18553,360
19349,360
35861,6339
3686,357
19466,357
32,3736
4533,3701
5723,360
20895,360
12137,13064
75245,360
53664,360
1671,15425
4248,357
5988,357
71375,357
57032,357
1671,17567
8330,360
35531,360
1476,360
72741,357
1211,68322
31651,360
11673,14157
1671,38380
10112,360
32,17479
19475,360
