politicianrepresentslocation_1,politicianrepresentslocation_2
563,541
1253,192
4579,541
4666,541
5783,541
6778,3726
7665,7178
7698,717
8263,2625
8330,1901
8534,2158
8747,8672
9588,3034
9723,904
9955,2424
11670,3055
3686,541
7973,541
301,541
13056,90
13606,1092
3686,10365
5740,3538
301,2737
15471,2625
17909,1323
18017,17
19183,3034
19366,3034
920,133
1671,5863
3035,90
1985,541
20466,819
13129,541
1921,541
19183,541
1671,541
22632,541
23565,3034
13056,243
24332,2424
8433,3726
25805,541
25932,3870
6863,321
26346,541
4410,3034
26983,1844
27529,1627
27583,3005
25259,541
4336,3034
14676,541
8465,2701
19349,3034
28979,541
29209,4047
8850,1323
2397,541
28563,3034
30592,541
25820,90
5586,3034
32238,1323
2794,90
563,3034
30472,541
8951,90
3008,90
32849,90
32938,2706
30779,3034
10407,3034
34260,844
19366,541
7015,541
16855,541
11193,28107
11795,1098
3035,3034
6586,541
29098,90
6586,1098
18553,36252
12160,3370
796,7249
38031,1824
38170,319
14031,844
437,5863
8433,7178
29296,3034
1469,541
41106,2366
34593,36
10362,6
28444,1323
32441,3034
3656,977
42496,1374
32461,321
43872,541
44242,4556
44309,2349
22855,17
9971,45065
563,90
1671,20062
46476,3034
3008,21282
13129,3034
20005,3034
47865,321
796,8680
46625,5108
30592,977
47903,18283
20219,1323
11795,3034
7015,3034
796,10507
3035,1098
49006,541
49156,3055
920,6
1671,1334
20005,541
10604,3034
49639,2349
22463,90
10273,6
34530,243
50093,2417
13785,1323
32006,3034
50454,1016
491,90
14676,90
50869,1323
3686,192
796,541
1799,192
17400,541
2418,2417
28706,866
20202,243
3656,3034
30472,3034
52668,1568
53015,541
9433,3870
14796,866
7211,7249
47665,1323
18174,47069
24217,90
54703,54704
54850,6
2278,1627
30592,3034
16181,3726
55291,103
1123,1323
20383,3034
55723,3738
20219,1098
32158,32304
42228,28765
16859,541
1123,90
56558,3370
3035,541
40499,8672
28516,4047
8506,1724
796,1098
1985,977
35654,243
16181,541
437,1082
9723,90
57917,6
18767,6
12911,1323
11139,321
58467,3034
58546,5802
58638,541
38948,58717
54153,1568
4831,1724
11687,7224
3656,1098
59975,3805
60109,2349
60328,1953
29232,541
11795,90
43509,1098
24217,1844
29590,3034
19558,90
34720,1868
91,541
32,541
25132,6288
5975,541
1798,5802
61223,4089
61270,1323
11313,541
20383,541
36163,541
437,3034
31335,541
8777,3034
34328,6288
23552,819
61660,3034
38198,3034
47760,787
25259,3034
45234,3805
7015,192
3364,541
4336,541
53015,58717
8850,1098
2378,243
62591,459
6234,3034
23751,3726
7035,541
62917,6
24205,541
6355,3870
8951,3034
31086,541
6224,541
9413,1323
46045,1270
542,541
61571,1868
63808,3738
11550,3034
36268,1966
24663,3034
18724,7905
23072,4299
48173,8272
32158,3738
33077,18283
19558,541
65301,243
7383,90
5619,1724
437,541
29590,90
7250,541
4579,3034
1671,192
33555,3805
5988,541
57820,717
20946,3034
12752,3726
7665,270
12137,1323
6695,541
7211,90
8433,541
17416,6
65025,2079
301,192
6586,90
6695,3034
29098,3034
1123,192
28194,90
65593,717
58404,1374
54423,1050
12446,1098
10097,3034
6586,7249
11434,1323
20966,2366
21262,3034
3686,7178
29945,3034
66842,3005
30779,1323
7979,3034
7250,3034
68973,844
20005,90
31086,1098
25820,1098
64069,2708
63260,844
18767,133
31086,3034
61490,1724
4410,26096
49219,3034
15993,8272
5783,3034
2893,3034
1986,90
41337,1901
65917,3034
66863,541
70426,2079
6355,541
13468,1050
2404,541
17420,1323
28979,3034
35542,541
7211,3726
62482,8162
1921,192
7472,541
14170,541
4533,3034
59841,1966
48389,1627
57916,3034
29214,541
64073,4089
4533,1098
32879,541
68348,3034
17524,90
63724,7905
1986,3034
2794,3034
45278,541
3995,192
42586,3262
5058,3870
7665,1323
21132,3370
61220,90
7250,90
54964,541
26425,127
50059,1016
8434,541
8156,541
26172,1323
7565,3726
55233,978
49006,3034
20946,90
7667,1016
58677,541
7250,7249
14958,3034
59615,1627
54199,1953
73042,17
69553,1627
9588,541
48758,90
27878,1844
32879,3034
15214,541
25820,3034
14676,3034
4533,541
57296,1568
2404,3034
14075,3262
1921,73622
1436,541
19880,7905
5411,1323
6123,1568
38198,541
51045,459
61765,1270
29098,541
18767,3034
5723,541
73865,1568
3656,541
70954,978
11313,3034
1985,3034
48653,17792
47760,1824
4410,541
438,2349
30592,90
48058,2158
68016,3538
54964,3034
36940,4047
2794,541
5648,541
10097,541
25820,1323
66074,8672
29945,1323
4738,1953
8951,541
38948,3034
29214,3034
4410,1098
1476,3034
5969,541
7035,3805
2794,1098
16855,3034
47268,3370
11795,1323
7979,541
14533,90
21235,541
68910,3034
8850,977
62089,3005
28022,103
51602,3034
45278,3034
70115,3370
54073,866
38198,90
60279,245
29590,541
32169,1966
32008,3034
31335,3034
7641,3870
14958,1098
718,717
47938,541
45178,8075
19558,3034
43675,1323
48758,3034
1436,10365
11139,541
32008,1323
8850,90
13356,541
65411,866
20219,7249
30858,3034
5314,3034
491,3034
71686,1724
2893,977
46317,4299
72504,4089
42191,18283
18767,192
20946,541
39523,39522
74388,459
11434,90
28436,3055
69857,1868
21262,541
55057,3370
31086,90
61756,270
71692,71691
54888,3005
57422,5802
2893,1323
4579,90
4533,90
11313,90
55121,6288
30592,1098
18020,1966
56472,819
49109,8162
437,7178
