politicianrepresentslocation_i_1,politicianrepresentslocation_i_2
541,542
717,718
1627,2278
541,2404
2417,2418
90,3008
3034,3035
192,3686
3034,4336
3034,4533
1953,4738
1724,4831
1724,5619
3538,5740
3034,1986
90,6586
7249,7250
192,1123
541,7979
2701,8465
90,2794
90,8951
1323,9413
3870,9433
1334,1671
3034,6234
6,10273
3034,10604
90,11795
3034,2404
3370,12160
3055,11670
3726,12752
192,7015
1323,12911
3034,13129
844,14031
3262,14075
541,14170
1323,17420
7905,18724
3034,6695
90,11313
3034,19558
1098,14958
243,20202
6,920
3034,20946
2366,20966
192,301
17,22855
4299,23072
1844,24217
541,20005
1098,25820
541,24205
1844,27878
3055,28436
4047,28516
3726,8433
3034,29214
3034,29296
1082,437
3034,4579
541,30472
1323,30779
3034,30858
127,26425
3034,31335
90,4533
90,7383
1323,25820
7249,20219
3034,32008
3738,32158
1966,32169
32304,32158
541,7472
3034,32441
321,32461
7249,796
18283,33077
3805,33555
541,9588
3034,18767
541,1436
1323,11434
243,34530
36,34593
541,2397
717,7698
243,35654
90,24217
541,1985
1323,20219
541,36163
6288,34328
541,8434
4047,36940
2706,32938
541,38198
3034,4410
90,14676
3034,11313
1966,18020
3034,1476
39522,39523
1098,3035
21282,3008
8672,40499
541,5988
541,25259
1901,41337
133,18767
18283,42191
90,8850
3034,38948
3262,42586
3034,10097
541,8156
1098,6586
3034,30472
1098,43509
3034,11550
1323,43675
541,796
3034,2794
321,6863
8075,45178
3805,45234
3034,5783
541,16181
1270,46045
541,4410
541,26346
6288,25132
4299,46317
5108,46625
47069,18174
3370,47268
1323,28444
4556,44242
1824,47760
18283,47903
2158,48058
541,8951
1627,48389
541,15214
3034,19183
17792,48653
977,3656
541,563
866,28706
1098,796
8162,49109
3034,49219
541,5975
4047,29209
7224,11687
3034,30779
10507,796
541,1671
3726,7565
459,51045
10365,3686
1098,4533
3034,51602
2424,24332
45065,9971
541,16855
3726,6778
541,8433
541,6586
90,563
541,43872
866,54073
1568,54153
3870,7641
1098,8850
1050,54423
819,20466
541,16859
3034,32879
3005,54888
3370,55057
541,29214
978,55233
54704,54703
1098,31086
2349,438
6288,55121
1323,12137
541,14676
7249,7211
541,29232
3726,23751
5802,57422
3034,2893
7178,7665
717,57820
3034,24663
3034,57916
1374,58404
3034,38198
541,19558
2625,8263
103,28022
819,56472
1966,36268
90,48758
541,22632
1627,59615
3034,20383
866,14796
541,5648
1966,59841
541,3686
541,45278
245,60279
90,17524
90,7250
3034,19349
541,29098
541,49006
1092,13606
5863,1671
3034,8777
90,491
1323,26172
2417,50093
1724,61490
541,31335
1868,61571
1098,2794
90,22463
3034,61660
270,61756
1270,61765
541,4579
541,3035
3034,7979
3034,21262
541,13356
3005,62089
6,10362
3034,58467
3034,25259
1323,13785
3055,49156
8162,62482
90,20946
3034,19366
844,63260
3034,563
90,3035
1323,1123
541,5969
7905,63724
103,55291
2366,41106
2737,301
4089,64073
36252,18553
3034,31086
90,20005
90,29098
1050,13468
1098,11795
2079,65025
541,5783
90,61220
717,65593
1323,7665
3034,65917
5802,1798
6,18767
8672,66074
90,29590
26096,4410
58717,53015
1323,61270
1953,60328
5863,437
1098,3656
90,28194
541,35542
90,30592
3005,66842
541,66863
192,3995
1323,17909
541,7035
3034,29590
904,9723
541,20946
3034,54964
2424,9955
3034,32006
10365,1436
3538,68016
541,32
192,1799
1824,38031
90,19558
844,34260
3034,491
1098,4410
3034,68348
1323,8850
6,57917
1868,34720
8272,15993
7178,8433
541,7973
1901,8330
1323,47665
3034,68910
541,437
977,1985
1323,29945
90,32849
192,1671
1323,5411
20062,1671
541,31086
1627,69553
4089,61223
977,2893
541,21262
90,14533
541,25805
321,47865
3034,8951
3370,70115
3034,5586
541,58677
2349,60109
3034,9588
541,1921
3034,46476
243,2378
6,54850
1098,30592
90,4579
3738,55723
192,1921
1568,6123
978,70954
3034,5314
3034,20005
243,13056
192,1253
541,91
3034,29098
7178,3686
541,20383
3034,11795
1844,26983
1724,71686
71691,71692
3370,56558
90,7211
7178,437
977,8850
3370,21132
1098,20219
3805,59975
459,62591
3034,23565
541,13129
4089,72504
541,1469
90,31086
7905,19880
3034,30592
321,11139
90,25820
1868,69857
3870,6355
1323,11795
541,4336
1568,57296
1098,12446
541,4533
1568,52668
1323,32238
1374,42496
3870,25932
541,2794
3034,28979
3034,49006
3034,25820
17,18017
1323,2893
28765,42228
541,28979
541,11313
90,38198
3034,48758
541,30592
8672,8747
541,17400
133,920
90,11434
2625,15471
3726,16181
8680,796
541,7015
319,38170
1323,32008
459,74388
3034,10407
541,54964
1568,73865
90,13056
3005,27583
17,73042
28107,11193
192,18767
541,32879
3034,3656
2349,49639
90,1123
541,21235
2158,8534
1016,7667
541,11139
3034,7015
541,19366
73622,1921
5802,58546
2349,44309
1953,54199
541,7250
3034,14676
3034,45278
58717,38948
819,23552
787,47760
3738,63808
3034,14958
3034,16855
6,17416
866,65411
90,9723
3034,7250
541,29590
541,5723
541,3656
541,6695
541,4666
3034,29945
8272,48173
541,19183
1323,50869
243,65301
7249,6586
1016,50454
1016,50059
3726,7211
1627,27529
3034,1985
541,47938
977,30592
3034,437
1724,8506
844,68973
541,6355
541,3364
6,62917
541,6224
3870,5058
3034,28563
270,7665
541,53015
2079,70426
541,10097
541,58638
3805,7035
2708,64069
541,301
90,1986
