politicianusendorsedbypolitici_1,politicianusendorsedbypolitici_2
91,1335
1435,1436
438,1469
1798,1799
2005,91
2378,2379
2794,91
2892,2893
2983,91
91,92
1211,91
1985,2893
5680,1921
6159,91
4810,1921
1799,6355
6695,1436
6863,91
91,7015
1921,796
91,437
91,7565
91,7667
437,5969
7973,8156
301,5625
301,10021
1704,6586
10362,1436
8434,3686
301,10791
7211,437
5648,11139
11550,3364
4810,91
1436,11673
7211,1921
9853,1920
3402,3364
437,13010
13660,91
301,14406
301,7035
5165,91
11139,91
2893,8434
12446,796
437,1436
8434,91
17960,796
18495,91
18694,2379
7015,18767
91,10336
13356,91
91,491
1469,1335
3364,7035
491,91
16338,301
1469,12848
91,11795
2893,437
22463,91
8156,91
16859,91
91,23272
91,6003
18767,301
301,8433
1435,796
1436,1985
301,437
91,24205
796,437
17201,91
437,91
796,4579
301,24869
16855,3364
7015,5680
301,18767
1335,3364
1920,32
2893,1921
11139,5648
1985,1436
22684,91
5988,91
437,438
32,3686
1799,26041
5969,1986
437,3364
2893,11795
3686,1921
3402,301
91,20309
4810,796
91,10273
27845,91
7015,3257
6224,13010
91,19558
91,27997
91,5975
1920,301
28373,91
91,16982
91,17524
28997,14636
1921,2893
29232,1920
6003,91
29232,796
91,18767
301,22909
29826,437
1436,1435
9853,437
30372,91
30476,8433
3656,796
796,24205
23171,91
91,30654
91,6695
91,30825
438,7973
31061,301
796,10362
91,2893
301,1985
1704,32006
4579,491
32129,5783
5648,3686
437,21547
301,3257
33321,91
1436,20130
33712,91
7973,6355
796,28844
1920,16103
1436,18020
301,12848
28784,91
796,28194
3686,1469
91,6208
35772,7472
91,796
36268,1436
301,17149
2893,3364
36877,91
3686,27972
7015,437
301,11550
91,13010
301,11139
16982,91
3364,3402
5969,91
11550,301
30378,91
91,5988
18020,796
38736,38737
301,31061
91,23038
301,37819
1985,1986
91,1921
301,39954
3686,7211
33175,91
301,31499
91,1920
23272,91
796,16859
91,36877
91,12446
1986,8156
40764,91
1920,10336
301,11193
1799,16338
91,1986
32,5680
41255,2379
30476,91
3686,1436
5680,796
796,12446
23038,91
16181,796
12365,301
6355,8433
42580,42581
42733,91
16725,32581
91,22463
1921,1799
20130,20129
1469,1986
8433,25848
43550,91
1469,43658
5625,3364
301,6695
1986,5969
28194,796
91,15993
796,1799
491,5648
8433,8434
7667,91
91,5969
1985,2892
1335,1469
32879,91
1799,796
796,27105
45706,796
3686,6695
91,16693
17524,796
796,8434
16855,301
2893,12848
5058,91
36743,437
38862,7015
1920,46330
32,7015
91,1798
39954,301
14636,47031
47046,33860
91,41011
1921,4810
91,3656
13056,16725
91,16219
5680,24071
91,6378
11193,3686
1436,5648
91,28784
301,300
91,438
1921,12446
301,438
796,3656
1436,437
2893,91
91,7250
301,12365
48968,91
49043,91
91,10097
91,359
2379,2378
32905,2893
49345,91
796,1921
91,8433
18174,796
12848,5969
301,1921
1920,29232
7015,1799
2893,1436
1920,17400
91,11673
91,22984
28209,91
