politicianusendorsedbypolitici1_1,politicianusendorsedbypolitici1_2
91,92
300,301
437,438
796,797
1476,1436
1920,1921
1985,1986
3364,3365
3402,91
4248,91
1986,1985
5058,91
5165,301
1799,301
3365,3364
6208,91
6378,91
1921,7211
7472,91
91,7973
3364,91
8433,8434
3364,7973
7973,3364
1920,9853
10336,1920
32,1920
11005,11006
7035,3364
1436,8433
91,11746
3035,91
6355,301
12446,3686
2983,91
301,5625
12848,2893
12985,10112
91,13356
10112,5680
14015,1920
91,14703
7211,3686
437,16103
1253,16181
1920,16219
16219,796
5988,301
16725,2378
91,16982
17149,301
91,17201
7035,17400
542,91
12446,91
301,18020
1921,12848
437,6355
91,542
796,4831
16181,301
20129,20130
20309,91
91,6224
8506,91
20895,1920
32,91
301,21262
91,359
1469,796
796,10336
796,491
12848,5680
1469,7973
1799,6355
18767,301
301,10112
437,14015
301,22909
796,22984
91,23171
91,3686
10791,301
796,11139
11550,91
23751,796
23874,301
4810,15214
91,21235
6355,91
438,7973
24784,3686
491,1921
25399,25400
1436,1985
11139,796
796,25480
16338,1799
24071,5680
5680,7015
437,25920
301,25974
12446,796
6586,796
91,1436
91,6695
301,18767
5969,3686
5648,91
27105,11139
27164,5680
20130,20129
8434,2893
6355,437
1799,8506
10362,796
91,3656
91,22684
796,28194
5680,5648
28209,91
1920,1799
10362,1436
1436,23171
796,3364
28784,91
796,28844
3686,32
25805,11139
5680,32
301,5165
5680,1799
437,7211
3364,2893
796,6695
3364,5625
437,30280
301,3402
91,30378
10112,29232
91,30495
30654,91
796,31301
796,17960
23751,1921
12848,91
5969,2893
32,301
32581,2379
437,32699
91,8156
32,1436
32904,32905
5680,10112
3257,301
91,33175
437,8777
33322,301
2892,2893
3686,2893
16855,91
6355,1799
301,16855
13010,12446
301,12365
8434,3686
6695,91
8156,1986
28844,796
34423,796
91,8506
1920,35202
25480,796
91,30825
11139,5648
796,36289
36348,1799
24217,301
7211,301
2379,37268
7035,32699
91,37323
1436,5680
301,21235
301,4810
7211,437
8433,796
91,23272
91,23038
2893,301
38862,7015
1920,10336
7035,1920
91,14958
1921,2893
91,18767
14406,301
3365,301
796,29232
1986,8156
6695,301
91,7211
2893,5648
1920,91
91,4248
796,2397
1436,1435
1211,796
10273,91
91,6003
1920,12985
12848,1436
437,2893
91,14533
42497,91
91,7250
11193,3686
27997,91
796,3656
91,24205
5969,437
23272,91
39223,35542
35202,1920
4810,5648
5648,4810
1920,16103
91,28784
10336,796
17400,91
7973,91
10336,301
5680,301
12985,1920
1985,91
796,16693
7035,16219
437,23038
796,27105
301,7035
796,7565
33175,437
438,301
2893,32905
29232,10112
796,23272
1799,1798
91,11550
7565,3686
301,23038
7211,2794
91,16855
48173,48174
796,48208
48332,48333
91,16859
2893,1469
3364,10336
13010,6224
16219,7035
3364,5969
796,48986
4810,1921
7973,301
1211,91
1985,12446
8433,25848
4810,301
437,3364
796,8434
301,17149
48986,91
2379,41255
24869,301
10097,91
91,41011
8433,6355
1335,91
3364,6224
4810,12848
16855,3364
5680,24071
796,5680
91,2983
491,91
1799,18020
12848,4810
91,11139
3686,5969
19558,91
2794,91
33712,796
1985,301
3364,11193
796,5648
796,12848
91,22463
31086,796
437,36743
14703,796
21547,437
301,1921
92,91
33321,91
438,91
17524,796
8434,8433
7035,91
42581,42580
18495,91
91,17400
91,3364
27105,796
35035,6586
4410,91
32,7015
2794,7211
796,15214
1920,29232
15214,91
11139,301
301,32
301,12848
91,15214
13056,16725
7035,12985
8433,301
1436,36268
6586,35035
1436,11673
796,45706
437,1986
301,55589
7015,8506
91,5165
91,17524
91,6863
10112,301
3686,15214
10021,301
1211,32
91,40764
5648,491
56112,1704
2892,1985
14703,301
25848,8433
23272,796
1985,796
16859,91
56909,91
1920,46330
1799,7015
437,9853
1920,33712
30495,91
796,31082
91,57159
32879,91
91,10362
91,6378
56948,796
14958,91
39954,301
796,3533
31499,301
1921,5680
15214,4810
1920,301
2893,13010
6159,91
796,4810
1436,12446
5783,32129
91,27845
8433,3686
301,10336
91,24869
91,4579
796,5988
11193,91
91,16219
5680,91
91,22984
3402,3364
10362,301
16982,91
18767,5680
91,18495
91,11193
6355,7973
23038,301
8506,7015
55159,301
91,5648
7973,6355
17960,796
1920,796
91,28373
60350,60351
3364,22684
8506,301
22984,91
796,4579
4579,91
796,91
91,30592
3364,1335
3656,2892
301,55159
16693,796
1436,11193
796,57695
1985,20129
16855,5680
2379,18694
796,10362
1920,7035
30592,1704
1436,6695
1920,16855
33860,47046
27845,301
36289,796
1986,13010
91,32
1435,1436
13010,91
1986,91
7015,38862
2892,91
91,7565
1436,91
91,16693
91,13660
91,4410
15214,3686
91,7015
1335,3364
8156,7973
63422,301
1436,2893
22909,301
63471,91
41255,2379
7973,1469
796,31086
3686,1921
2378,2379
5969,30548
1799,5680
3686,6355
796,48650
13010,437
91,43550
91,5969
91,11795
27375,91
1921,3686
91,2794
1469,438
91,33712
1920,30280
20130,1436
12848,17400
6695,1436
1469,1436
91,6586
32581,16725
7250,91
796,16859
91,10097
43550,91
796,12446
27845,91
32699,1920
2893,1436
37819,301
91,49345
14533,91
491,5648
437,17400
16338,301
796,2893
5975,3686
91,27997
4810,91
6355,3686
22463,91
3656,91
91,30654
3364,8433
1469,437
362,3686
5648,2893
8434,796
66458,91
796,18767
301,7973
91,49043
91,5975
2893,796
1985,3686
301,5648
16181,91
1921,796
1436,5648
91,27375
12848,8433
91,8434
3686,5648
301,3257
437,301
2893,1921
5648,3686
1436,20130
1799,16338
491,796
91,7472
1985,28194
301,24071
23038,91
437,1436
796,67937
91,33321
12446,13010
91,6208
437,29826
359,301
23565,9584
7472,62268
32,1799
3656,796
6224,3364
11550,301
91,30476
796,1985
91,1798
14636,28997
11193,301
3364,5680
796,40894
45901,301
91,42733
5969,796
1986,796
5680,1436
437,12985
1436,18020
301,5988
2893,8434
1986,1436
11139,91
7035,301
59040,301
796,1704
4810,5680
1469,91
7015,3257
8506,5680
11795,796
32879,1436
91,6355
2893,5969
796,437
20129,91
301,27845
1436,10362
1436,1476
437,91
49043,91
