politicianusholdsoffice_1,politicianusholdsoffice_2
32,33
796,1460
3656,1460
5625,360
5723,5587
6234,5587
6627,5587
5680,7083
4533,5587
9584,9585
11193,360
6224,11984
32,13064
13468,6339
796,6339
14676,5587
13660,14157
15214,360
6224,15425
4579,1460
17524,5587
17900,5587
5213,5212
18525,360
5648,490
3656,4124
32,14157
10097,360
2893,5587
22684,360
23426,360
24946,24947
25259,5587
21262,360
13356,5587
26092,360
13660,3701
2397,360
437,3736
11193,17479
6224,33
7250,360
1986,360
13356,29396
6224,3736
3787,360
31715,360
6224,6223
11193,24947
32879,5587
33393,360
6224,7683
3035,4124
12446,4124
34702,5587
1799,14611
9588,5587
31082,5587
20383,5587
31086,360
38583,5587
9584,357
38948,360
39215,24947
6224,14157
22632,5587
22984,5587
542,360
8434,360
920,14611
11193,13125
43097,32957
22463,5587
3364,43735
6224,43753
9971,360
15993,44748
1985,5587
45278,5587
7396,360
11193,9585
40764,360
13660,360
1985,490
47938,5587
32849,5587
17524,360
3365,3701
6586,5587
32,3701
359,6339
437,15425
91,5587
8951,5587
2892,5587
31110,360
19558,5587
19349,5587
3656,5587
9584,32957
32,51727
9584,5587
27164,28808
52002,38157
32006,5587
11193,53240
11795,5587
32879,490
11193,3701
437,5587
6224,357
17149,360
29214,5587
40764,3736
301,5587
437,28808
437,12329
14958,5587
10407,5587
12446,1460
56347,360
38198,5587
12446,5587
1985,4124
2893,490
24869,3701
30592,360
10336,360
11139,5587
28194,4124
58124,5587
48758,5587
7211,5587
23565,4124
14676,360
6224,12589
14958,360
8951,4124
32,357
1986,1460
38198,360
28563,5587
24869,12589
7250,5587
6224,11686
16859,360
1985,1460
6224,28808
6224,32957
6224,51940
40894,3701
40764,12589
19558,360
4336,5587
491,5587
6224,62173
13356,33112
6003,360
62621,360
7472,360
6224,40511
8156,5587
6224,17479
8951,360
91,1460
796,490
53973,5587
23565,5587
16725,357
32129,6339
8777,5587
6224,34154
4533,4124
6224,3701
10362,5587
9584,360
38158,38157
359,16012
6224,54728
14636,6339
23565,360
6695,5587
6224,41074
437,11686
6225,5587
19183,360
437,41074
3656,360
6224,360
22684,3701
9584,54728
9584,7083
53127,5587
9584,3736
437,360
27619,5587
6224,40936
32,37251
11550,360
11313,5587
30858,5587
491,490
9584,6223
32129,360
4579,4124
35542,5587
22632,360
4533,360
43987,6339
3365,360
28833,5587
11193,6339
70523,5587
6586,6339
22684,41074
91,4124
14533,5587
41011,5587
7211,360
48323,5587
49043,360
48758,360
3035,360
2893,6339
9584,11686
12409,5587
437,6223
3035,5587
28194,5587
1921,5587
24869,360
5783,360
3365,12329
10407,360
10336,5587
2893,4124
6224,4384
4336,360
7973,360
26425,360
6224,63795
8434,5587
58677,5587
11193,3736
51883,5587
1469,61027
51539,360
70307,13064
5648,5587
2893,360
28293,14611
73170,6339
1211,47607
2379,357
31086,5587
5988,360
32,5587
2794,360
12446,360
91,490
6586,360
71943,360
3364,13064
796,4124
563,5587
22684,12329
12236,12235
20383,360
16855,360
3364,9585
6224,45261
30472,5587
16625,3701
29329,5587
1985,6339
6224,7418
27401,27400
2397,3701
1985,360
6224,71902
1469,490
29296,360
20946,360
56112,5587
32,490
1986,4124
74528,5587
7035,6339
3365,41074
920,919
13356,360
796,5587
45809,5587
1469,5587
1986,490
43550,5587
4410,5587
1921,360
5648,360
6695,360
6224,12329
9584,13064
40894,360
6224,70049
2794,5587
11795,490
1986,5587
2404,5587
32839,360
21235,360
2397,3736
6355,360
438,13064
1920,6339
9584,56512
20946,5587
32129,33112
6224,64671
11193,11686
6224,63072
11193,5587
38198,72459
6224,17567
16625,360
20005,5587
6224,7083
4410,360
22684,5587
73348,5587
9584,62173
