politicianusholdsoffice_inv_1,politicianusholdsoffice_inv_2
490,491
919,920
3736,437
4124,1985
5212,5213
360,5988
360,6003
6223,6224
6339,7035
7418,6224
6223,437
5587,2893
5587,10407
12235,12236
5587,12409
360,2794
16012,359
360,16625
6339,6586
17567,6224
7083,9584
5587,19349
12589,6224
5587,20005
360,20383
1460,12446
5587,19558
4124,12446
360,3656
4124,8951
9585,3364
360,26425
1460,1985
27400,27401
5587,27619
3701,11193
360,8951
357,2379
28808,437
5587,28833
5587,11313
11984,6224
5587,12446
5587,11139
17479,6224
360,32839
360,23426
11686,6224
6339,13468
360,21262
34154,6224
360,1985
38157,38158
360,6695
360,9584
5587,6586
490,32879
5587,1985
40511,6224
5587,41011
41074,6224
5587,10362
28808,6224
360,21235
6339,43987
11686,9584
12329,22684
360,11550
45261,6224
12329,437
5587,45809
24947,39215
6339,11193
33112,13356
5587,28194
5587,22684
5587,43550
47607,1211
360,3365
5587,48323
360,3787
5587,35542
360,7472
5587,7211
6339,14636
12589,40764
5587,8156
357,6224
3701,13660
360,3035
4124,23565
360,51539
360,9971
5587,51883
51940,6224
5587,1469
6223,9584
5587,30858
41074,437
360,22632
360,2893
3736,40764
360,2397
13125,11193
37251,32
5587,53973
360,12446
5587,38583
54728,9584
5587,8434
1460,3656
3701,40894
14611,920
56512,9584
5587,6627
41074,3365
360,6586
5587,5648
360,7211
360,38948
5587,32006
360,1921
3701,32
14611,28293
5587,1921
5587,30472
5587,58677
360,10336
1460,4579
360,30592
360,16859
9585,11193
490,5648
15425,437
360,31715
5587,25259
5587,31082
38157,52002
360,17149
3701,24869
360,8434
5587,17900
4124,4533
5587,48758
360,31086
61027,1469
5587,20946
5587,14958
5587,28563
13064,438
5587,2892
490,91
5587,5723
63072,6224
360,15214
11686,437
5587,3035
5587,20383
63795,6224
5587,9584
3701,6224
5587,32849
360,11193
5587,13356
7683,6224
360,5648
357,16725
64671,6224
360,23565
3736,11193
360,10407
7083,6224
5587,32879
360,18525
4124,1986
62173,6224
24947,24946
24947,11193
9585,9584
28808,27164
6339,796
5587,4410
5587,17524
490,796
62173,9584
360,7396
44748,15993
33112,32129
5587,8951
6339,359
360,7250
4124,4579
5587,34702
360,19558
360,5783
490,1985
6339,2893
357,9584
14157,13660
12329,6224
14611,1799
11686,11193
12589,24869
5587,14533
41074,22684
360,38198
5587,4533
51727,32
360,1986
4124,3656
360,31110
360,4336
360,29296
70049,6224
360,542
5587,2404
13064,70307
360,6224
360,10097
6339,1920
360,62621
5587,7250
7083,5680
360,32129
360,13660
360,4410
360,437
5587,22984
360,48758
5587,31086
5587,91
5587,53127
40936,6224
5587,14676
13064,32
5587,11795
360,49043
5587,22632
5587,6695
5587,491
71902,6224
360,71943
5587,9588
5587,1986
5587,45278
14157,6224
5587,796
1460,1986
72459,38198
357,32
4384,6224
1460,796
32957,43097
490,1469
3736,2397
17479,11193
5587,70523
6339,32129
360,6355
490,1986
5587,73348
6339,73170
5587,437
4124,28194
13064,3364
12329,3365
13064,9584
490,11795
4124,3035
360,20946
5587,22463
5587,29214
43735,3364
360,40764
4124,796
360,16855
360,5625
360,40894
54728,6224
5587,4336
360,56347
3701,2397
5587,6234
32957,9584
5587,74528
360,13356
33,6224
4124,91
5587,38198
3736,9584
5587,58124
6339,1985
32957,6224
5587,2794
360,14676
3701,16625
15425,6224
5587,47938
3701,22684
360,17524
1460,91
5587,32
43753,6224
29396,13356
5587,56112
5587,3656
5587,10336
3701,3365
490,2893
490,32
5587,563
5587,23565
14157,32
5587,6225
360,19183
4124,2893
5587,8777
360,4533
5587,11193
33,32
5587,29329
360,26092
5587,301
360,33393
53240,11193
360,22684
3736,6224
360,7973
360,24869
360,14958
