politicianusmemberofpoliticalg_1,politicianusmemberofpoliticalg_2
362,30
3490,30
4132,30
6123,30
7196,30
7291,30
7641,30
7877,30
12676,30
12778,30
14634,30
1211,1210
16859,30
17340,30
17678,30
17833,30
17982,30
19142,30
5680,19559
3656,30
437,10433
6586,30
23341,30
23552,16923
24628,30
25667,30
27088,30
27362,30
23889,30
28230,30
23552,30
11193,2861
28855,30
8433,30
11193,30
29674,30
29737,30
6863,17674
437,30
30180,30
24784,30
14796,31269
32086,30
32976,30
15993,2861
33441,30
34107,30
34292,30
11331,30
6225,30
36505,30
36998,30
1211,30
4579,30
37936,30
38081,30
38216,30
38198,30
16412,30
38973,30
40870,30
40926,30
41154,30
41535,30
32436,30
42022,42023
42228,30
29954,30
437,15891
42022,30
19339,30
34735,30
33860,30
5680,30
45852,30
27972,30
46180,30
46752,30
46763,30
20005,30
41843,30
4810,30
47933,30
37138,42023
11193,10477
2893,30
36877,30
49535,30
8452,30
50884,30
21262,30
6355,30
51399,30
9723,30
7903,30
17023,30
52503,30
52573,30
52646,30
31522,30
53296,30
4831,2861
7472,30
44083,30
10336,30
54050,2861
1985,30
54600,30
54640,30
54977,30
55376,30
37138,9682
1090,30
56388,30
56472,30
37132,30
56846,30
42022,9682
48332,30
23825,30
36289,30
51024,30
50027,30
16855,30
44165,30
18174,1210
38381,30
58574,30
10097,30
31086,30
58615,30
46317,2861
60533,30
7035,30
22685,30
61273,30
6695,30
61667,30
5625,30
62056,30
19366,30
62269,30
62339,30
9955,31269
54199,30
62711,30
42022,2861
63104,30
18678,30
63160,30
58211,30
50093,31269
58497,2861
64416,30
64423,30
36383,30
41142,30
29725,30
31499,30
64903,30
33720,30
24110,30
29644,30
16181,30
65660,30
40894,30
61313,30
66475,30
55146,30
4336,30
37138,2861
4533,30
11795,30
27401,46508
67231,30
30592,30
67550,30
38862,30
67748,30
68021,30
37138,30
63557,30
43872,30
68629,30
69036,30
69115,30
69157,30
12446,30
5969,30
69512,30
57256,30
69116,30
67505,30
69818,30
69830,30
53589,30
1211,16923
70125,30
70259,30
45708,30
70539,30
44535,30
70633,30
32,30
48729,31269
22569,31269
6003,30
1211,2861
35090,30
5430,2861
67848,30
71359,30
66573,30
3686,30
7015,30
1469,30
71730,30
15958,30
71900,30
21432,30
71994,30
71997,30
32006,30
67761,30
66458,30
8951,30
72025,30
19558,30
3035,30
41348,30
60412,30
16693,31269
21235,30
12514,12513
1986,30
72682,30
8434,30
25848,30
14958,30
31983,30
32668,30
5988,30
47547,30
71843,30
72783,30
19183,31269
11193,9682
1921,30
73407,30
69857,30
73484,30
301,30
31961,30
30476,30
35035,30
68419,30
71314,30
47114,30
73816,30
68606,30
15471,2861
73009,30
69642,30
6863,19559
57189,30
12055,30
33154,30
39223,30
66602,30
27934,30
37887,30
2983,30
51724,30
15214,30
74199,30
72156,30
4766,30
6661,30
52483,30
2397,30
71782,30
5783,30
42022,55613
15993,19559
11193,42023
1920,30
45667,30
28209,30
11193,14730
57916,30
2794,30
26225,2861
71432,30
7211,30
1211,9682
25823,30
74579,30
796,30
75231,30
7250,30
9107,30
42022,10477
38051,30
73476,30
70595,30
7925,30
1436,30
68622,30
36655,30
67552,30
12299,30
21178,30
47855,30
75211,46508
1435,30
68525,30
26983,30
69919,30
71074,30
50373,30
74928,30
