politicianusmemberofpoliticalg1_1,politicianusmemberofpoliticalg1_2
30,1090
1210,1211
30,4766
2861,5430
30,6225
30,6661
30,7903
30,7925
30,8452
30,9107
10433,437
30,8951
30,11331
30,12055
30,11795
30,12299
12513,12514
30,2397
30,8434
14730,11193
30,14958
15891,437
30,15958
30,16412
30,1986
16923,1211
30,17023
17674,6863
1210,18174
30,18678
30,19339
30,21178
30,21432
2861,1211
30,22685
30,23825
30,23889
30,24110
30,1435
30,796
30,25823
30,8433
2861,11193
30,27934
30,29644
30,29725
30,29954
30,17340
30,1920
30,9723
30,31522
30,31961
30,31983
30,32436
30,32668
31269,19183
30,33154
30,17833
30,33720
30,7472
30,33860
30,34735
30,35035
30,35090
19559,6863
30,36383
30,36655
16923,23552
30,37132
30,37138
30,6586
30,34292
30,37887
30,38051
30,38381
30,31499
30,39223
30,41142
30,7211
30,41348
30,3035
30,41843
30,1211
30,20005
30,44083
30,44165
30,44535
2861,42022
9682,1211
30,301
30,17678
30,16859
30,12778
30,45708
30,34107
30,24628
30,4336
30,45852
2861,46317
30,47114
30,47547
30,47855
30,24784
30,30592
30,33441
30,50027
30,50373
30,2794
30,51024
30,27972
30,32
30,51724
30,52483
30,4579
31269,22569
30,3490
30,53589
30,53296
30,7877
30,54199
30,15214
30,362
30,17982
30,46180
55613,42022
30,54640
30,51399
30,32006
30,7250
30,40926
31269,9955
30,57189
30,57256
30,58211
2861,58497
31269,16693
30,5680
30,48332
30,46763
30,55146
30,58574
30,60412
2861,4831
30,19142
30,61313
30,42022
30,36289
30,7035
30,41535
42023,37138
30,4810
30,63557
30,10097
31269,48729
30,10336
30,30180
30,2893
30,21235
30,38081
30,40870
30,14634
30,54977
30,29674
30,16855
30,40894
30,26983
30,30476
30,45667
30,66573
30,66602
30,5969
30,11193
30,47933
30,38973
30,67505
30,28230
30,67552
30,56388
30,67761
30,60533
30,5988
30,67848
30,68419
30,25848
30,68525
30,12446
30,68606
30,68622
30,64903
30,52503
30,3656
30,7015
30,62711
30,36998
30,32086
30,69116
30,27088
30,2983
30,23552
31269,14796
30,32976
30,69642
30,5625
30,69857
30,69919
10477,11193
30,23341
30,29737
30,70259
30,70595
30,64416
30,54600
2861,37138
30,67231
30,25667
30,50884
30,5783
30,56846
30,71074
30,71314
9682,42022
30,70539
30,71432
30,52573
30,6695
9682,37138
30,71782
30,71843
30,72025
30,70125
30,72156
2861,54050
30,56472
30,71994
30,16181
30,72783
30,69115
30,68629
30,71730
30,62269
30,73009
30,38198
30,38216
30,65660
30,52646
30,1469
30,28209
2861,26225
30,36505
30,73476
30,12676
30,69830
2861,15993
30,70633
30,72682
30,69157
46508,27401
31269,50093
30,66475
30,73484
42023,42022
30,55376
30,71900
30,27362
42023,11193
30,38862
30,42228
30,74199
19559,5680
30,62339
19559,15993
30,73816
30,67748
30,68021
30,74579
30,73407
30,43872
30,6355
30,67550
10477,42022
30,61273
9682,11193
2861,15471
30,1921
30,74928
30,69036
30,7641
30,1436
30,36877
30,6123
30,41154
30,71997
30,7196
30,4533
30,66458
30,57916
30,28855
30,31086
46508,75211
30,3686
30,71359
30,69818
30,62056
30,61667
30,63104
30,63160
30,49535
30,37936
30,58615
30,6003
30,46752
30,69512
30,437
30,4132
30,75231
30,19558
30,21262
30,7291
30,19366
30,1985
30,64423
