producesproduct_1,producesproduct_2
1657,1658
1978,1979
752,2670
1978,2937
3095,3096
1369,4102
3607,5299
5113,5580
1978,6162
7756,7757
554,7986
1978,8836
554,9504
752,9557
1978,9614
1978,9654
7111,10537
10842,10843
12454,12455
1978,14770
1978,14844
752,15291
15331,15332
554,15461
1978,15607
554,15862
1978,16068
1369,16770
1657,17200
554,17356
1369,10907
554,18081
554,18201
1978,18668
554,18703
1369,18834
554,3851
1978,21237
1978,13086
22923,22924
1978,23926
24079,24080
554,9411
1369,24394
7900,24411
1978,24417
554,25040
554,25050
1978,25068
7853,7852
554,26001
1978,26122
1978,18786
554,23170
910,19922
752,24283
7900,29763
1978,29986
1978,30024
3739,30254
554,14080
1978,31175
1369,31194
2,31472
1657,17353
1978,18717
554,32287
1978,33314
2402,33690
5253,33821
31544,31543
554,34221
554,34238
1978,34972
554,35051
752,13302
1978,17687
554,35492
554,31336
554,22384
1369,36621
1978,31151
12454,37571
4024,9309
554,37916
554,11166
752,28755
1978,39095
5113,28228
1978,34987
1978,39926
554,29355
1369,40425
554,40623
554,41229
1657,41253
554,35993
554,18230
1978,3096
20399,20398
1657,38019
554,14862
554,46656
1978,47217
554,9865
1978,47423
3607,20126
752,31815
1369,49158
1978,49207
1978,40236
1978,46019
1978,50249
3607,50452
1978,36496
3607,50635
1978,50717
1978,32671
5113,9759
4961,51570
2402,37754
1978,52539
554,6516
554,52781
44392,4102
53350,2527
1978,53587
554,30150
910,48474
554,13465
4838,29477
1978,53561
1978,21142
4024,4023
1978,55643
910,54009
910,44066
3607,55951
1978,51040
1978,23132
554,3566
4838,55965
554,27284
1978,12554
4024,2527
5113,27107
10249,10843
10249,43484
1978,38680
1978,58082
1978,12515
17587,58171
1978,58172
1978,48942
554,2475
1978,58827
4024,3282
1978,50971
554,57067
7900,43484
698,31472
1978,47171
1978,10108
2402,60310
1978,60056
1978,52706
15331,31933
554,60725
3607,20057
4024,14539
52110,23626
5693,40013
1978,11630
1978,49824
3095,34987
1978,32126
554,37021
3095,51156
50039,63042
1978,63301
4024,60867
1978,36663
1978,63385
910,7097
1978,63656
1978,55537
1978,49847
1978,1135
1978,64293
1978,31182
1978,28582
4024,51853
1978,26506
1369,55341
64935,63057
1978,64984
1978,41356
52110,60622
1978,41213
3739,62618
1657,20278
554,65550
910,20185
554,7154
554,65838
554,65945
910,39712
1978,66160
554,39351
554,41041
554,28067
12454,21025
554,35234
554,37940
1978,20364
1978,61510
554,46702
554,35210
1978,39176
5596,67296
1978,53043
27919,63253
554,4815
1978,67574
1978,67628
752,30630
4838,15838
1978,67864
1978,6956
1978,14160
1978,67960
1978,67968
1978,67991
16071,52754
1978,16468
554,15437
3095,42892
1657,48169
1978,24638
554,37973
1978,68575
554,55106
1978,67977
1978,68966
3095,22729
1369,69247
554,60274
34325,34324
7756,18607
1978,39228
21453,68017
554,55158
554,1085
1978,65178
554,14339
1978,49035
752,27758
1978,57594
11160,56765
910,46182
1369,50056
752,70717
554,70899
1657,22665
1369,42633
1978,10615
554,54413
554,22665
17266,57835
1978,19323
1369,29763
7900,10843
554,6518
1978,71609
1657,36563
1978,14765
8417,38859
554,70221
1978,67875
3607,50653
1978,63327
1657,26547
1978,72002
752,4484
1978,66556
554,26639
1910,70811
1978,72406
1369,24411
3607,70773
1978,14974
3607,47329
752,54009
554,7893
1978,63927
31544,71652
1978,65311
554,793
4838,56901
554,10484
910,21828
5596,73091
1978,59953
2402,26815
7900,55341
1978,73266
1657,50808
1657,31482
554,13897
1978,73514
1978,63140
1978,52378
1978,8634
554,73690
1978,61798
1978,60622
910,52758
7900,69247
1978,15272
3739,50067
18372,48366
554,3063
1978,15259
2402,56334
554,24623
3739,38217
554,11868
1978,22221
554,30024
3095,12515
37496,49279
18238,73288
4024,37797
554,43363
554,25337
5113,5114
3607,69012
2402,67202
10842,56269
554,553
1978,70889
1978,61729
1978,35625
1978,53447
554,74581
1657,9411
1978,46220
1978,39682
1978,47044
1978,74587
20399,36671
53350,3282
554,47347
10249,34053
19160,67803
1978,41566
26890,2527
2402,58994
1978,9541
3095,7474
1978,74071
1978,62030
554,45741
1657,42132
14051,40236
1978,53063
1978,69885
3052,67803
10249,30774
1978,71498
752,2617
554,14928
554,4741
1978,73993
4024,40697
3607,71170
16071,68794
7900,4102
2402,2936
1978,75335
1978,24411
1978,60631
1657,48981
1369,66608
752,16554
1978,47921
554,20694
554,5327
1978,36171
1978,32781
4024,72907
1978,57835
1978,6727
554,28750
7853,71385
1978,23626
7900,42633
52110,33314
1978,34018
1978,67872
