producesproduct_inv_1,producesproduct_inv_2
553,554
7474,3095
7852,7853
8634,1978
9541,1978
10108,1978
10484,554
10615,1978
10907,1369
9411,554
13086,1978
13302,752
13465,554
14160,1978
14539,4024
14765,1978
14928,554
14974,1978
1979,1978
15259,1978
15272,1978
15437,554
18717,1978
18786,1978
19323,1978
20057,3607
20126,3607
20364,1978
20398,20399
21025,12454
22384,554
22729,3095
7893,554
24638,1978
7097,910
23132,1978
26506,1978
27107,5113
10537,7111
5580,5113
18081,554
28582,1978
2617,752
29355,554
18834,1369
1085,554
30150,554
30774,10249
31543,31544
15291,752
31933,15331
25050,554
34053,10249
34324,34325
23170,554
34987,1978
35234,554
28755,752
35625,1978
36496,1978
36671,20399
32671,1978
38019,1657
38217,3739
21237,1978
38680,1978
20185,910
16068,1978
9865,554
39228,1978
40013,5693
40236,14051
9411,1657
41213,1978
41356,1978
24411,1978
41566,1978
3096,3095
3063,554
42633,7900
42892,3095
33690,2402
39926,1978
35993,554
23926,1978
43484,10249
38859,8417
14844,1978
29477,4838
45741,554
24417,1978
11166,554
9654,1978
46220,1978
40697,4024
5114,5113
17356,554
47044,1978
47171,1978
47329,3607
47347,554
24283,752
47921,1978
15607,1978
48366,18372
2670,752
20694,554
17200,1657
18703,554
48942,1978
48981,1657
49035,1978
49279,37496
40623,554
24080,24079
2937,1978
49824,1978
49847,1978
37973,554
50056,1369
50067,3739
9614,1978
31472,2
12515,3095
50653,3607
50971,1978
35492,554
26122,1978
15862,554
30024,1978
52378,1978
37021,554
52706,1978
52754,16071
52758,910
53043,1978
31336,554
39095,1978
2936,2402
53447,1978
53561,1978
47217,1978
4815,554
36171,1978
16770,1369
22665,1657
55106,554
55341,7900
31182,1978
28228,5113
56269,10842
56765,11160
50249,1978
36621,1369
11630,1978
57594,1978
51156,3095
57835,17266
9504,554
34221,554
52539,1978
58994,2402
32781,1978
5327,554
37571,12454
3282,53350
10843,7900
9759,5113
41253,1657
59953,1978
60056,1978
35051,554
14080,554
36663,1978
60274,554
26001,554
60631,1978
60867,4024
37797,4024
4741,554
50635,3607
57835,1978
51040,1978
33821,5253
61510,1978
14862,554
61729,1978
61798,1978
62030,1978
4484,752
41041,554
55158,554
62618,3739
12455,12454
53063,1978
41229,554
34987,3095
60622,52110
32126,1978
63140,1978
63253,27919
15332,15331
63327,1978
63301,1978
63385,1978
4102,44392
9557,752
63927,1978
39682,1978
28067,554
64293,1978
65178,1978
65311,1978
24623,554
54413,554
42633,1369
46019,1978
65550,554
24411,1369
31472,698
12554,1978
35210,554
66556,1978
31175,1978
66608,1369
46182,910
29986,1978
37754,2402
67202,2402
10843,10842
793,554
50717,1978
60725,554
50452,3607
3282,4024
67803,19160
67872,1978
67875,1978
39712,910
14339,554
67977,1978
55951,3607
34238,554
49207,1978
31194,1369
63042,50039
9309,4024
60622,1978
25337,554
26547,1657
2527,53350
46656,554
67864,1978
69012,3607
27284,554
24394,1369
58827,1978
65838,554
67960,1978
69885,1978
5299,3607
31482,1657
3096,1978
70221,554
53587,1978
2475,554
55965,4838
2527,26890
21828,910
16554,752
70773,3607
22665,554
70811,1910
17687,1978
70889,1978
33314,52110
71170,3607
37940,554
63656,1978
67803,3052
22924,22923
71385,7853
7986,554
71498,1978
18668,1978
27758,752
48474,910
18230,554
55537,1978
48169,1657
21142,1978
63057,64935
69247,7900
4102,7900
40425,1369
67574,1978
52781,554
12515,1978
72406,1978
72907,4024
39351,554
71652,31544
3851,554
19922,910
18607,7756
58172,1978
7757,7756
73288,18238
67968,1978
32287,554
31151,1978
20278,1657
42132,1657
6727,1978
26815,2402
11868,554
8836,1978
13897,554
57067,554
68794,16071
73993,1978
39176,1978
34972,1978
67628,1978
72002,1978
74071,1978
51853,4024
54009,910
70899,554
55643,1978
58171,17587
40236,1978
70717,752
1658,1657
23626,1978
74587,1978
6956,1978
68575,1978
56901,4838
6516,554
2527,4024
65945,554
22221,1978
58082,1978
49158,1369
24411,7900
18201,554
26639,554
29763,7900
4023,4024
4102,1369
54009,752
43484,7900
60310,2402
73091,5596
64984,1978
67991,1978
15461,554
71609,1978
69247,1369
30254,3739
68966,1978
6518,554
33314,1978
47423,1978
73266,1978
25068,1978
74581,554
7154,554
6162,1978
73514,1978
51570,4961
34018,1978
75335,1978
1135,1978
29763,1369
68017,21453
50808,1657
14770,1978
31815,752
3566,554
23626,52110
30024,554
25040,554
37916,554
30630,752
56334,2402
55341,1369
66160,1978
16468,1978
36563,1657
43363,554
44066,910
73690,554
15838,4838
46702,554
67296,5596
28750,554
17353,1657
10843,10249
