proxyfor_1,proxyfor_2
393,394
479,192
609,610
647,648
650,135
696,17
135,738
739,135
745,135
849,850
865,866
890,891
986,77
1077,135
1108,1109
1147,1148
1175,1109
1215,588
1252,163
1414,1415
1421,1016
1176,135
351,617
1567,1568
1572,163
1618,135
1676,1016
1918,192
1960,135
2018,2019
2201,2202
2237,135
2369,163
2594,135
2612,588
2624,2625
2638,2639
2687,617
369,135
2927,2928
3073,2639
3094,2920
3118,1568
3140,135
401,17
3283,1109
3323,135
906,905
3563,192
3594,1016
3621,135
3655,1109
3679,135
3712,135
3727,3728
3018,3748
3820,17
3859,3860
3948,3949
3950,3951
3973,2175
4108,1568
4171,135
4219,866
4325,866
4350,135
4402,163
4431,904
4500,1966
4561,4562
4641,4642
4938,135
5158,36
80,5192
5255,135
5310,135
5364,135
5415,1109
5533,503
5540,850
5623,36
5662,135
5963,321
2327,1109
6035,135
6092,648
135,6154
135,6194
6302,1109
6308,192
6396,1275
6415,6416
6446,135
6471,135
6501,135
6573,135
1655,135
6625,135
6632,77
3075,135
6748,6749
6882,352
6883,2639
6971,135
7073,135
7144,135
7220,494
7253,321
7276,192
7355,883
7368,321
7411,883
7434,135
7458,1162
2953,7535
7554,135
7624,135
7642,7643
6618,135
7762,135
7985,2639
7997,135
8011,135
8024,135
7151,3195
8069,7616
8106,1844
8185,904
8356,17
8358,2639
2802,6
3279,2175
6379,8717
8761,135
8827,1627
5791,135
8834,135
8888,321
8901,135
8920,135
8946,135
4593,7425
9139,1738
3518,6998
9404,787
1880,135
9483,978
9581,866
9637,9638
9642,135
2696,77
9685,17
5214,135
9721,9722
9754,135
3803,135
9810,192
9837,135
9889,5209
9954,135
9988,883
10044,819
2694,135
8927,10209
10218,2639
10321,866
10466,163
9403,9402
10624,883
4459,4458
10725,36
10748,135
2572,1109
10788,10789
10794,135
10286,192
10875,1109
10998,2175
11026,904
11059,1183
11102,135
4202,9524
3481,163
3867,135
11345,904
11419,2175
1894,36
3804,192
135,11582
11603,135
37,36
5416,1868
11843,2639
11851,135
11974,1247
11982,135
12103,12104
12139,617
6340,1109
12543,135
10672,17
8179,12722
12770,2626
3423,3726
12852,135
12935,135
12937,321
12968,135
12975,2543
5759,4089
13098,503
13101,13102
13154,135
13156,321
13166,1568
13250,135
1433,163
13368,3702
6254,6
13443,6441
13444,135
13473,4047
13478,135
13520,135
8952,13562
609,13643
13672,135
6855,135
4202,1247
13802,13803
13900,700
852,135
13927,135
13957,321
13978,2175
10329,2175
10176,135
14033,135
14067,1192
14089,135
14144,17
14349,14350
2605,901
14419,1568
14542,13952
11187,700
14742,163
14783,192
11323,5644
321,192
14920,4047
4593,503
866,192
681,14969
14994,135
15016,135
15067,2625
12225,163
11571,9524
13291,13292
15220,135
15371,135
5759,2639
15405,1109
4557,163
15452,135
15491,1183
15556,12042
7664,503
15636,850
11974,10192
15869,321
13891,2170
3840,7324
8429,163
13473,16054
16082,135
16083,6762
16109,12624
16114,3738
16132,135
16159,883
16165,135
16176,135
4877,163
5759,243
16385,163
13013,36
16467,503
1797,1109
11532,135
4408,617
16684,135
16685,135
12280,1868
10805,250
16926,2639
16990,135
17011,2639
17258,135
17289,3841
17290,503
17308,4089
17343,2639
17351,17352
1755,163
17361,243
730,2019
17484,9625
17501,4147
17506,135
17512,2175
2543,135
314,3078
17646,1568
5440,135
17672,135
17702,17703
914,17796
322,321
17806,135
1876,192
13528,1109
14836,1016
17895,135
17913,883
7860,1568
17950,135
17955,1183
7151,17970
2558,901
18039,1016
18077,36
18140,135
6073,18168
8909,1568
18181,135
18199,135
18250,135
2348,1109
18330,503
18343,2799
18364,135
18522,3262
18527,2639
8240,321
18587,135
9990,135
2494,18667
5708,321
18758,1568
18841,1109
17253,403
18894,192
18898,980
759,135
18911,8272
18940,617
18941,883
13174,135
7989,3702
19153,10140
19200,1347
19372,135
8179,2175
2778,192
3639,4258
19469,135
16567,135
7282,135
19493,904
19508,19509
19510,321
135,19606
19613,13952
19725,321
19792,135
19808,135
12495,7324
16306,135
19929,135
4607,135
20052,135
10931,1568
20138,163
1377,20214
524,192
19960,192
5080,17
20350,20351
20352,20353
20354,135
20357,135
20379,20380
3343,1129
20389,17
20403,20404
17893,3728
20429,20430
20437,192
524,36
20617,163
155,321
20662,4836
13049,321
20700,5552
19397,163
8047,901
20748,36
20772,1183
9084,866
14788,321
1627,135
20869,135
2805,135
13309,135
21113,77
21140,5008
3563,2855
70,192
14289,192
21361,135
21387,135
3950,3870
21474,2175
12674,135
21508,36
21512,192
21554,135
21592,9896
21599,135
21727,135
5377,135
21760,1568
21783,135
21829,503
5893,163
21897,135
21909,321
17422,1445
7375,135
21982,8162
21986,503
12016,1347
22040,6329
5864,2175
17121,135
22132,135
10299,1568
22213,135
22218,135
22278,77
22289,17
22292,77
19073,1966
22482,135
22507,135
5006,135
5017,321
19984,3951
22652,77
22656,978
19734,1627
13009,2855
22747,77
10361,135
9653,135
13476,163
4477,321
19095,135
22976,1109
1110,135
6992,3006
23203,135
23327,9896
15457,883
23396,2639
1131,23427
2163,1109
23443,135
16490,3738
