radiostationincity_1,radiostationincity_2
2409,2410
3114,3115
5099,751
10170,6379
10527,10528
10609,1916
12190,133
12475,12476
16413,16414
16944,1421
17715,1916
17823,565
21079,21080
23363,6796
23839,2839
25384,1916
27454,133
29089,914
30400,26563
30497,1079
31654,1954
21808,1816
15107,5984
32700,22084
27800,7057
33862,114
34490,235
8544,8543
35793,35794
35963,1465
36565,21937
37083,7495
33241,235
40714,751
41900,10805
40137,2760
42431,3
25085,7860
43496,299
44022,3869
44277,31998
40586,40585
44986,207
45005,5245
45504,12308
45597,565
3967,3966
46404,5459
47096,207
47304,2410
47767,250
43171,5790
31479,5759
47974,207
48009,39862
26284,12951
49147,1465
49335,133
49357,1079
50245,17093
50621,250
51144,10805
51400,10872
15076,1916
22710,6379
52675,3930
52848,5245
13841,10768
53570,555
53946,5459
54502,207
55269,556
55591,556
55805,12196
31599,9462
52495,52494
22002,3115
37287,6116
57507,8310
58853,556
53859,1916
24636,8745
13409,114
59601,751
8043,8042
59996,29505
49402,7312
59547,235
52018,9468
52426,207
46443,22351
44942,14289
61883,6796
49161,751
62026,133
62062,12587
15089,133
62292,2307
62337,917
62705,2307
33110,1131
8648,8647
63293,11225
9672,7452
57079,32808
50697,50696
64109,1421
64155,8698
24932,751
64525,751
9415,9414
51422,207
65312,22522
65296,3
36366,235
65534,207
42973,5019
65864,16270
15780,15781
57172,7495
32430,6698
66726,556
20038,7057
52639,751
60163,3115
3410,1421
37478,207
43427,751
62068,133
13467,1916
54486,54487
7767,3518
21537,751
67972,3950
65959,8091
35660,35659
64638,2307
27067,2662
41396,41397
29643,5019
63711,207
68933,1079
31348,19309
10769,10768
34362,6017
40915,4708
57602,751
70122,235
52831,9785
24630,751
6117,6116
51442,751
15211,207
53442,16102
18753,207
42318,207
54680,16320
71762,207
41660,3026
54095,8745
54378,235
55253,3518
65444,731
65165,2307
56819,114
44692,3
15351,8647
73056,917
72241,556
13628,13627
4046,4045
42443,42444
10536,3930
73595,914
31024,3371
69530,917
1144,3
30837,3579
59915,751
74223,19203
42223,80
65584,16432
68801,207
73521,5790
54979,235
34210,17595
25177,25176
56620,1916
34340,34339
59793,235
44883,1916
71623,6379
54329,914
31836,5790
75154,16916
34650,34649
50727,8647
48287,48288
60152,133
68000,2953
23110,8647
45510,28691
36152,133
61854,2113
63619,4561
57238,14988
35892,35891
36779,36778
54305,114
31566,31565
51558,10768
68552,18362
53084,207
25243,3115
