riveremptiesintoriver_1,riveremptiesintoriver_2
1491,1526
2907,2908
3466,3467
3597,3598
4100,4101
1491,4859
5230,5231
9380,9381
10192,10193
1491,10932
2156,11514
1491,11857
6694,12422
13007,13008
15253,1491
15621,5230
16735,16736
10694,18158
10694,7582
3422,19383
20305,4066
1491,20876
3200,16880
1388,21232
21454,7249
16773,304
22951,4066
23105,7582
18158,23714
13008,13007
4162,304
1491,21771
4066,26380
26405,21232
26414,10780
2779,9381
7604,27260
6694,4066
6791,19775
22005,28513
3570,28783
30344,30345
10694,1491
30759,21454
31391,31392
33189,33190
33289,4066
1491,33543
25010,33754
17729,2907
35373,35374
26380,35561
7604,36036
15253,21702
9381,36700
34143,37700
10192,5149
1491,25257
1491,38855
1491,39008
39282,33189
6436,39581
4037,34194
3598,40290
313,11216
26768,40322
40421,25526
3598,40466
11552,40589
23265,18660
15253,42049
15621,42457
21232,23217
43248,9381
43367,23265
10780,21232
20840,4066
31062,45512
7582,23105
18074,11514
1388,7178
32233,11514
1388,47068
13008,47212
47345,47346
8377,8376
17729,47876
19504,48141
48334,38855
6694,16736
1491,48417
1388,48893
18074,4066
49830,13008
49877,15144
1388,40017
29206,2908
3597,50419
2330,1491
1491,9381
1491,50931
1388,31062
40145,21232
19504,7582
35373,36036
52006,52007
313,52101
41703,313
1491,2330
9204,9203
44129,53714
5149,54010
1491,32410
2908,15144
1491,29673
1491,6603
10694,56065
7582,7583
1388,11514
21232,2908
8765,56912
56935,31391
1388,56996
2793,2329
25526,2908
49189,4859
2329,42955
1491,57499
1388,57638
23714,18158
15621,19775
9006,59213
3611,42457
42466,42465
1388,28783
2156,13008
4100,59885
313,41703
51354,304
2156,10780
8046,24320
15144,2908
4273,24959
38416,61194
31391,56935
1491,55936
26414,23217
18660,59887
6694,30148
4273,2608
1491,45787
63142,16542
4037,13008
40017,2908
31266,4066
15621,24320
26405,59377
47876,11514
4366,27419
40969,19775
1491,4100
20743,22951
44908,4066
2156,9381
13008,28907
1491,2329
2908,40017
313,15736
1388,4066
1388,55174
30959,4066
66077,36036
3467,2908
20743,13008
6694,66502
66546,66547
34647,61903
29606,2329
11216,313
2908,25526
67106,10193
5210,67392
1491,67415
10780,32296
21630,313
304,313
68342,26568
1491,68683
2156,68743
1388,68780
55911,21454
46423,4066
14910,69255
36700,9381
2908,21232
61006,16736
56443,56442
57025,28783
52542,28783
8707,8708
32296,23217
1491,39734
8708,8707
44394,16736
1388,45787
50841,50840
31266,36295
7583,7582
2793,1491
18660,23265
71116,2329
33957,22677
1388,12540
31392,31391
1388,40290
26568,68342
54824,16542
21232,49404
4067,4066
1388,5060
10780,26414
4859,2329
72016,72017
15621,55701
15253,2329
3611,5230
2330,2329
23663,67870
1491,42955
50841,50419
1388,70979
9381,2329
1491,52667
31799,45942
2156,69759
5230,12045
29522,43367
19299,21232
72963,4339
4366,26063
2908,24527
53065,15144
31062,21232
42674,42673
61102,45512
6694,61006
74043,36036
1491,18370
21454,55911
40466,3598
15267,4066
27500,74197
68780,2908
16280,4059
8873,26455
31317,9381
73564,73563
1388,43561
15253,27946
4066,2908
23217,21232
6694,16735
73584,16542
45787,7178
21454,30759
18074,31062
4366,26455
10033,16880
28907,13008
15144,53065
19484,59380
1491,43841
14375,15144
2793,49189
1506,72123
1491,49343
23265,43367
5149,70607
75203,35374
27265,22951
1491,57651
1388,3467
1388,33543
1491,63287
15253,2779
24527,2908
33190,33189
47212,13008
28513,52431
7249,21454
44562,4066
2156,44907
1491,43962
52431,28513
15621,58021
21684,28783
27419,2608
2156,45109
47346,47345
44394,6694
31062,18074
60774,55911
4366,7582
36301,58246
3200,72146
2329,4859
1491,43561
33189,39282
2156,47212
1491,48273
15253,36700
28783,3570
