riveremptiesintoriver_inv_1,riveremptiesintoriver_inv_2
2329,2330
4066,4067
5060,1388
7582,7583
8376,8377
8707,8708
9203,9204
3467,1388
4066,15267
2329,2793
16880,10033
18370,1491
7582,19504
4859,1491
4066,20840
313,11216
21702,15253
21771,1491
2608,4273
21232,23217
23265,18660
24320,15621
2908,24527
4100,1491
24959,4273
25257,1491
26063,4366
5231,5230
26455,4366
11216,313
7583,7582
27946,15253
24320,8046
21232,1388
13008,28907
29673,1491
30148,6694
18074,31062
23217,32296
32410,1491
22677,33957
34194,4037
11514,18074
12422,6694
7582,23105
36295,31266
5149,10192
9381,36700
7249,21454
31392,31391
4066,31266
28783,21684
36700,9381
39734,1491
2908,40017
30345,30344
11857,1491
41703,313
4066,1388
40017,1388
42465,42466
42673,42674
42955,1491
13008,13007
43561,1388
39581,6436
43962,1491
2329,29606
6694,44394
44907,2156
4066,44908
28783,3570
45109,2156
28513,22005
45787,1388
28907,13008
1491,2330
15736,313
4066,46423
21454,7249
48273,1491
4101,4100
18158,10694
4859,49189
49343,1491
49404,21232
27419,4366
23217,21232
2329,1491
7582,10694
26380,4066
50840,50841
1526,1491
40322,26768
16880,3200
47346,47345
30759,21454
52431,28513
28783,52542
52667,1491
21454,30759
15144,53065
15144,14375
2908,21232
3598,40466
36700,15253
33543,1388
55174,1388
4066,33289
55701,15621
4059,16280
21454,55911
55936,1491
13008,4037
52101,313
40466,3598
56442,56443
33190,33189
50931,1491
19775,6791
57651,1491
39282,33189
47212,2156
58021,15621
58246,36301
11514,47876
22951,27265
2908,3467
304,51354
9381,2156
4859,2329
59377,26405
33754,25010
59380,19484
12045,5230
47068,1388
59887,18660
2908,2907
18158,23714
16736,16735
10780,2156
304,16773
43367,29522
16735,6694
21232,40145
61006,6694
45512,61102
2907,17729
56935,31391
43367,23265
16736,61006
53065,15144
8708,8707
13008,20743
23217,26414
4066,6694
304,4162
63287,1491
5230,15621
21232,26405
2908,4066
4066,22951
11514,1388
45787,1491
57638,1388
57499,1491
40290,3598
32296,10780
33189,33190
4066,18074
56065,10694
25526,40421
49189,2793
50419,3597
42955,2329
13008,49830
18660,23265
1491,10694
54010,5149
2608,27419
31391,56935
47212,13008
28513,52431
3598,3597
67870,23663
48141,19504
24527,2908
21232,10780
2330,1491
56912,8765
2329,9381
9381,9380
12540,1388
68342,26568
16542,63142
2908,29206
69759,2156
33189,39282
21232,31062
20876,1491
2329,4859
26455,8873
70607,5149
31391,31392
68683,1491
2329,15253
70979,1388
52007,52006
61194,38416
2329,71116
68743,2156
16736,44394
23265,43367
39008,1491
68780,1388
40017,2908
1491,2793
50419,50841
72123,1506
23714,18158
72146,3200
35561,26380
6603,1491
66502,6694
19383,3422
66547,66546
313,304
11514,32233
28783,1388
4339,72963
2908,68780
4066,44562
59213,9006
9381,2779
9381,1491
26414,10780
7178,45787
13008,47212
37700,34143
21232,2908
48893,1388
31062,1388
16736,6694
55911,60774
73563,73564
16542,73584
10780,26414
48417,1491
33543,1491
3570,28783
15144,2908
19775,40969
4066,20305
7582,4366
45942,31799
16542,54824
27260,7604
10193,10192
313,21630
2779,15253
35374,35373
42457,3611
10932,1491
67392,5210
2908,15144
28783,57025
36036,74043
53714,44129
22951,20743
36036,66077
1491,15253
59885,4100
9381,31317
11514,2156
19775,15621
36036,35373
42049,15253
38855,48334
61903,34647
69255,14910
10193,67106
26568,68342
21232,19299
72017,72016
4066,30959
5230,3611
9381,43248
3467,3466
15144,49877
23105,7582
13007,13008
56996,1388
38855,1491
313,41703
25526,2908
43841,1491
42457,15621
47876,17729
45512,31062
31062,18074
47345,47346
2908,25526
13008,2156
67415,1491
35374,75203
74197,27500
43561,1491
7178,1388
55911,21454
36036,7604
40290,1388
40589,11552
