sportfansincountry_inv_1,sportfansincountry_inv_2
3124,1100
103,3141
1256,1100
614,4385
614,4403
3307,947
614,6842
90,3141
5010,454
614,10551
2626,947
614,9525
13711,13712
614,15454
116,12816
2626,3141
319,47
700,454
977,13146
494,47
20459,12816
614,1141
8459,22775
3124,454
13099,3531
1098,24887
2701,24971
901,47
700,39
10982,12816
614,39
3307,454
614,3531
9080,454
27083,12816
614,7930
614,13146
6097,454
614,31969
349,16666
9360,1100
19288,13146
614,31649
614,4228
90,1100
1885,19988
1817,3531
8459,13146
6044,33071
1256,3531
1901,39169
17523,12816
1098,3531
614,10680
642,369
977,3531
614,3556
6044,12816
1885,12816
349,47
614,42691
636,369
3797,454
614,11521
614,32273
614,45644
6431,3531
9390,454
349,348
9080,3531
103,13146
8459,1100
5108,454
614,49842
349,3531
1885,454
614,7469
614,369
2701,1100
1885,10567
2701,13146
772,51294
614,23994
5043,3141
614,45878
116,22775
8459,3141
8459,13712
349,14413
6431,35505
2626,13146
3040,12816
3307,3141
614,3141
614,21320
2701,4228
56856,3141
13569,1100
977,3141
977,1100
8262,454
27507,12816
977,4292
901,3531
1901,47
6044,39
1188,10567
27782,3141
26964,19988
9080,13712
614,23060
614,18831
1061,454
614,5696
6431,12816
614,25653
614,947
6431,13146
6431,454
3307,1100
977,47
4556,47
1901,454
103,1100
614,19261
7473,454
614,37945
614,6792
901,454
614,63392
614,2452
614,30569
116,454
8459,8332
614,5170
642,3531
614,56561
614,45314
5010,13146
3124,47
3975,454
614,34141
843,12816
8459,23857
5995,3531
349,3141
1098,3141
90,19988
614,53909
614,11254
349,17505
27507,8332
13099,1100
7679,12816
8459,12816
6044,58652
5501,454
977,12816
843,13146
614,10883
614,11101
700,24887
494,3141
4915,454
69577,12816
614,3255
614,454
9080,29511
11663,454
1256,454
4556,454
5752,454
14018,47
1885,47
977,19988
5995,12816
15355,12816
1817,454
642,454
13099,454
8459,21320
3797,12816
3078,454
103,3531
2701,454
116,54973
614,32745
977,454
2723,454
1256,13146
5995,454
614,4000
614,47
349,24887
9360,454
2771,12816
349,21320
29078,35505
4556,3531
636,3141
636,454
494,369
494,3531
2626,23920
4556,39
614,1100
2626,12816
3307,3531
843,454
349,42448
90,10567
700,12816
103,454
3273,454
349,1100
1884,12816
2626,22775
1256,12816
1885,23857
4597,454
1901,3531
349,35121
901,947
614,37862
5593,454
2701,12816
116,13146
614,57667
2626,8578
2626,4228
349,10036
1885,10680
772,1100
89,454
349,454
6069,66301
5995,47
787,454
12015,12816
494,12816
2701,3531
614,29453
1098,1100
642,3141
9393,454
2626,3531
4556,1100
1059,454
494,39
614,6328
