sporthassportsteamposition_1,sporthassportsteamposition_2
454,2952
454,4093
4292,3668
454,8006
8582,8583
8582,9540
8582,12451
8582,12579
8582,14301
8582,15271
947,16713
8582,16758
8582,17082
47,17603
13146,3668
8582,2952
4292,18396
454,19636
454,2601
8582,25272
454,26819
8582,30290
454,30910
454,754
8582,11075
947,3668
454,3668
8582,35239
454,35484
8582,21092
454,35862
454,35999
47,18736
8582,754
8582,19636
8582,39978
47,18079
47,42611
947,12700
8582,35014
8582,31105
8582,18736
8582,30910
47651,30450
454,48597
8582,39498
454,12579
454,43344
454,17082
8582,51616
47,30450
8582,55194
30451,30450
51508,35862
8582,18227
16024,12579
47,3668
454,58122
47,58818
8582,29282
8582,30999
2598,41791
59877,12579
454,7526
8582,32863
454,41243
454,37428
3531,62358
8582,62632
454,18070
4228,12579
47,27108
454,5578
454,42766
2598,4800
39,48390
454,64861
454,65014
454,6732
47,65473
39,3668
8582,65106
8582,66670
454,46486
47,66776
4292,30450
4292,12451
47,67107
8582,26999
47,67524
8582,3622
454,59789
947,30450
47,67835
47,46514
47,68728
39,12700
4292,10910
47,62483
47,41791
39,11075
947,16758
8582,3668
454,64674
947,7526
8582,26819
47,29282
47,36481
8582,35555
8582,59248
47,71507
47,4800
454,40231
454,33683
8582,46486
8582,28388
947,35862
47,31105
8582,8006
454,30999
39,47472
454,18396
3531,11075
454,12451
8582,42766
454,30450
8582,37428
454,39498
947,12579
8582,74458
74503,30450
2598,35862
39,35014
47,15271
8582,73396
454,32863
47,68921
454,39978
348,71854
47,53341
8582,64861
51508,3668
8582,72220
8582,10910
8582,48597
8582,39695
8582,41243
454,39695
8582,73069
47,17098
47,8583
40147,3668
8582,72421
454,66658
8582,75134
16024,30450
47,75319
454,21092
8582,7526
47,56187
47,43861
4292,12579
454,10910
8582,59789
8582,6732
8582,18396
8582,43344
