sporthassportsteamposition_inv_1,sporthassportsteamposition_inv_2
2601,454
8006,8582
11075,39
17098,47
18070,454
18079,47
18227,8582
18736,47
7526,8582
4800,47
21092,454
7526,454
4800,2598
26999,8582
12700,947
27108,47
19636,8582
17082,8582
28388,8582
3668,4292
29282,8582
30450,30451
9540,8582
30999,8582
32863,8582
2952,8582
6732,454
33683,454
35014,39
35555,8582
6732,8582
17603,47
36481,47
12579,947
12451,454
37428,454
30910,454
30450,16024
35862,454
39498,8582
39695,8582
3668,40147
40231,454
41243,454
42766,8582
8583,47
43344,454
3668,8582
43861,47
46486,8582
46514,47
35484,454
39978,8582
47472,39
26819,8582
48390,39
15271,8582
18396,4292
3668,51508
10910,8582
18396,8582
53341,47
12700,39
8583,8582
37428,8582
30450,454
12451,8582
55194,8582
11075,8582
56187,47
31105,8582
32863,454
12579,8582
3668,454
59248,8582
59789,454
3622,8582
59789,8582
30450,947
30450,4292
30450,47651
62483,47
3668,13146
21092,8582
12579,4228
31105,47
12579,16024
64674,454
35999,454
65106,8582
64861,454
46486,454
29282,47
66658,454
35239,8582
25272,8582
66776,47
39978,454
16758,947
12451,4292
67835,47
16758,8582
35862,2598
12579,454
48597,454
68921,47
64861,8582
30450,47
41791,47
18396,454
65473,47
51616,8582
39695,454
7526,947
3668,47
30290,8582
19636,454
12579,4292
68728,47
71854,348
10910,454
72220,8582
58122,454
72421,8582
15271,47
67524,47
2952,454
18736,8582
73069,8582
16713,947
26819,454
73396,8582
12579,59877
14301,8582
65014,454
58818,47
35014,8582
30999,454
62358,3531
5578,454
35862,51508
35862,947
41243,8582
4093,454
67107,47
10910,4292
754,454
71507,47
75134,8582
42611,47
48597,8582
8006,454
62632,8582
74458,8582
75319,47
42766,454
754,8582
66670,8582
17082,454
43344,8582
11075,3531
41791,2598
30450,74503
3668,39
30910,8582
3668,947
39498,454
