sportschoolincountry_inv_1,sportschoolincountry_inv_2
103,369
1885,1221
614,5170
2626,8578
642,3141
5705,3141
2626,12816
8459,13817
349,14413
636,15277
614,3531
5043,369
1885,454
614,947
6431,1221
349,10036
1059,3141
1256,454
614,23994
614,6792
103,1100
977,1100
4556,1100
614,3255
1188,21320
977,21320
2626,4228
642,369
1885,31389
8943,1100
2701,13146
494,32745
3040,1100
2626,23920
5501,1100
494,39
614,14999
614,18831
614,454
9393,369
2626,3141
90,15277
614,32273
1061,454
614,4228
614,21320
787,454
5752,3141
116,1100
1884,12816
700,3141
2626,1221
349,1100
1098,3141
6431,35505
9080,29511
5010,1100
349,369
614,1100
103,11521
3124,3141
1256,13146
5593,3141
1256,11521
614,10883
26964,13817
27782,3141
6097,3141
700,369
614,3141
614,4403
977,3141
27083,12816
636,369
3832,369
1901,1221
614,47
614,3556
9360,1100
6097,369
349,3141
116,13146
13099,3141
614,42691
614,11101
90,3141
116,14875
9393,454
977,16666
3161,369
614,13146
614,39796
700,1100
5010,3141
614,36003
614,6842
614,2452
103,3141
5863,1100
19400,3141
2701,1100
772,1100
614,56561
614,29453
700,47
3832,3141
4556,454
3161,3141
614,11254
11665,369
116,12816
1885,3141
4556,369
11665,1100
614,19988
13230,1100
349,16666
1098,1100
614,4385
614,31649
2288,3141
116,22775
494,14828
56856,369
2701,454
5043,1100
4556,3141
349,35121
4556,3531
700,12816
614,5696
6431,3531
2626,947
614,25653
11663,3141
1256,1221
614,1141
614,45878
614,4000
4884,68751
494,369
614,11521
614,1221
8459,369
14018,1100
3975,3141
614,19261
3307,947
6431,12816
614,53909
13569,1100
8459,3141
1098,4228
90,1100
12015,12816
614,58406
614,30569
10982,12816
901,3141
901,1100
614,369
13099,1100
17523,1100
1901,13817
3307,3141
614,15454
349,42448
614,6328
8459,1221
9393,3141
614,39
614,9525
1256,1100
614,34875
1901,1100
2626,369
4884,10036
614,7469
2723,3141
614,32745
8459,12816
3124,1100
614,31969
2626,1100
3124,16666
614,23060
843,1100
2626,13146
3307,1100
614,63392
3975,369
3307,369
901,369
843,369
5010,454
16992,454
614,37862
614,10680
245,3141
614,64847
245,369
614,28867
6431,13146
5043,3141
494,1100
614,37945
614,12403
4597,3141
614,10551
614,24239
614,45314
614,45644
1885,16666
3124,68751
3124,454
977,13817
843,454
642,1100
1237,1100
116,3141
1885,1100
614,34141
90,40313
2723,369
8459,13146
103,13146
8459,1100
843,3141
700,39
891,3141
494,3141
614,57667
6044,12816
56856,3141
636,3141
11665,3141
614,49842
90,16666
4556,15277
