sportsgamesport_inv_1,sportsgamesport_inv_2
47,157
47,3457
47,5873
47,9196
47,8840
47,7980
47,20291
47,20355
47,21011
47,805
47,22773
47,20356
47,30045
47,3305
47,24385
47,35461
47,35485
47,17981
47,36387
47,21138
47,3353
47,40949
47,13030
47,19369
47,31235
947,43628
47,11850
47,44770
47,14866
47,42329
47,20318
454,15218
1100,45655
47,23736
47,44157
47,24231
47,29169
454,30459
47,22873
47,37402
47,19671
47,13548
47,9093
3531,25008
47,48112
47,29552
1141,47308
47,59781
47,19388
947,53136
47,47570
47,9597
47,9030
47,28310
47,41468
1141,62692
47,11730
47,36732
47,48667
47,23097
47,35738
47,44349
47,59664
47,1249
47,36561
47,65654
47,39058
47,47340
47,14112
47,47400
47,63710
47,31917
47,25354
47,48125
39,19871
47,18970
47,51407
47,32239
47,39692
47,37223
47,48766
47,62835
947,74732
1100,67744
47,63398
47,26550
47,56303
3531,20041
47,5431
47,21920
47,16637
47,29879
47,21270
47,44033
