sportsgameteam_inv_1,sportsgameteam_inv_2
230,231
1265,1266
1284,1285
1907,1908
1913,1938
2420,1692
56,1908
3179,1908
2341,1938
4848,1266
3746,5431
5182,6410
6563,1908
552,1285
3314,1908
7555,1908
4183,1908
1992,1908
113,10006
350,1908
10434,1908
3745,1908
10793,1908
932,1266
5002,1692
1081,1266
690,1908
1988,1908
7812,1908
687,1285
12788,1908
13363,3227
34,3227
1248,1938
1439,1908
2973,1908
1116,1285
2095,1908
1914,1285
4848,1692
3893,1266
486,16754
446,1908
1102,1285
17609,4611
17670,1908
62,1266
3745,1266
2593,1938
4148,1266
9118,1908
2338,3227
971,10006
1192,19843
5352,1692
1914,3227
9598,1908
5044,21138
4926,3227
13298,1908
21288,1908
686,3227
1914,1692
281,1938
476,1285
1248,22873
2209,1908
23882,1692
500,5431
16402,3227
10775,1692
11847,1908
2593,16754
552,1266
3945,3227
486,1852
486,1266
11729,25562
21782,1908
3821,1908
18519,231
10759,1908
1222,1692
4854,1908
18519,1908
1102,1692
1102,3227
4297,1285
2341,3227
28108,1692
552,3227
16167,1908
28720,1692
1493,1908
16250,29169
29887,1692
1439,1692
20258,1908
113,3227
392,24579
882,1266
8366,1908
33003,1285
882,33144
446,231
3745,1692
476,16754
8286,1285
4662,10006
487,1938
4513,1692
10159,1692
3188,1266
68,1285
34,1692
4297,3227
6816,1266
562,1908
4612,4611
7812,1692
383,1908
1102,1908
35,1266
22573,1908
6032,1908
1633,1266
8814,1266
379,1908
2244,1692
379,1266
1011,14112
15515,231
2004,24579
486,33883
326,1908
2172,1908
10961,1266
19054,3227
3383,1692
7039,1908
3746,1908
3293,1285
497,1908
19494,3227
4602,24579
806,1692
4504,1908
3746,3353
2593,41938
4147,25740
281,1692
13298,3227
379,1938
3745,42201
3893,1938
8286,1908
447,1266
10864,3227
497,14112
35,1938
2286,1908
3900,1692
1192,1191
8486,3227
99,44015
5767,1908
10961,1938
44065,1908
2338,1908
256,1266
446,1285
14321,1908
1248,1908
1248,44201
19410,1908
4148,1908
28153,1908
21762,1938
379,1285
447,1908
13920,1908
500,1692
1248,47400
2973,1266
28507,1266
48068,1692
392,44015
62,1908
971,1266
22551,1692
126,1692
3665,1908
11985,1908
8222,1908
421,3227
49843,1692
50090,1908
12248,1692
971,41171
5636,1908
56,1266
3746,44201
2286,3227
8751,1692
3893,1285
1004,51407
2247,3227
1992,25740
2244,1908
8814,1692
4926,1692
195,1908
4779,1908
4787,1908
87,1285
497,1938
16250,1266
68,1908
21762,1908
52411,1692
16250,1692
4602,1908
806,4611
1250,1285
1807,1908
13956,1908
3854,23097
4854,31917
11214,231
16742,1908
30961,1692
9769,1692
3746,47491
16402,1908
47272,1908
971,16754
2593,1908
9915,1908
2244,1266
3293,231
486,41171
4147,1285
551,1908
18519,1266
4848,1908
497,1285
6816,1285
1807,1938
62,1692
55529,1908
971,1692
28153,1266
1004,1285
3567,1908
1192,29363
1011,1692
476,1266
326,1938
10331,1908
256,1908
1248,12222
1248,1266
2173,1285
87,1908
916,1692
1913,1692
7486,1692
3512,1692
3383,1938
10060,1692
2593,3227
446,44015
14294,6410
1493,1852
4737,1908
932,1285
230,25740
1004,1908
4148,1285
87,1938
421,1692
10392,1908
1493,1692
7498,1908
2703,3227
4854,1692
450,1908
59231,1692
12839,1692
1116,1692
8532,1908
4661,1908
4867,1908
18446,25740
2341,1266
552,1938
4779,3227
19054,1908
806,1908
1081,25740
230,1908
932,1908
281,3227
1250,1266
4418,1908
4148,30885
5361,1908
9769,36387
806,24231
497,33499
10961,1908
7319,1908
5340,1908
12248,1908
16614,1908
932,25740
61687,1908
28608,25740
2703,1908
28153,3227
932,41171
4148,1692
62312,4611
3567,1266
14983,1908
1004,1266
99,1938
1011,1908
3746,1938
14077,1692
500,33499
69,1285
3745,3227
56640,1908
113,47685
932,63495
16220,3227
3314,1692
25088,1908
3360,3227
3314,3227
12325,1908
3360,1692
99,1908
9822,1908
11172,3227
2476,24579
8486,1908
4123,1266
4148,14112
7403,34157
7958,25740
686,1692
6816,1908
350,1266
932,3227
500,1938
1102,1938
2593,1692
971,1938
7958,20307
1248,35485
2476,1908
10961,3227
4926,1908
2007,1908
2007,1692
2694,1285
256,1285
2819,1908
65639,1692
5182,1908
3393,33499
326,1692
9598,1692
4123,1692
5002,25740
16250,1908
16402,1692
3512,1908
3393,1908
932,231
3567,1285
4418,1266
1988,1266
497,1692
3293,1908
3772,1908
497,1266
43857,1908
486,1908
5920,1908
3821,1692
10864,1692
10922,1908
51934,1692
5044,1266
3360,1908
2209,3227
113,52115
4853,1908
67090,1692
282,1908
3746,1285
2209,1692
8751,1908
3900,3227
12115,1692
421,1266
971,3227
3293,1266
5002,1908
20983,1285
3567,1938
1914,1938
9262,1692
500,11850
230,6410
7068,1908
5044,1908
1248,33499
1081,1285
4297,1692
4737,1692
1265,1908
562,24579
1284,1908
113,1908
7319,1285
9262,1908
4853,5431
5002,3227
17579,1938
3746,10006
3746,47400
29687,1908
113,1938
3746,1266
14077,1908
1081,3227
281,1908
5002,1266
932,1692
10392,231
3188,1908
4504,1285
28507,1908
1355,1692
68,1692
7499,1908
4659,1908
22573,1938
1988,1692
62,231
486,1692
126,1285
392,1908
500,41607
10922,3227
2286,1266
3900,1266
446,25740
56,1692
22731,3227
2427,1908
1248,1285
4926,1266
2209,47685
421,1285
3393,1938
552,1908
15515,1908
69914,1692
1086,1285
23541,1908
1355,1908
2476,1938
486,1285
8222,1692
5181,1908
326,1266
3383,24579
63520,1908
35,1692
64690,1692
35,3227
13298,1692
4661,1692
2247,1692
4661,3227
422,1908
34665,3227
42663,1692
8814,37801
687,1908
1011,62835
12248,9030
10159,1908
4297,1266
26188,1692
4779,1692
1250,1908
4048,1908
5340,1938
4853,1266
2593,47685
500,31235
10392,1692
28507,1285
1493,1266
486,1938
34,1908
1081,1908
449,1908
14503,1908
3854,1908
5182,25740
33623,1908
7403,1266
34420,1908
662,3227
4853,1692
113,1285
256,1692
1102,25740
4165,1908
69,1908
13029,1908
3893,33499
16220,1908
1604,1908
1086,1908
72038,1692
5044,1285
9769,1908
8366,1692
501,1908
10864,1908
422,3227
1493,1285
1192,10006
8160,1908
662,1908
1011,1266
2694,22773
3393,1285
5340,1692
5340,3227
1250,1938
25786,1908
113,1266
1081,1692
68979,1692
65817,1692
3900,1908
2286,1692
18519,1692
8366,1285
4147,20307
447,1938
282,1692
27496,1908
5636,1266
2007,1266
3393,1692
487,1908
7958,34157
10961,1692
10392,1266
5668,1908
3893,44015
446,1266
3393,44015
2247,1908
12325,3227
168,1908
20581,1908
806,71765
3745,1938
1248,35386
4662,1285
379,1692
60616,56799
3567,33499
2819,1692
16729,1908
446,1692
7958,66027
686,1908
1004,1692
501,1692
1011,1285
2973,1692
5352,1908
421,1908
1192,66027
17579,1908
2004,1908
10434,1692
916,1908
100,1908
3383,1285
57,5431
1992,231
57519,1692
1604,1692
1248,1692
126,1908
5044,1692
9262,3227
56,1285
1284,1266
4418,1285
10392,1285
4661,1266
10961,1285
4418,1692
971,1908
69,1692
11190,1908
3746,41928
7958,1266
1807,3227
1265,1692
500,1266
882,1285
4602,1266
392,44042
35,1908
3393,33883
7039,1266
2593,10006
1914,1908
687,1692
4662,1266
10864,1266
7319,1692
4602,1692
4631,1908
2694,1266
3745,1285
2209,1266
57,1692
552,1692
20983,1908
21181,1908
687,3227
1192,34157
3393,25740
11214,1908
15846,1692
34427,1692
1102,1266
4504,1266
37117,1692
10060,1908
3393,1266
3746,1692
10978,1692
326,24579
3188,1692
476,3227
350,1285
3893,1908
379,3227
882,41171
113,1692
383,1692
2702,1908
70647,1908
10331,25740
1248,4379
3746,61257
3746,6395
3314,1938
500,47570
8814,1938
9915,1692
916,3227
2694,1908
3188,9597
1250,3227
1192,1266
6563,1692
1248,10006
497,4611
4184,1908
383,1266
932,16754
1250,1692
690,1692
2244,3227
1289,1908
662,1266
476,1908
3854,1692
3383,25740
687,1266
8814,1908
1284,1938
2173,1908
8814,3227
2341,1908
4662,1908
1914,1266
33672,1908
392,1266
10331,1266
87,24579
10331,1285
2004,1285
500,1285
1248,8840
3512,1285
99,24579
3383,1908
971,1285
1633,1692
281,1285
383,1285
99,1266
476,1938
57,1908
1248,41928
21762,1692
4662,1692
22731,1908
882,1908
7486,1908
1913,1908
