sportusesequipment_inv_1,sportusesequipment_inv_2
1220,1221
1304,1305
1304,1897
2309,1100
1220,2452
1304,2598
4227,4228
1304,4271
4300,47
948,2452
4933,3531
5006,1100
1304,5435
5538,5539
4518,1141
6015,6016
6327,6328
6015,1141
6964,3531
7120,348
7594,4228
8331,8332
8340,1141
8724,1100
8972,1100
6932,4000
9874,1100
11269,6328
11538,4271
8522,6328
12402,12403
12445,1141
4518,1100
4300,1100
4138,4000
14995,6016
15551,4271
15599,3531
3879,16024
7910,1100
17389,17390
17510,11254
948,3531
13412,1897
18072,47
3879,2297
1304,10883
20824,1100
4227,21492
21765,947
22441,1141
22610,1100
12698,1141
22931,1141
3879,23060
17925,4271
4227,23288
23405,454
24040,39
19368,8582
948,24239
24264,1100
4568,4271
4227,25420
20327,4271
1304,25595
25983,3531
4227,26118
17317,1141
27382,1100
7120,4517
28424,1141
1662,1100
28631,4228
1304,28867
13412,6328
6202,1100
11269,29495
29699,1141
3879,4228
8196,28572
30441,4228
30566,39
7120,30763
948,25653
31066,1100
29699,1100
28424,16023
1304,454
2914,3141
31648,4228
948,4228
22931,3531
7120,32800
15623,13146
1304,8332
33487,12816
17966,1100
34204,1100
34214,6328
34594,4228
5538,6328
21765,14875
3879,35505
35669,47
12402,36003
19368,1100
31541,1141
11269,37076
13412,3141
37333,1100
3879,37862
12402,14875
24040,47
1304,3531
4138,947
1304,32745
6567,4228
13412,4228
5538,1141
4227,8360
4300,5539
39126,947
1220,47
13412,32564
39890,1100
948,8332
40112,8332
8196,348
1304,40407
12698,1100
15623,1100
41712,947
3879,41750
41780,1100
15911,1100
3879,32564
3879,42632
948,42786
39126,1141
43855,4000
1304,12816
40112,1305
24065,1141
44707,47
43341,1100
43341,1141
5006,4271
4227,34601
17510,4000
8331,14875
45491,1100
1304,45644
45742,4000
7120,1305
948,45967
1304,16023
4568,1100
33487,1100
1220,11521
30441,47
47692,47
1220,454
48021,947
948,4000
7120,3531
3879,3878
47578,11254
18107,14875
1304,6016
48695,1100
1220,947
35676,1100
49179,3531
49811,1100
47455,1100
1304,32383
3879,32273
11269,4228
1304,32454
4227,50520
47393,6016
51123,51124
51206,1100
51410,6328
12402,1141
33639,947
7594,3531
22441,47
51802,6016
52397,1141
45673,1100
7835,16023
8340,1100
21765,348
4227,1305
4227,51764
4300,4228
17389,10883
948,947
1220,1100
4227,39
51802,1100
12402,6328
4227,454
54590,348
948,1100
54758,1100
25238,1100
20327,47
1304,25653
4227,3531
55274,1100
2914,1100
47578,4000
55621,454
4300,51311
55693,1100
4227,16023
948,51311
4227,56099
56128,1100
24156,1100
4138,1100
4227,56469
13412,3255
31541,32383
7594,1100
7120,13146
6015,1100
7120,947
57337,1100
5538,4228
14995,14875
1304,8360
20327,11521
31185,1141
57852,1100
58138,4000
20327,6328
49696,34601
20327,4228
44287,47
24065,4228
26833,6328
4227,47
948,454
60267,1100
60472,6328
30441,1141
8340,39
19368,47
36110,1100
4138,348
17045,1100
8522,1100
61225,6328
948,12816
7120,51311
61299,4228
4227,4517
3879,19988
61642,6016
27382,47
1220,3141
948,44363
38613,1100
25039,1141
49308,3531
28631,16023
62676,1100
1304,6328
8196,1141
4300,16023
31541,8332
62967,1141
7120,2598
4227,63190
1662,47
13412,8582
63488,1100
24264,1141
63578,2297
1304,52284
49358,1141
25039,1100
63947,47
63302,47
64413,24239
33487,1141
64777,1100
19368,4228
20327,39
42964,1100
1304,64874
18468,1100
7120,12816
26032,1100
4518,4517
6567,3531
4227,2598
54590,4000
13412,4271
7120,47
65893,31649
1304,1221
11541,1100
17389,39
7120,1141
1304,4000
948,66226
31816,1141
40172,1100
12402,8332
42964,3531
66810,1100
27382,4228
948,2598
44305,1100
28631,3531
51123,1897
64504,1100
12402,1100
1220,4000
67698,1100
67797,1100
948,11254
28494,4000
20715,1100
1220,1141
3879,3531
948,5539
1304,348
4568,3141
1220,25653
29581,3531
68733,4000
3879,1100
20327,454
19368,39
948,26118
42964,1141
7120,11521
1304,1141
1304,31649
3879,4292
69118,1100
1304,53695
6567,947
28424,69269
4518,6016
29588,1100
18072,2598
29581,1100
21765,3531
55193,1100
69491,16023
57448,1141
1304,32564
4138,3531
13412,11101
4300,42786
5538,14875
948,3141
1304,14875
4300,25653
44287,3531
13412,947
4227,12816
41712,3531
948,6016
948,64847
55693,47
4227,32383
61299,6328
1304,4228
43056,1100
68843,4271
17925,1100
5003,1100
57446,1100
68778,4000
3879,70491
45507,3531
3879,29453
4227,6016
49261,6016
70776,1100
27926,4000
7120,8332
47692,2598
69063,6328
41612,1100
70628,1141
4138,1141
4300,6016
70567,947
24040,454
20327,8332
4227,1100
40112,1141
21765,1141
28631,1141
948,11521
20327,1141
4227,8332
13412,42786
70400,14875
40112,4228
20327,1100
70314,6328
4518,3531
54319,947
3879,71111
8340,32564
1304,11101
12402,3141
72435,1141
14995,1141
5538,1100
31816,39
72757,4228
72775,1141
40172,1141
25039,6016
4300,1141
72951,3531
63681,1100
25039,4228
29699,47
948,34601
49269,369
948,6328
21412,4271
18107,8332
42964,6016
5538,16023
948,47
1220,4228
7120,16023
13412,5539
28424,32564
16660,947
73466,3531
70198,4000
20715,4000
3879,454
7120,6016
57860,1100
8331,1141
4300,11101
40112,14875
52891,4000
73664,3531
1304,49842
49261,1141
71635,1100
60926,1141
1304,42786
5538,4271
1304,2297
19368,454
3117,1100
4227,10680
23407,947
24065,1100
1304,1100
72132,4271
49179,454
73013,1100
74254,1100
13412,4000
1304,47
4227,14875
1304,3141
7120,4228
33487,47
18107,1141
67659,16023
72098,947
6199,1100
59962,1100
49269,3141
948,16023
15623,47
57251,6328
74454,47
74660,1100
70035,39
4227,947
3879,15277
39925,3531
7120,1100
1304,11521
63302,1141
948,348
1304,70197
21765,1100
57448,1100
45673,1141
33487,2598
64815,1141
49308,947
8196,947
73694,1100
1304,14042
948,8582
20327,3141
17510,1100
15623,2598
3879,72773
1220,39
12698,4000
1304,947
71339,39
35030,3531
1304,14999
34876,34875
1304,369
1304,74985
2309,1141
29581,1141
4227,13146
49308,1141
1220,3531
5538,37076
41712,1100
4227,1141
74993,1100
28424,1100
28424,39
13412,1141
31541,14875
12445,1100
16660,1141
12698,4228
49269,1141
18072,12816
73535,3531
59962,1141
3879,70399
3879,47613
948,14042
12698,6328
31648,3556
13412,47
31185,1100
948,1141
20327,12816
13412,1100
24040,3556
69702,1100
75101,4000
66493,6328
58004,6328
1220,8582
60522,1100
1304,4591
4227,348
13412,3531
31648,39
948,39
4300,4000
21559,1141
