stadiumlocatedincity_1,stadiumlocatedincity_2
1440,914
1600,1601
2033,1399
4235,4236
5189,3930
5454,889
6561,6562
8697,8698
9421,9422
9641,7690
10059,565
11068,3930
11241,1916
11298,7057
11530,6335
3858,889
12039,6936
12244,3782
13070,8647
13361,13362
13631,1131
14048,1816
14711,14712
10261,1421
14782,9404
14787,14788
16601,250
17620,17621
17693,250
20080,114
7123,889
6256,4499
21272,8091
11108,1454
10705,6379
22854,3534
23030,250
24250,9422
5015,16270
24855,6698
25365,6796
25408,25409
6000,1079
25881,889
26881,17219
26336,26335
27443,2410
2203,1816
28419,28420
9498,2839
29266,889
29493,16490
29503,7057
21351,2839
6349,2662
30355,42
3577,235
23675,6379
33313,889
33645,1465
33791,33792
33865,8310
34108,565
34372,80
34803,7057
34873,80
34908,1091
35098,7220
35110,114
35662,889
36000,114
36942,80
36995,9581
37020,556
37044,565
37751,13684
38790,889
35139,4393
39113,5708
5000,207
38772,2760
42146,27330
42321,235
42920,42921
42997,20748
21045,3115
43566,2662
35007,1916
44697,31119
19362,19361
44838,2307
45268,1079
45289,2410
45636,133
9898,1079
46284,9365
46377,9365
12949,5790
47571,5790
4061,235
7385,917
34549,8310
48442,133
30342,7957
46815,8310
32097,207
49720,1816
49976,3
33388,18497
50625,299
51025,3
51188,8647
51386,3930
44927,2307
51565,3534
28917,114
50885,250
51956,5493
21068,250
52146,1936
52198,7690
52565,30587
52697,5756
52985,235
18819,751
24895,2760
53468,1454
42980,751
8289,556
45577,9365
54029,9365
54057,35891
869,19361
51241,114
54669,9900
8533,3563
17171,8608
55011,16490
55150,914
55197,50979
38,1882
43,42
17480,114
55818,2307
27765,11225
55964,9365
56284,15781
54313,235
56415,8310
56446,3579
56552,1593
48835,41174
53941,242
9195,7220
57348,3090
57451,565
57624,22351
57647,235
14618,917
57934,4499
2136,2740
13887,751
6179,6178
58230,2307
58423,16337
21267,21266
4627,751
37415,7135
59287,889
59743,8310
55356,1916
26710,1916
60071,1916
60141,7650
22817,555
38950,8091
60892,4325
29809,19361
13189,9365
31533,889
33661,1916
34756,1916
62158,207
55553,14289
16311,914
47079,751
7907,7906
62387,4546
62753,45785
6577,8647
9461,2953
57492,555
28044,565
7535,46152
36712,12573
39780,16270
26899,9900
18537,556
18705,18704
4788,80
55078,7939
64426,32808
64643,3115
21543,21542
18762,299
63727,751
9359,1079
5081,5080
19938,556
8197,6379
48719,46152
23862,889
22373,20003
66076,1421
62812,9422
62993,24821
66673,1079
50930,9365
66850,5228
67003,479
67366,38824
17568,8647
56315,555
61634,1465
61090,1421
67365,3518
30831,1079
8605,914
34012,11225
68459,1079
683,133
65793,3930
9401,250
44221,3090
44492,3534
68823,8310
19957,889
41124,18804
15610,2113
48754,6698
69364,4561
1080,235
69638,34679
69641,23939
20572,917
11884,4499
68239,7057
65708,3423
69981,2839
68641,917
33764,914
27224,12308
16257,1816
70444,70445
47169,1399
61293,36356
13284,889
34465,889
5905,6698
11526,4561
36058,80
27319,1816
70817,37
70892,751
66880,889
41286,9365
66751,4708
63545,18698
46624,1593
6276,410
366,35919
48017,889
36354,235
69328,4665
69275,6736
54972,10503
9791,3
36702,207
22081,3
72195,44284
56313,114
72483,1593
47449,35987
23325,6379
72597,555
62943,299
65386,3488
36841,1134
17067,65986
68010,565
32502,14843
73221,114
57375,7208
73236,18571
36113,2307
57407,2953
15519,8310
21410,3518
49507,133
15881,12308
58870,1916
34958,28002
19654,5790
62637,13148
6285,28592
3021,917
73895,2307
73933,73934
72705,4325
17676,3
22737,914
55273,5493
11965,63625
74152,19920
62790,555
31304,1816
53505,6797
64939,35987
42327,6657
6093,7939
17607,2307
67128,21106
49011,751
7713,751
35605,235
57711,3
39350,731
73093,3579
47772,565
57192,24774
56027,889
13715,5790
73945,11225
9852,37
51957,7057
63831,751
12574,12573
41344,36892
43504,3090
74989,235
35151,1916
44522,6289
75115,889
55932,162
75124,8310
74290,6379
67717,889
32212,3534
55663,2307
38755,2307
72848,7860
58920,10768
75059,14914
31662,133
31981,80
74146,889
36300,235
39711,3
53828,16986
8942,133
40085,917
54037,9422
10488,1079
75271,65954
24960,7939
21720,1020
49880,3563
14699,2307
22676,17455
59834,28016
31386,2662
50489,917
8992,3534
51319,6119
59745,42
30190,565
72158,250
48178,74950
65927,235
54510,42
3636,133
74111,14289
24958,9365
13501,7057
