subpartof_1,subpartof_2
211,189
361,179
688,689
763,764
914,915
979,844
1002,1003
1161,1162
1214,189
1346,1347
1372,1373
1539,189
1556,1557
1598,74
1615,764
1836,1837
2066,189
286,2077
2103,179
2126,189
2510,764
2520,764
2595,352
2648,179
2739,189
2899,6
2919,2920
860,3142
3233,819
3334,3335
3479,2486
3622,189
3688,794
3717,179
3780,617
4225,189
4280,4281
4298,4299
4333,4334
4447,1557
2390,4469
4582,179
4639,4640
4654,4655
4691,4692
4759,668
4780,4781
4824,4825
4177,668
4987,4988
2175,5007
5050,2920
2175,5163
5174,189
5175,1129
5220,179
3692,5244
5258,1557
1836,5284
5285,189
5342,764
3092,668
5524,668
5548,5549
5694,668
250,587
5799,5440
5921,1557
5950,189
6024,1042
6030,6031
3692,4469
6104,6105
6235,544
4729,321
286,5649
6488,189
2175,6493
37,36
51,4471
6709,3702
6740,6741
6814,3624
3692,1042
6906,2920
286,7090
7150,866
5799,7233
7495,1016
7519,7520
7575,668
7736,977
3496,189
6799,179
7955,179
860,1655
7998,764
8081,8082
8166,8167
8178,189
8179,1373
8218,3624
8277,764
8521,2990
8577,4242
8589,648
2175,36
8626,794
8752,189
8990,321
9025,1129
9156,189
9167,179
9179,4240
9230,9231
9275,1686
9305,9306
966,189
9425,4047
1836,9495
9305,9519
9526,794
7638,179
3479,9602
5409,179
9813,74
9825,189
5799,4593
9919,2920
9965,189
10039,2920
6964,1264
10127,1844
10142,189
4333,10183
10199,10200
5606,5605
2510,10249
10272,764
10346,10347
1836,10375
286,10429
10491,10492
7263,7262
1043,10504
2602,2990
1836,10741
10746,5008
1836,10860
10866,791
11031,764
2595,1516
11315,11316
11547,11548
11567,11568
11649,1557
11656,179
11681,3609
8071,8021
11804,3841
860,11872
11880,11881
12017,12018
190,764
12084,189
12105,4196
12113,12114
12189,1347
12201,9524
6657,1966
5429,1557
12333,1129
12366,10183
2967,1016
286,12653
12720,2920
5983,4471
5799,860
12884,2920
12913,794
12924,1686
13063,3915
13169,189
7302,13229
3609,13402
4308,4307
13490,2486
13522,13523
1577,4692
13619,5440
9341,668
13629,13630
13642,794
1093,179
13878,8082
13881,189
10279,179
6472,13996
12846,1557
14243,1129
14515,257
14536,764
14630,1129
1836,12114
156,1516
1874,189
14841,189
14880,14881
2269,1369
9029,977
7828,189
14078,15054
15094,6904
13341,794
15164,189
15173,179
1682,15189
15345,794
15382,791
4639,764
2205,10347
5494,5495
11399,189
15744,4958
15873,189
7557,977
16003,4240
1015,4047
4333,10492
617,16214
2175,9435
16263,189
3692,16285
16350,1557
1836,13325
286,16409
16415,16416
16484,764
2896,2897
286,16643
16671,189
16677,764
16678,1557
1577,10492
10811,1129
8910,1686
1836,17174
17222,17223
15850,189
17304,3726
3782,819
2175,11654
17401,17223
13385,5644
17619,319
7445,189
17634,17635
16205,764
17814,1129
17962,1557
17996,1557
112,18011
18118,1129
18133,1162
18298,764
15850,13598
2269,10249
15026,8179
18593,18594
18659,189
18720,18721
18728,189
1836,18795
286,18805
18821,189
17619,1061
17114,18955
12318,764
14493,189
19075,4767
4333,19094
19102,7616
19193,794
19325,257
1043,9418
19359,13952
19391,764
19417,1627
2815,4469
19816,19817
202,13978
19873,971
3609,7926
5981,9956
1836,19969
19994,4240
19996,791
20002,1686
20132,764
12199,1686
20199,1557
14903,764
17276,189
6472,764
15452,8082
10868,3005
20716,2920
20857,1557
53,20897
20984,764
4333,21014
8666,2486
9164,4692
286,21239
21290,189
1836,21314
9305,14382
21366,250
21377,5475
860,18014
21471,189
17007,189
4333,21536
8004,8005
21661,189
21676,764
6649,794
21754,6031
21773,21774
16404,179
435,250
21998,4047
163,6783
22076,2920
22200,189
1577,764
18405,22285
10770,794
22314,22315
22317,668
22402,791
22426,4240
22436,6904
16825,9716
22489,764
22548,4240
5799,22557
5983,764
12280,17
6472,22722
16794,2990
860,22798
2802,1516
22965,9497
3609,22978
22998,2920
23062,1557
3974,189
23187,23188
23126,189
23361,4242
23388,189
13916,1373
286,621
23420,1129
7888,1129
286,5965
23522,794
23524,1557
23538,668
1922,321
23578,791
23666,179
14020,1686
2205,23773
14144,17
21392,1844
286,23922
4333,21256
1708,764
23992,74
24044,1686
24193,24194
1836,2270
24209,1557
12705,904
24233,2920
24277,588
23340,179
24415,18879
24464,965
24637,2920
1462,764
4187,24748
1836,18997
8882,700
24821,1627
24989,2920
25020,3370
2271,2270
16109,25091
21263,764
245,5440
25187,1686
51,19750
25280,25281
23360,189
3454,2920
19073,1966
4333,25416
4333,23922
8277,189
9716,9717
25552,179
25592,617
25717,1686
25742,1042
25765,4767
2271,12988
25815,1129
22153,1129
25873,25874
25877,1844
286,26021
26052,189
26112,189
26133,794
10636,179
26194,2920
26209,2920
26230,179
18551,21536
4753,163
26337,12104
26342,1557
26305,20596
24454,2626
1874,764
3479,26546
26589,189
1043,26592
26653,2920
26671,23188
