subpartof_inv_1,subpartof_inv_2
50,51
52,53
189,190
189,212
285,286
309,310
668,669
794,795
851,286
859,860
892,860
189,943
965,966
987,988
1042,1043
1129,1130
179,1357
764,1462
1519,1520
321,1588
1686,1687
189,1864
189,276
189,2111
1042,1836
2243,286
2270,2271
764,2301
791,2305
189,2493
1686,2674
648,3231
791,3331
2920,3454
189,3496
3608,3609
3691,3692
1284,3784
764,3824
4025,4026
189,4041
189,4137
179,4189
4240,4241
189,4506
321,3139
4576,4577
163,4753
1001,5141
189,5419
764,5532
179,361
5605,5606
668,5632
189,5638
5649,286
5672,860
1557,5784
5907,3995
5965,4333
764,5982
866,250
764,4330
1966,6036
3702,6077
764,6121
6129,3692
764,6226
189,6319
6324,4333
1557,6341
6413,2175
321,6448
189,6453
764,6472
4469,6605
441,860
794,6649
4836,6565
764,6781
179,6856
764,6881
6904,5661
6908,4946
7043,2175
1129,7044
1129,7099
7152,1836
189,4090
844,7219
6,7223
7238,286
794,7424
2920,7443
189,7453
7626,7627
7654,621
2920,7833
2486,135
3005,7904
1147,1148
7999,8000
794,8019
3138,2175
189,8581
2486,8666
4603,2587
8913,286
5588,8950
764,8989
9102,7719
4692,9164
2920,9263
668,9341
9418,53
9473,9474
8913,51
866,74
1824,860
764,9609
5440,9625
9716,9717
7557,9758
794,10120
189,10149
179,10206
257,10278
179,10279
6493,2175
1557,10549
1557,10572
4692,8277
179,4182
794,10849
10856,4333
189,10933
2920,10970
189,10985
11046,286
4469,11114
5588,11131
189,8112
189,11287
189,11373
2626,2175
11495,286
764,11598
11625,11626
1557,11640
794,7481
179,11732
904,609
11875,286
977,4700
2170,2175
11952,1836
12013,12014
1347,12016
179,10348
794,12138
764,12140
791,12215
764,12318
1129,12527
3005,12544
12845,12846
250,12912
12988,53
13002,2269
764,13019
13079,8000
189,13092
189,13174
3702,6709
1686,13414
6904,6024
13481,5799
617,9831
13598,1043
2506,13640
13753,1043
617,4202
13979,4333
764,14145
764,14149
14199,14200
764,852
257,14391
1218,1219
14546,1836
9602,966
14646,14647
668,14657
4047,8045
764,14817
6324,1043
189,7143
4196,12105
1686,4988
1557,15135
668,15158
1373,15188
4767,15290
7644,7645
15431,860
764,3479
1373,13916
15656,15657
189,15792
189,15813
1042,15850
179,15879
321,16015
1557,2737
257,16048
16117,13495
16133,16134
5244,286
189,16205
1686,16609
819,14288
794,13341
2920,16718
189,16740
250,2494
1129,16757
1681,16762
16824,16825
16861,286
668,13043
9782,609
189,8916
17117,3995
1042,17215
3609,11681
1129,17359
668,17377
1686,17381
179,17492
2920,17520
17559,5168
9956,5264
179,10623
189,4201
4299,17766
10492,10491
764,4593
764,17831
189,17831
4240,17949
794,18060
189,18095
4469,18157
18190,3609
859,18311
2920,18388
6904,18405
1557,18454
9315,18551
791,18133
627,14534
2920,18599
321,18636
946,52
18733,18734
4471,18844
764,18872
7643,6103
18997,1836
764,19001
189,19046
19099,19100
189,19118
19136,19137
6441,6442
189,19308
19395,18551
19443,1836
1129,12333
1369,2269
668,19672
965,1836
11640,3609
19750,51
764,19756
189,17530
12673,17114
794,19831
189,19874
668,19889
2632,617
2170,250
20012,9305
20093,20094
764,20118
5588,20205
794,20242
20247,2175
1162,20267
2920,20427
17,20494
15656,2106
7982,2205
2920,20569
20596,20597
20601,51
189,20640
179,20713
668,19824
1129,20792
13978,202
764,15639
