subpartoforganization_1,subpartoforganization_2
672,12
705,4
740,741
1277,4
1669,791
2043,2044
2045,791
2279,1275
2668,2669
1283,791
2951,12
3070,791
1593,791
3214,791
3471,3472
3478,791
3947,2772
4064,791
4097,791
4302,4
4422,791
4444,791
4749,842
4899,1373
5038,2755
5173,822
5380,12
5689,2772
5719,1860
6155,6156
6222,791
7304,6156
7309,791
7361,791
1628,7815
7933,2772
8176,12
8378,791
8635,791
8802,4
8854,1038
8988,5735
9372,791
10007,791
392,257
10224,10225
10256,4
7622,10386
10467,1373
1656,10477
10591,791
10621,791
10837,10838
11013,791
11123,791
11306,11307
11448,791
11586,791
11605,791
12066,4
2303,342
12370,822
12837,791
12876,822
13072,3006
13248,143
13260,4
13341,1860
13713,614
13798,791
11887,791
14428,791
14501,2169
14689,791
14694,791
11778,12
14991,791
15149,791
15249,791
15809,15810
15817,791
16066,4
16069,12
16124,16125
16254,1860
16321,7736
16357,10502
13971,791
16452,791
16526,2692
4394,1369
16654,16655
12957,791
16716,791
5898,791
16984,16985
16996,786
17079,5735
17199,15083
17230,1445
17285,791
17344,791
17388,791
17404,4
17497,4
17663,791
17794,2772
10678,791
18453,1038
14025,1856
15814,791
2116,791
6856,1038
14501,18716
18778,791
18815,786
6011,791
19163,791
4813,19223
19378,308
19429,791
19440,2772
19534,1860
19586,791
1819,791
19707,604
19771,6156
19916,10838
14212,18218
20056,4
20074,791
20097,791
5309,741
1912,791
15240,791
354,1373
17209,791
20974,20975
30,741
19831,4
17472,1860
21171,791
21350,2896
21382,1038
21405,10530
13952,791
18440,5588
21687,791
11239,12
21721,4
21770,1373
21874,10838
3837,791
21928,791
21955,822
21980,1038
22012,22013
22153,95
22389,2044
22421,10530
22544,17102
22585,791
11796,822
14285,17
5370,8077
22995,791
23155,791
23201,4
23271,786
23286,791
23466,791
23591,4
20643,741
9618,1038
1628,19997
8115,2772
23936,23937
7309,1373
9524,1373
24274,12
24397,791
18754,791
24700,2772
297,791
24762,791
6206,1038
6913,1373
19472,1038
4798,786
25101,2044
19394,791
25256,143
6660,12
25614,25615
25721,25722
25930,25249
25858,791
26138,791
11231,791
10816,1860
26430,791
26497,2692
26619,11849
26640,4
16654,2368
26913,791
27014,1860
14180,791
6006,791
27203,822
27234,791
2783,1873
22225,12461
9577,791
16369,791
14630,95
9816,12
4867,791
27919,5735
674,791
28012,791
757,3915
4253,741
1046,1672
28374,1873
1860,3915
28726,143
28739,791
28742,791
28817,95
250,1373
28822,791
14501,614
28961,10530
16339,791
22367,1038
29350,786
29631,791
1052,4394
12672,791
29828,29829
10970,2772
28368,791
24794,791
8613,1038
30001,2859
30120,4
30188,143
17401,20827
11740,822
19592,791
8647,791
30402,179
30533,791
30537,30538
30644,791
30676,2044
24911,791
18015,791
5674,822
14457,14456
31080,791
22818,4
31159,4
31216,791
9373,791
1138,1873
31450,10838
31510,786
26540,791
14501,9026
31690,6156
28734,822
686,604
31845,1860
20896,791
21849,664
13909,791
30362,822
8494,14538
32196,95
32236,1373
27174,791
21531,6156
10593,2772
9153,791
1943,1373
32620,791
32672,791
32178,15083
32846,2772
32862,6156
32989,791
1046,587
31323,1860
13516,791
33126,791
9371,791
15902,791
33242,822
33256,791
23308,791
31752,12
33434,2772
2669,680
33454,12
22977,791
33479,33480
33547,791
26230,1038
33609,2044
11529,2772
20583,12
33745,95
1046,10042
16807,16806
33915,1038
