subpartoforganization_inv_1,subpartoforganization_inv_2
180,181
625,626
756,757
791,792
791,879
791,1276
791,1350
791,1694
1038,1955
1275,2075
791,2116
4,2284
791,354
321,1046
791,3439
791,3460
257,3567
143,3909
3915,1860
2861,3990
4004,1052
1038,4263
791,4421
791,4705
786,4798
1038,5096
791,5455
786,5665
822,5674
2044,5776
791,5805
791,6006
2772,6245
786,6250
6365,627
1038,6720
7349,7350
1860,7371
680,2669
2772,7497
7566,7567
791,7686
791,7804
791,7944
822,8107
1038,8613
791,8699
791,8896
1038,8915
791,8936
9001,9002
4,9095
180,9212
791,9218
6156,7304
12,9287
1038,9313
741,9437
1038,9947
257,3188
791,10024
791,10264
10302,10303
791,10443
10502,6620
10530,10531
2772,10593
1038,10623
791,674
4,3688
1860,10816
791,10821
791,10958
143,11054
791,11210
791,11361
5735,8988
2772,11529
791,1627
822,11796
2772,11918
791,11716
1038,12286
791,12315
822,12370
12460,12461
791,12494
786,12571
791,12672
791,12773
786,12794
791,12868
1038,12892
1001,13089
13410,7059
791,13516
791,13555
822,13686
143,13705
143,13736
4,13863
143,14071
1782,14153
17,14285
2772,14401
791,14491
4105,8950
2772,14725
1038,14789
1240,14501
791,15020
2772,15031
791,7309
791,5223
791,15269
2772,15363
791,15490
15887,4280
1835,1046
1038,8960
791,16245
791,14428
791,9183
16806,16807
1038,17026
791,17078
791,17209
791,17305
4105,17357
1860,17472
2772,17760
1038,17780
791,11887
791,18015
791,5636
1038,14919
12,18302
342,7555
11307,18512
791,8148
791,19143
791,9724
791,6870
791,19592
2692,19682
1373,1694
791,19721
1038,19847
791,19958
1860,19973
741,20232
791,20317
791,20319
4,20370
791,20440
20502,20503
786,20507
1038,20524
791,14689
2772,20586
791,20618
791,11448
791,20747
791,20788
791,21273
791,21281
14456,14457
791,21486
791,21505
6156,21531
2044,21563
791,21583
791,21673
791,21746
21848,21849
1038,12569
143,22043
2044,22085
791,13400
1038,13845
13045,22515
1038,22590
4,22785
4,22818
791,22821
791,13287
791,22914
791,22977
741,20643
791,16856
4,23158
791,23223
12,803
791,14694
791,250
791,297
791,23457
2772,6906
12,21849
5588,23884
23944,23945
23954,23955
791,14992
791,2649
1038,24438
12,24541
791,24547
791,23140
791,25027
791,25072
791,4383
791,25247
2755,5038
791,25424
18627,17182
627,23554
11469,26123
791,1283
2044,26204
12,26251
791,26258
791,6816
791,26320
1860,26428
791,26456
791,26460
113,342
791,26540
1860,26616
2772,3947
1038,23668
12,1656
1373,6305
791,9524
16417,1052
2772,4526
791,7920
791,27174
791,12837
791,27302
791,10213
18716,14501
4,27468
822,27646
27916,10477
16451,21849
791,6011
791,28031
791,28235
2772,7933
1860,8626
791,28324
2756,9208
791,28447
791,28518
18567,2934
822,14768
1038,10184
587,1046
1373,11478
15083,9756
2772,29056
786,29079
5588,29127
786,1078
1782,29191
12,26243
791,15213
822,28734
791,3237
791,28019
791,18132
786,29694
791,29721
786,29832
786,29939
1038,29966
1427,11926
791,30183
1038,9824
786,30315
791,30323
791,4620
822,30362
791,13448
791,14248
19223,4813
791,31059
791,31069
10838,31225
19997,1628
791,31285
1860,31323
791,28951
10838,31357
2669,2668
5253,4654
791,31733
1001,4442
791,321
791,31887
12,25720
791,32107
786,32372
32437,21187
791,32485
12,24274
786,32531
791,25167
1038,32632
10530,22421
2772,32847
257,392
791,17275
13045,33193
791,844
143,33375
1038,11656
791,16111
791,33417
1860,33450
12,1800
791,18255
4,30120
143,25101
179,33922
11307,33999
791,34054
1860,34291
791,34337
791,34341
786,31510
791,34463
12,32406
791,34617
2772,34762
33801,21453
791,6858
1373,354
791,34991
791,34996
791,10621
27070,32178
791,20395
822,35250
6690,1189
35401,35402
791,13218
791,35562
2044,35564
791,30663
791,24762
1038,35602
2772,35615
2044,35642
791,35681
10225,10224
791,35809
1038,4241
791,36075
791,17444
33815,36146
822,29834
791,6139
822,18224
1373,791
859,36559
791,36672
791,36758
791,32672
791,15149
6156,19771
12,31752
791,37347
7349,1656
143,37505
143,37513
791,28123
791,37815
5588,37925
791,24554
38065,38066
791,38300
791,38326
342,1289
95,38409
786,38446
791,5221
2044,38582
1038,18102
791,38825
4,38858
1860,19534
20827,13364
27070,9756
1373,1943
791,39160
5588,39246
791,39247
614,14501
791,39370
7815,1628
791,39440
791,39508
2772,39511
39385,39384
12,7815
19413,17269
791,10591
842,38417
822,39701
5588,28543
791,13952
39765,19413
1657,6794
791,38930
15470,39852
791,39912
614,39942
791,24911
1038,40041
791,12957
10502,1628
791,36170
2772,35031
30538,30537
1373,9524
