synonymfor_inv_1,synonymfor_inv_2
627,628
803,804
114,188
2909,2910
3623,3624
5612,5613
3552,5644
7445,6877
7528,2302
7940,7941
188,8232
8806,8807
10037,10038
10048,10049
10115,10116
6981,456
9386,7283
11470,11667
12492,7283
3007,3006
12855,10116
13676,7120
13744,13745
14140,14141
627,14187
730,14193
14773,8807
14900,188
1162,188
1369,7900
2910,15541
16457,1655
730,17037
10115,7283
17535,17536
730,15555
18003,18004
18905,6877
627,6981
6162,9231
18977,18978
19909,3701
20049,20050
3701,20475
21179,2910
9387,9386
6981,11895
3701,6413
22079,3701
627,2269
22328,3701
2783,22483
22561,188
17037,730
250,23275
730,15300
24055,20050
15541,24350
3713,6877
9386,25046
7759,7283
958,10054
26503,26504
5651,1727
730,5846
28502,28503
28628,6877
20657,6981
29032,188
29107,18003
29339,3701
10575,10574
10777,6413
30597,30598
6981,6618
1738,3034
730,30675
17530,7540
31288,3034
15555,730
6981,760
2910,32157
26997,1047
2302,6981
1655,730
3701,6877
730,8297
2170,730
730,32512
21041,26254
34558,34559
3192,730
354,188
13218,188
35604,3701
4068,730
35843,3006
725,2587
36210,36211
36344,23951
36584,36585
627,6365
9735,6981
730,678
9080,730
37508,3701
35426,37847
5907,18003
37984,188
730,16133
3558,188
3434,38590
38621,5983
17432,188
14629,188
39488,234
3701,29339
730,4068
14312,1047
28628,804
40030,10418
10418,10417
1369,29412
11478,188
10777,1727
40929,6877
730,33236
730,3273
41416,9374
8894,11817
9386,23589
2170,1738
42221,23951
22555,1129
627,2110
33357,6437
12295,14586
730,2870
16802,9743
40688,7836
42877,16133
7758,1738
7540,1697
1738,7758
21041,10049
1719,9386
188,3558
44663,3006
188,627
45183,40032
43106,43105
10418,11118
3701,45669
9374,32365
172,11615
972,730
14951,7283
46838,188
15300,730
28628,47126
627,6413
3034,1738
42221,47457
47718,10116
730,972
37519,16809
6418,730
48358,48359
1781,10418
29029,48501
18608,1817
3701,7540
32030,32029
4728,730
3701,2587
32365,47641
20473,730
10049,10038
22555,3344
43674,6994
44237,23951
11118,10418
188,46838
730,12277
627,188
30354,13744
730,9080
39135,6877
44237,47457
3821,1047
627,804
14951,10116
9374,52058
52073,188
20647,7283
9374,2910
31273,30906
20270,14078
52931,10116
730,1368
52484,40032
10777,3701
49702,49701
27783,10037
6981,25720
1320,38430
302,1047
2473,10116
2302,12602
19114,54203
54441,7283
8232,188
627,34969
627,42161
7940,2909
730,4728
55259,6877
32029,45805
9374,19114
22782,1884
2039,188
627,5651
5735,47457
40032,52484
5005,188
18581,1727
19338,188
11227,47012
56817,946
25613,56901
3006,57011
1697,7540
8910,27257
55940,8806
10418,40030
730,3333
11470,4703
11817,8894
6981,5356
16468,9231
8806,57433
57550,15627
48763,188
20065,20066
14134,188
730,6418
58679,188
730,103
1738,2170
188,456
58986,7283
59008,15541
7284,7283
28628,1727
59270,38621
627,9387
55702,42450
1368,730
34912,2909
1016,188
5452,5453
10597,43544
2271,25046
11895,6981
6939,13568
60156,3701
188,52519
1047,26997
1943,188
12032,40032
4556,730
60534,6071
5907,1369
58986,10116
40630,730
52519,188
730,1655
9795,9794
1884,22782
2910,9374
56188,10116
18052,188
5048,57136
22248,188
62008,188
31657,62046
3701,55056
188,19668
17854,188
30907,30906
