teamalsoknownas_inv_1,teamalsoknownas_inv_2
350,562
7403,4147
4148,5044
3383,87
4659,2476
1047,5242
15752,1047
446,2476
1993,230
2959,1047
12031,1047
25496,1047
446,3383
1047,4899
20784,1047
30122,30123
1047,35326
1004,1493
10556,1047
1047,2733
16632,1047
1047,7116
21342,1047
1047,39723
1047,18198
42442,1047
446,3393
10331,265
12379,1047
3558,1047
1047,43258
43313,1047
1047,44595
3893,8025
3360,421
562,350
33685,1047
26448,1047
1047,25088
3383,1289
35922,3746
41128,1047
446,2004
791,1373
5472,1047
562,3393
4148,1248
27915,1047
5183,265
4779,421
4867,1047
54096,1047
99,3393
51349,1047
3893,3567
1047,14321
43617,1047
2755,1047
1047,11214
3567,8025
1047,3179
1047,58025
32934,1047
1047,21669
40372,1047
8025,3893
3042,1047
28720,1004
1047,36677
1047,6870
4148,1011
4659,486
422,421
16025,1047
4148,1004
63453,1047
5183,230
1047,16759
65024,1047
27331,1047
16614,350
65450,1047
4148,7812
6827,8532
67035,1047
3383,1284
1047,15906
46915,1047
5636,1047
9118,1086
98,97
4867,2095
15784,1047
8025,3567
59031,1047
66791,1047
51083,1047
49019,1047
30123,30122
1047,302
50327,1047
1047,12957
4867,69397
70589,1047
1047,11190
34407,1047
71029,1047
71041,71042
562,4602
486,350
17793,1047
24128,1047
1047,21342
33003,14294
1047,25112
1047,5636
4867,687
1047,22739
14294,33003
1047,27331
1086,9118
446,87
6870,1047
1355,383
8148,1047
73041,1047
28608,37055
1289,350
446,486
1993,265
73778,1047
72912,1047
3567,3893
53711,1047
1047,25496
12077,1047
37055,28608
326,3293
1047,3558
97,98
1373,791
20784,25112
46975,1047
3383,350
25112,1047
32949,1047
1048,1047
20784,32934
71399,1047
16798,1047
38893,1047
4602,562
29061,1047
10331,230
4602,256
446,4602
1047,8148
1047,42338
59835,1047
59658,1047
36677,1047
21493,1047
5576,1047
68236,1047
1047,75348
20784,59178
