teamplaysincity_inv_1,teamplaysincity_inv_2
235,236
410,411
3484,2755
3518,3519
133,5123
2760,2173
114,56
114,6909
1816,3772
2760,1289
1876,9071
917,446
6698,449
235,12049
12196,12197
917,12886
235,4602
751,1265
10314,14312
14566,14567
14956,14957
114,16025
2662,2209
114,1355
7057,15752
4665,16913
114,2702
7957,17952
751,3665
1131,15906
18698,18699
19920,4514
1753,11213
21106,21107
3869,21566
21766,21767
114,8188
1421,19505
22351,7881
13627,7116
6330,22371
17072,4899
12587,12586
6379,6913
10090,22900
114,25625
25747,25748
114,113
6883,26016
16432,26316
26435,26436
250,20581
2662,34
133,3042
3869,1493
917,916
29001,29002
917,806
5759,27331
6379,31103
751,14503
1421,32507
751,32991
1882,33736
133,25070
25697,2733
8647,15160
917,3383
751,34829
3115,4730
917,15368
31509,9724
35597,35598
7939,1914
37623,37624
917,5044
19984,37880
3869,8204
751,10159
23206,39151
133,8936
751,39811
114,5242
9900,686
299,40935
6064,38893
1753,11511
133,41877
751,33847
3484,16632
114,16250
24453,30942
41395,43648
13582,13793
43698,43699
114,9598
917,87
28592,3837
556,7812
8543,10556
410,3314
7939,1081
18962,21342
14288,16640
12705,47153
17595,20068
114,2593
5790,48395
133,3439
74,24128
8310,2007
114,35530
2760,22573
133,49553
114,687
7057,3567
29136,50948
2605,32411
74,51498
12951,12950
6116,28996
1049,2959
15595,25458
1079,3188
3518,12431
1753,4383
4665,53076
9500,53244
299,2286
3,3900
250,53900
5790,3821
5790,54639
19361,54670
25697,54801
133,54820
23760,18544
9365,8148
8687,12031
55079,20784
6379,35
2953,25007
8647,39408
556,55652
7939,1988
20995,20994
556,3745
38360,25112
11781,50721
133,10467
565,36255
15785,15784
27204,27020
27904,29039
8310,4631
2307,447
133,41060
27106,36677
9422,22970
133,21030
14475,38340
917,2476
1454,50081
25929,25928
917,3360
10890,34925
11225,8814
7495,38082
2662,422
19920,882
5577,5576
23519,60273
751,1248
133,24975
917,60630
7413,51083
2839,4659
74,14296
29136,10906
751,10759
3579,282
4053,62311
26696,62366
7057,8025
3026,62449
235,62498
2760,31623
751,3854
21730,33323
6017,30663
7939,1987
3869,7115
6036,63288
38360,38359
114,35940
8614,10065
917,486
917,50323
39224,5636
3930,13956
4325,64382
3,64690
235,2338
17790,46817
133,33685
19361,10864
2307,379
751,2427
8647,3393
21106,65244
1454,4297
7495,65602
5790,99
8647,421
250,2703
3518,63952
4880,66042
5577,6305
133,16716
3423,19461
1916,7189
556,7068
4546,30961
3488,13448
235,25496
23519,67124
2780,16339
353,44742
2839,4779
2953,35962
6379,46915
6335,6334
2760,29555
250,5819
80,20775
24642,24641
133,56625
37499,22739
3930,2244
8310,11729
1465,5560
299,69174
8310,281
565,41277
14340,25088
3,1250
114,7486
235,476
3782,14201
6698,57
17279,69963
8647,56652
33710,33709
9057,68667
3594,36913
3488,21448
7690,7689
556,1604
63352,63351
8543,3558
114,7319
299,45571
2780,11441
2350,16111
11769,70858
250,26259
19984,11716
21937,53445
250,47063
133,71766
14914,27915
74,20259
21979,60144
9570,27102
14704,46109
15002,48527
917,1011
133,61180
4349,4348
250,21058
133,10444
3518,5616
235,971
751,73066
2307,4853
12308,71632
7057,3893
235,1004
6181,2964
47199,47198
1020,13298
31710,13365
2607,21669
235,69613
479,38224
9547,18652
917,9769
2662,59006
19920,5002
5493,29061
4708,74430
16432,49920
16654,45291
1916,63728
1753,28507
9365,168
32871,63924
1894,38931
12573,6149
65931,14923
751,2694
5764,2973
133,67253
14340,26448
410,7555
9422,501
5764,7039
3090,11231
9365,74883
18506,50502
555,74884
27978,19612
114,1633
19920,932
3930,2341
12411,31299
17374,26997
3534,392
6698,6744
9755,18198
556,29248
27355,879
3930,2037
2113,12187
22428,22427
19920,6088
917,2004
2307,75273
10641,17927
9867,69695
917,42807
1916,9915
4868,4867
133,62131
19361,500
5790,3512
751,3746
114,20308
2607,66791
114,8222
32788,61949
21982,56815
3820,302
5764,19696
50173,50172
917,487
14704,25078
6379,17444
21655,60740
27106,25463
7939,4048
18362,29196
22289,50071
