teamplayssport_inv_1,teamplayssport_inv_2
39,195
454,449
947,1807
39,2095
454,2959
39,2209
947,3945
947,4332
947,7354
454,7512
947,8520
454,8025
947,281
947,10759
39,932
947,1756
47,9769
454,7039
947,13365
47,2819
47,501
947,14983
47,9598
454,7499
47,4853
947,17986
947,16716
39,421
947,18446
947,302
47,4662
947,19194
39,2338
947,19494
47,20068
947,476
947,20581
454,20775
947,21493
947,22126
947,9724
947,3772
947,22970
1100,23541
47,10159
454,11109
947,690
454,16798
947,27020
39,168
947,21058
39,422
947,7116
947,28009
47,28443
39,9262
454,29061
47,16250
947,12379
947,30942
47,1633
454,16162
47,1265
454,87
39,32799
47,32949
454,2755
454,350
454,3893
947,1992
47,12115
947,34420
39,2703
947,20308
454,12197
947,25625
947,552
947,11716
39,13029
47,4612
39,39879
454,15752
454,8532
454,4899
2598,4867
947,5576
1100,16423
947,31274
39,34
1100,1086
454,42252
947,22573
39,4659
947,4926
47,806
454,18652
947,14503
947,40979
47,12839
947,2139
39,3900
39,13956
947,27331
947,551
39,662
39,32224
947,28153
947,17670
947,46564
947,1048
454,25112
47,5044
47,14735
39,4631
947,48036
947,7498
47,3854
947,14201
454,2476
39,9822
39,7555
947,50323
947,5242
947,17793
39,43755
39,50807
454,26448
947,16742
947,51349
947,379
1100,9118
454,10331
947,16402
947,1907
454,1081
454,7563
947,69
47,4848
47,56
39,52908
39,7068
454,450
454,562
454,6827
947,7115
39,34088
454,4165
454,487
947,2244
454,44742
454,16729
947,5361
39,5920
947,11847
947,17579
947,22509
947,30886
1100,1669
39,56022
454,882
1100,1192
47,20258
947,10961
947,2640
47,497
947,58987
454,48327
947,10556
454,486
947,29709
47,7812
47,10978
39,59785
47,3746
947,50172
947,8939
947,32876
947,3745
947,8936
39,6089
39,57
39,49920
47,28720
454,3567
47,3821
47,383
947,1250
47,8366
947,4297
39,4787
947,17993
39,52434
947,12325
454,6305
947,113
947,6913
1100,7958
47,7486
947,14321
947,20983
454,3837
39,4779
47,10434
47,15906
947,15416
947,8148
947,68
947,1102
947,55004
454,10467
39,5002
1100,7403
454,3393
947,791
947,20784
39,16220
1100,28507
947,3665
47,1004
947,282
947,1914
47,500
947,4504
947,10922
39,5767
947,971
47,3188
39,34665
47,62312
947,1047
454,1289
947,11324
39,2427
947,59658
39,2973
454,11511
947,4183
947,60630
947,2341
947,69924
39,58375
947,55345
39,5181
1100,4422
947,4184
47,3512
39,19410
947,21342
47,2694
454,4048
947,1913
947,48558
947,62553
454,392
454,100
1100,2172
454,11190
454,16494
454,21669
39,687
947,10392
1100,2173
947,6816
947,13363
947,49719
454,21288
47,4148
947,3314
947,5340
947,27496
454,34407
947,8160
947,26997
947,48527
947,38472
454,3383
947,54617
39,10864
39,2733
39,44987
947,18544
454,18198
947,10906
47,1439
47,4418
947,16759
47,14077
454,256
947,73751
47,4854
39,2247
947,12187
454,15727
454,447
454,1116
39,916
454,4602
3531,15349
39,9915
47,1604
947,73055
39,60616
454,25496
947,38829
454,26259
47,5352
947,12788
454,7881
47,1011
39,8486
39,13298
39,19054
454,16339
454,4291
47,4123
47,11729
47,10060
39,326
454,21181
947,3558
454,36913
39,40319
947,29196
47,10775
947,8814
39,33245
47,8222
947,22739
454,25255
454,24128
47,126
947,35
947,2593
454,8286
47,12248
454,16614
47,7319
947,17927
39,16167
454,12031
947,6032
947,18699
47,1355
39,1493
947,5560
39,12995
947,16025
454,37880
454,99
39,2702
454,42428
47,1988
39,42219
1100,4147
947,11210
947,16640
47,2007
39,6744
454,53711
454,2004
39,16436
47,1248
947,33672
39,686
947,47047
454,3293
47,446
39,1284
39,22731
454,5636
947,4661
