teamwontrophy_inv_1,teamwontrophy_inv_2
2340,2341
1721,1265
1721,3821
1721,1248
1721,1988
3400,1289
3400,5920
1871,3900
1871,421
1721,10978
11036,449
11099,1248
1721,4418
773,3293
13687,10331
12058,1116
3400,8286
15513,6744
1721,8222
3400,350
16237,501
773,87
17499,8222
14514,3360
18868,1011
1721,497
1026,687
14514,487
2705,916
21380,5183
773,326
1026,932
11099,2694
3400,7039
3548,5044
2705,4787
11099,383
11328,971
773,22411
3400,1116
1026,1284
3400,100
3400,3293
1721,932
773,2004
1721,7512
773,8025
11099,1493
6745,350
3400,1284
29400,497
3400,19696
3400,256
1721,1493
16115,3393
17499,449
9621,33847
33975,1993
34085,3393
3400,4659
16837,1248
34744,4418
32397,882
21685,113
22470,1248
11099,57
773,3188
1721,8204
773,7039
2705,10864
11036,8222
11099,500
39233,3746
39249,3746
21685,971
1317,2476
3400,87
11099,9769
1026,87
773,35530
773,486
11099,497
41082,230
11099,1604
3400,4602
1026,4602
1721,1604
2340,3745
13687,1993
3400,3393
1721,806
1721,14077
32377,4297
45483,1248
6745,8222
773,447
15513,1116
1317,486
773,3383
46405,2694
1026,99
2705,662
41797,4602
1721,9915
1721,2973
2705,2209
36753,562
1721,4854
3400,16614
1721,7486
3400,326
1026,3893
1721,2694
1721,3746
18868,4148
42426,446
11328,1914
30411,3746
3400,35735
1026,2694
1721,5044
34177,33847
1026,7039
51242,3893
11099,1004
3548,1004
1721,33847
2705,6744
1721,1116
33975,10331
1317,4602
3548,3746
1721,4848
1721,1633
44235,3746
53815,3393
12585,87
1721,4662
773,3893
1026,383
52872,3746
1721,10434
21685,2593
3400,8025
1026,3393
12585,1011
1721,4853
3400,486
30411,1248
1317,3567
3400,392
1721,57
773,4602
1721,1004
32377,552
773,100
1026,350
11099,4853
11099,486
1721,16250
3400,447
21685,3745
11328,1102
44618,500
1317,100
11328,2593
16553,26510
1721,20258
59878,3746
34085,2476
1721,62
60359,1248
1026,4148
61028,3393
13687,18203
773,1284
1317,1284
1721,4148
3400,35530
12585,1116
18868,2694
1721,11729
42426,256
1721,9598
773,35735
1721,10060
1721,8366
2340,971
15513,449
11036,6744
12058,3746
12585,1004
3548,1011
14514,446
41797,446
11099,10775
21380,10331
1026,1116
64959,64960
15513,350
1721,1439
2705,421
9621,2694
3400,686
1721,126
1026,1248
11036,350
11099,3188
3400,4048
2705,932
11099,62
3400,446
1721,2007
33975,5183
13687,5183
16837,3746
44618,56
1721,486
32397,6088
32397,486
1721,500
3400,882
3400,25255
44618,57
2340,2244
15513,8222
3400,3188
3400,3893
1317,3893
11328,476
61105,3393
773,3567
2340,113
1721,7319
1026,447
17499,1116
2705,3360
3400,21181
1721,383
1721,12248
42426,497
773,19696
3400,487
1317,3393
6745,6744
1317,446
3400,58755
17499,6744
32054,3393
1721,5352
44235,383
3400,8532
21380,1993
32397,4514
11099,3746
1026,3383
6745,449
1317,562
1026,1004
1721,33982
59878,1116
1026,486
1721,10159
33924,3512
16553,6816
1026,497
773,392
16115,3567
1721,3854
2705,7555
773,4165
11099,9915
1026,2004
773,562
3400,2476
47184,20983
12585,2694
3400,449
34085,3567
1721,3188
32397,932
46405,500
42426,2476
3400,2004
51242,3567
16837,1011
11099,4148
44618,1116
3400,22411
41082,265
46405,501
3400,3567
74247,3900
1026,500
34177,2694
47184,6816
1721,4123
3400,450
42426,3893
773,2476
33975,265
1721,1222
41797,486
2705,5002
1721,1011
12058,1248
11099,3512
59878,1248
1721,7115
1721,12839
33924,2007
2705,13956
64706,56320
2340,476
73182,3393
12585,3512
1721,501
773,3393
16237,1004
1721,12115
33975,230
11036,1116
73321,3746
1721,10775
1721,1355
11328,113
1721,56
6081,1192
3400,562
2705,34
44618,3746
11099,1011
2705,3900
33924,497
3400,4165
1026,882
2705,1116
2340,281
1026,57
42426,1284
12585,68
2340,379
51242,3393
2340,1250
11099,501
2340,2593
1721,9769
17499,350
6745,1116
36753,3393
1721,7812
11099,2007
