televisionstationaffiliatedwit_1,televisionstationaffiliatedwit_2
785,786
1037,1038
1497,822
2482,4
2672,822
2691,2692
2969,822
3320,1038
3734,2692
4111,2772
4391,822
4519,822
4581,1038
1056,4
5105,1038
5120,1038
6009,1038
6427,4
6649,4
6914,1038
4054,1038
7800,2772
7952,1038
8050,2772
8610,4
7833,2772
9314,786
9634,2772
9713,4
9944,2044
10348,1038
6094,4
11209,822
11341,786
9179,1038
1754,786
12009,822
12351,1038
12389,4
12916,2772
13038,2692
13293,4
13784,4
14239,786
14384,1038
14638,786
15208,822
15580,4
15755,786
15805,822
15931,2772
16123,1038
8987,786
16331,822
3454,2772
17297,786
17526,822
17781,4
5409,1038
17868,786
17999,2044
18179,2692
18244,822
18948,786
19089,1038
19629,2044
19778,1038
19870,822
20349,2772
20525,822
1537,1038
21413,822
21708,786
21791,1038
21946,1038
14904,1038
22176,4
22332,822
22682,4
22943,2692
22961,786
3450,1038
23340,1038
23910,2692
21346,822
24053,786
24130,822
24484,822
24711,822
25103,786
25108,822
25260,2772
16059,2044
26050,2772
26385,822
26637,786
26665,4
9167,1038
27390,2772
27560,2692
27882,786
28257,822
1132,2772
28915,822
20721,4
29112,1038
29181,1038
29284,4
11051,1038
29563,786
24899,1038
29935,2772
30070,786
28671,786
17357,786
30593,2772
7612,822
30781,1038
31232,1038
795,4
22705,1038
31889,1038
16610,4
12913,4
9848,2044
32305,2772
32360,2772
32431,4
12884,2772
6795,4
32689,786
33250,786
33318,786
33594,822
33682,822
33985,786
34353,786
34514,1038
34799,2692
10035,2772
35177,1038
35178,786
35270,2772
16119,1038
35903,1038
7888,822
36357,822
36371,786
30402,1038
17956,1038
36690,2772
36842,786
19529,1038
36914,1038
9025,822
37086,786
37331,822
37456,822
2648,1038
37755,2772
38273,1038
38286,1038
38332,2772
38428,786
38460,1038
38534,786
38561,4
38575,822
39100,4
7424,4
39196,1038
39475,786
39659,2772
39753,4
39770,822
24955,4
12720,2772
40310,2772
40457,1038
10770,4
40747,1038
2671,1038
39754,2772
18118,822
41314,822
26653,2772
19771,2044
30100,4
41474,4
41690,786
40785,786
41875,822
25815,822
25024,1038
42045,1038
42092,786
9526,4
42265,786
42331,2772
42351,4
42372,2772
42377,786
42454,2692
42486,2772
42690,4
42851,786
42884,822
43095,2772
38830,786
43162,822
43269,2772
42913,1038
43481,4
39335,2692
34145,2772
43606,2772
43867,822
43888,822
43896,786
5020,822
44272,4
44307,786
44405,786
44472,786
44753,2772
44761,4
44856,4
44889,1038
44893,1038
4070,1038
45047,4
45094,786
