televisionstationincity_inv_1,televisionstationincity_inv_2
1131,1132
555,1537
207,1754
1936,1937
4499,4526
5019,5020
5984,5985
914,6898
3518,8788
1421,9297
3488,11330
14475,7800
2307,14619
14664,14665
4499,16715
16432,16792
5984,16938
1131,17574
17709,17710
18362,18363
1593,18380
235,18518
20003,20004
17351,20193
16705,21654
1131,22617
6325,22678
1936,22796
3930,15737
80,3961
751,24107
3,25339
751,25366
5459,13346
6972,12389
751,27038
1079,1078
2307,27343
16270,27737
408,23222
649,28180
17455,28243
235,28392
8647,29342
24652,30282
3115,25256
12920,16780
8310,30920
3115,21413
751,31966
22141,22682
751,8463
4499,21955
751,33298
30218,30217
6796,6795
1916,34063
408,34153
20995,34363
9365,34697
10528,11855
11225,9848
1916,35774
3820,9526
731,30908
5963,37385
37674,37675
133,22375
555,37414
9462,19207
1131,41198
731,11529
408,37725
16270,33242
1079,3126
4499,41927
7957,42356
17301,42370
7057,42716
235,43152
3115,43609
11225,17495
6064,44153
556,24233
3534,37998
24282,42372
1421,21385
207,28048
3930,46434
5790,19965
4708,14757
4561,47208
5790,34264
6289,28961
555,39550
207,49758
13323,49895
17790,11209
17595,52448
2839,37618
556,32372
48299,53106
5459,53222
8698,53388
10872,17492
3695,53659
80,38543
16490,12066
2307,55254
408,40394
18497,25024
1454,32276
555,28408
12870,49669
114,17737
1421,32048
1916,33456
23939,55382
27814,48561
3782,55819
5790,25815
8698,26962
2113,58464
31113,33028
2760,31668
751,4953
731,15543
7650,35260
751,10531
4393,40043
6481,54944
10528,19751
34770,34769
80,79
914,35874
6972,13307
21077,62665
3026,3025
15788,15787
1936,58132
917,64570
30604,7424
751,3450
751,62534
114,37721
1421,55645
751,56942
556,65585
6698,30460
1593,11918
5708,37093
13097,13096
17301,30100
914,34771
133,44893
751,50338
36892,66281
2307,43162
751,28703
6698,37944
731,9757
3930,26209
7957,14692
3090,22332
8647,59404
26348,53960
4665,17760
9422,47835
114,66804
4649,34353
12308,16612
1079,11724
1916,37513
114,47783
8091,35988
1816,34719
1916,70132
555,70204
16490,22136
3115,27882
80,63025
1454,35250
1421,20490
7057,66441
4272,70736
556,44272
7860,7861
9785,57562
5017,70960
8647,28125
7452,45821
17595,43375
5790,68630
9422,26333
1894,39859
11225,42298
16337,44957
235,71938
1131,52239
250,33594
21106,45028
1916,72133
3115,27667
6181,19521
2307,3789
5790,3454
16705,8808
2760,37220
7057,7833
5790,5789
28299,47996
4708,4742
914,62210
1916,30781
3115,31354
8310,28485
4649,4648
6379,41505
751,55758
6064,55534
235,2691
7368,8684
9468,48926
207,49926
751,74109
914,14401
18497,18496
133,16753
4649,72618
5790,44625
5790,20242
7939,54705
751,69640
3518,26476
7957,36072
751,35112
4708,4707
5790,50444
3026,12726
2760,42577
7312,15540
7452,73108
14475,39207
6379,22961
3115,32847
3115,1497
3,14092
3518,40455
1131,40883
50793,12913
31113,48595
5017,56436
20003,24955
22428,29867
5459,19870
751,32625
8310,14940
42,47890
20003,31360
751,49748
8310,60254
24282,6427
9365,23095
914,35224
12308,54210
9785,70786
555,12899
6379,24094
914,28734
5459,61009
21274,54610
80,75301
20003,68406
9462,18925
6796,61647
917,20045
