thinghascolor_inv_1,thinghascolor_inv_2
2901,2902
3521,3522
6948,6949
3521,8280
11642,11643
12754,6470
2901,12964
12755,12253
13826,12253
1297,14084
14397,14398
14397,14409
14397,6105
12755,6949
14397,15204
16063,16064
16584,12253
16063,6105
2901,21039
12254,12253
25732,3600
27183,3600
11642,27272
28133,12253
3521,28658
6948,29015
12755,27272
30144,363
31584,12253
1297,11643
12755,29015
1297,34919
27301,3600
11642,33064
37398,37399
12755,28658
2901,12161
14397,39296
21807,21806
14397,1235
16063,40321
40343,3600
1297,22616
12755,40321
2901,41313
14397,27272
16063,8280
2901,39516
12755,21806
2901,780
2901,44328
27183,6105
27301,21806
12755,31156
2901,45509
39159,11643
12755,45760
3601,29015
2901,47712
48159,3600
40953,701
6948,49318
12754,49483
49666,39296
38908,38907
1297,45265
1297,21226
12254,40321
1297,50903
11642,8280
11642,51686
1297,22674
2901,34919
21128,3600
6948,53114
1297,53624
12755,14409
11642,9958
6948,12253
3521,40321
3601,55390
27301,12253
11642,6105
1297,1296
16063,6949
2901,45265
57763,27272
12755,6105
14397,8280
27301,363
12755,3243
3521,18295
2901,14398
16063,5678
16063,60219
2901,3150
3521,27272
2901,57870
12755,8280
6948,40321
3601,3600
16063,11643
1297,12253
3521,12253
3601,40321
3521,14409
11642,363
16063,29015
59568,29015
1297,16852
1297,50833
64619,12253
27371,21806
45266,45265
16063,9694
2901,3292
6948,8280
6948,65702
2901,15456
2901,60694
1297,3303
3521,53114
3601,6105
3521,3600
11642,12253
39296,12161
67344,29015
16063,26271
32716,3600
12755,44233
1297,58466
3521,50833
2901,68446
1297,66630
21807,2423
68811,29015
16063,59625
6948,3349
63396,3600
6948,11643
6948,6105
11642,21806
2901,3291
31584,21806
2901,12561
12755,47050
12754,45265
11642,11660
6948,44233
60532,3600
11642,50903
71694,3600
1297,363
12755,14084
11642,54919
2901,6105
3521,66630
3521,21806
16063,3522
1297,6105
11642,37792
16584,701
11642,45265
69795,29015
1297,72590
1297,8280
1297,27272
3601,8280
2901,9879
58064,12253
2901,73732
11642,1012
27371,12253
3521,29015
16063,27272
6948,3243
12755,49318
17451,11643
3521,69430
2901,13858
2901,8280
2901,14156
1297,6949
14397,58221
12254,3600
2901,15885
2901,64522
57763,3600
21644,29015
14397,11643
3521,65434
3521,6949
3521,65122
14397,71685
2901,29015
51803,12253
1297,53114
74911,3600
31584,8280
2901,71584
21644,21643
16063,31156
21807,29015
1297,69430
35050,6105
3521,31156
45266,6470
11642,31156
3521,376
11643,9694
14397,40321
74449,3600
12755,11643
2901,72590
1297,21806
6948,21806
51803,3600
2901,6470
21128,6105
11642,69442
12254,28658
1297,59235
58433,3600
58064,363
2901,14220
2901,70032
51803,40321
6948,75343
11642,15376
2901,14084
