thinghasshape_1,thinghasshape_2
4121,4122
4515,4516
5809,4122
2267,6191
6638,6639
1107,6639
8255,8256
2267,8453
1235,6639
2267,6638
12994,6639
4501,13649
2267,15145
15376,15377
2267,15554
16817,6639
4515,16977
17020,4122
2267,2266
18883,18884
2267,16977
20712,4122
2267,18909
21248,6639
2267,6455
12561,6984
2267,6639
23704,6639
16147,25710
8255,18883
28028,4122
3987,6639
18532,18883
2267,30266
33404,4122
15147,15146
3987,12161
26103,4516
16147,14286
395,4122
36577,6639
33563,6639
13649,15146
38838,6639
3987,3986
3987,14286
2267,40331
18884,24449
376,6639
6984,18884
6984,14286
12496,6639
42630,6639
44217,6639
7120,4516
21101,4122
2267,1235
45684,31789
46386,4516
6455,6639
18532,4122
2267,48406
24449,18884
48542,13649
2267,18883
31789,6639
2267,22753
49145,12161
2267,6984
15145,6639
50185,4122
8255,2126
14286,12994
40331,6639
52229,52230
2267,21141
48615,4122
6984,12561
2267,14286
54762,54763
2267,54279
3987,6984
2267,42630
16796,4122
56695,56696
45145,13649
45145,4516
2267,51750
2267,56424
58250,6639
3987,12561
2267,12161
46894,6639
2267,54729
59797,13649
2267,4516
13649,4516
52374,6639
2267,31789
45684,4516
13649,1235
4122,6639
23436,6639
14286,31789
16476,4122
18532,24449
9571,6639
6984,37109
12161,18884
13649,4122
18883,6639
16977,6639
3987,31942
63804,6639
64399,4122
2267,12496
2267,23436
18532,15146
16147,6639
65250,6639
32848,4122
52619,6639
2267,9571
45383,4122
41800,18531
47666,6639
60021,6639
3987,22786
2126,6639
50810,4122
2267,12994
68817,18531
2267,58250
48406,6639
69554,8256
2267,36577
18884,18883
34926,6639
11556,6639
14286,6639
2267,65250
6984,12161
8453,6639
34039,15146
16817,6984
49242,31789
46386,4122
7120,4122
40321,6639
2267,2126
14286,12161
6984,70044
36157,6639
56696,4516
2267,60021
14286,6984
22753,6639
13649,18531
60275,4122
12161,6639
6984,6638
1138,6639
2267,44176
34926,6984
2267,12561
12161,6984
2267,4122
6984,6639
6984,34926
18532,8256
2267,38838
2267,23704
2267,52374
18532,18531
2267,33563
53195,6639
19186,6639
16476,4516
4121,4516
34039,4122
18532,44665
3987,18884
2267,63804
42503,6984
2267,37109
70044,6639
13652,4516
48310,6984
48615,4516
2267,46894
15554,6639
54729,6639
8255,44665
45145,4122
21141,6639
67874,4122
63038,6639
12161,14286
2267,34926
56524,56523
18884,6984
12561,6639
54956,4122
2267,4515
56695,60708
2267,7138
8129,7138
4515,4122
2267,70044
