thinghasshape_inv_1,thinghasshape_inv_2
2266,2267
3986,3987
6984,2267
7138,8129
6639,9571
12161,2267
6639,12561
4516,13652
12994,14286
15146,15147
14286,16147
4122,16796
18531,18532
18909,2267
18883,8255
6639,19186
6639,12496
4122,13649
4122,21101
21141,2267
8256,18532
6639,22753
23436,2267
24449,18884
6191,2267
4516,26103
12994,2267
6639,376
1235,13649
30266,2267
12161,6984
6639,31789
31942,3987
4122,32848
6639,33563
4122,34039
6984,3987
23704,2267
34926,6984
37109,2267
6639,12161
12161,3987
4122,395
12561,6984
6639,2126
6639,15554
6639,2267
4122,5809
18883,18884
22753,2267
18884,18883
6639,42630
6984,14286
6639,23436
6639,16817
44176,2267
44665,8255
4122,45145
6638,2267
6639,46894
6639,6984
6639,47666
6984,48310
34926,2267
4122,48615
31789,49242
4516,45684
4122,50810
2126,8255
6984,18884
4122,16476
15554,2267
6639,8453
6639,18883
52374,2267
6639,52619
6639,53195
6639,6638
12496,2267
54279,2267
46894,2267
15146,13649
54729,2267
15377,15376
18884,12161
6639,3987
4122,54956
6984,16817
4122,2267
18884,3987
56424,2267
56523,56524
14286,6984
4516,4121
6639,40331
31789,2267
12161,14286
6639,44217
4122,45383
14286,2267
58250,2267
6639,60021
4122,60275
4122,46386
60708,56695
6639,1138
4516,16476
4516,56696
51750,2267
4515,2267
16977,2267
4516,7120
6639,63038
18883,2267
13649,45145
6639,36157
13649,59797
4122,7120
42630,2267
6639,1107
4122,20712
6639,36577
6984,34926
6639,52374
15145,2267
65250,2267
31789,14286
6639,21141
54763,54762
6639,1235
18884,6984
37109,6984
18531,13649
4122,67874
4516,13649
4122,28028
6639,34926
8256,8255
4122,50185
33563,2267
6639,21248
16977,4515
52230,52229
4122,4515
8453,2267
56696,56695
4122,4121
6455,2267
12561,3987
6639,12994
4516,48615
6984,42503
4122,18532
70044,2267
38838,2267
18531,41800
70044,6984
44665,18532
6639,6455
63804,2267
24449,18532
6639,63804
6639,54729
4516,4515
6639,16977
15146,18532
1235,2267
48406,2267
15146,34039
6639,14286
7138,2267
6639,4122
4516,2267
13649,48542
12561,2267
60021,2267
36577,2267
12161,49145
6639,11556
18884,24449
14286,3987
22786,3987
6639,16147
6639,15145
4516,45145
14286,12161
9571,2267
4122,64399
13649,4501
6639,48406
2126,2267
4122,17020
4516,46386
6639,70044
8256,69554
4122,33404
6984,12561
31789,45684
6639,58250
25710,16147
6639,65250
6639,40321
18883,18532
6984,12161
6639,23704
6639,38838
6638,6984
40331,2267
18531,68817
