transportationincity_1,transportationincity_2
3936,3937
6480,6481
8773,815
12230,5896
20865,20866
22022,3737
22041,207
13907,133
14640,14639
24532,12587
26371,133
31592,3115
32614,5896
32959,1421
18134,3563
35339,4236
35496,35497
37369,133
36723,36722
38819,24454
39874,39875
43045,751
42949,565
43742,5896
44441,21934
10043,3737
45580,6736
46226,299
45994,133
35396,35395
46326,3880
46849,917
47777,10805
12002,41282
48935,48936
49246,133
50075,250
50556,6422
50655,1876
51080,250
51557,1421
53566,565
53578,13310
54369,29312
56530,44044
21555,917
57677,1876
58202,235
59162,5896
30373,299
45138,299
59917,12416
53138,815
60900,133
61394,17089
12881,12416
62550,479
64303,5896
19272,133
8949,3737
54259,479
65355,479
33534,2607
65930,5756
66182,4099
66898,6938
56029,3563
67523,5896
67772,1876
68478,5896
43024,485
41431,235
32579,3737
36108,17232
69559,5896
69593,225
51330,299
29968,3563
49513,1421
30541,5121
40845,23058
72051,2605
71364,751
12486,71376
72782,235
56418,26750
64485,225
52534,133
68205,9417
12135,1876
62995,5896
74249,1916
54495,299
74821,299
51501,133
75042,2269
55504,114
5094,299
70070,8047
17779,17778
60020,751
69724,751
48627,479
65168,2662
59238,133
54287,250
64889,7957
60479,3518
7838,5896
