transportationincity_inv_1,transportationincity_inv_2
1876,12135
12416,12881
133,13907
14639,14640
17778,17779
3563,18134
133,19272
917,21555
3563,29968
299,30373
5121,30541
3737,32579
2607,33534
35395,35396
3737,10043
17232,36108
36722,36723
23058,40845
41282,12002
235,41431
565,42949
485,43024
39875,39874
299,45138
133,45994
479,48627
1421,49513
299,51330
133,51501
133,52534
815,53138
3115,31592
479,54259
250,54287
299,54495
133,49246
565,53566
1876,50655
114,55504
3563,56029
26750,56418
250,51080
12587,24532
133,59238
751,43045
751,60020
3518,60479
133,26371
1876,57677
5896,43742
12416,59917
5896,62995
3937,3936
13310,53578
21934,44441
225,64485
815,8773
7957,64889
133,60900
2662,65168
5896,64303
207,22041
6736,45580
133,37369
3737,8949
9417,68205
5756,65930
917,46849
479,65355
5896,68478
751,69724
24454,38819
1876,67772
8047,70070
35497,35496
751,71364
71376,12486
3737,22022
225,69593
17089,61394
235,58202
5896,32614
6481,6480
29312,54369
299,5094
1421,32959
6422,50556
5896,67523
250,50075
479,62550
4236,35339
5896,69559
5896,59162
1916,74249
1421,51557
48936,48935
235,72782
5896,12230
5896,7838
299,74821
10805,47777
2269,75042
44044,56530
2605,72051
299,46226
4099,66182
20866,20865
3880,46326
6938,66898
